model,parameter_name,human_estimate,ai_estimate,gap_ai_minus_human
atasoy_2011_replication,ASCPMM,-0.4133853731200848,1.0080336511340107,1.4214190242540954
atasoy_2011_replication,ASCSM,-0.4700378136527429,0.2206005047081852,0.6906383183609281
atasoy_2011_replication,beta_cost,-0.0591605785422949,-0.11298417569933865,-0.05382359715704375
atasoy_2011_replication,beta_distance,-0.2273282258835992,-0.08769400935765422,0.139634216525945
atasoy_2011_replication,beta_language,1.0925423349056869,-0.2225405364380431,-1.31508287134373
atasoy_2011_replication,beta_nbikes,0.3468642747377027,0.16483780658141237,-0.18202646815629034
atasoy_2011_replication,beta_ncars,1.001004001885042,0.24130035575314637,-0.7597036461318956
atasoy_2011_replication,beta_nchildren,0.1535265388349499,0.11982177696348058,-0.03370476187146933
atasoy_2011_replication,beta_student,3.207337653082729,2.0321962285845023,-1.1751414244982268
atasoy_2011_replication,beta_time_pmm,-0.0299292037360967,-0.01594844666330947,0.013980757072787228
atasoy_2011_replication,beta_time_pt,-0.0120682471005967,-0.020098012423376072,-0.008029765322779372
atasoy_2011_replication,beta_urban,0.286154553463541,-0.44756717672299245,-0.7337217301865335
atasoy_2011_replication,beta_work,-0.5824111893155309,0.25153890440371457,0.8339500937192454
