parameter_name,estimate,human_estimate,difference_ai_minus_human,sign_match
ASC_ES,-1.2721147988794348,-1.574,0.30188520112056527,1
ASC_BS,-0.08331472174554362,-1.199,1.1156852782544564,1
ASC_WALK,3.9624353751670296,4.551,-0.5885646248329706,1
ASC_CS,-3.229304075937503,-3.078,-0.15130407593750306,1
ASC_RP,-2.822781252110993,-2.785,-0.03778125211099281,1
ASC_PT,-18.208318821913174,-1.205,-17.003318821913176,1
B_AGE_ES,-0.10523397305841845,-0.051,-0.05423397305841845,1
B_AGE_BS,-0.08440182308196179,-0.041,-0.043401823081961784,1
B_AGE_WALK,0.006471145569464156,0.02,-0.013528854430535845,1
B_AGE_CS,0.0036950707204484955,-0.027,0.030695070720448494,0
B_AGE_RP,-1.6908889020985773,-0.041,-1.6498889020985774,1
B_AGE_PT,0.09176777762210073,0.013,0.07876777762210073,1
B_BIKEACC_ES,0.48895245784993613,1.811,-1.322047542150064,1
B_BIKEACC_BS,0.7711760953209282,2.345,-1.573823904679072,1
B_BIKEACC_WALK,0.6613718475751612,0.495,0.1663718475751612,1
B_BIKEACC_CS,0.11331259456864676,1.621,-1.5076874054313532,1
B_BIKEACC_RP,1.030690027762129,1.13,-0.09930997223787097,1
B_BIKEACC_PT,-0.2574621670813817,0.9,-1.1574621670813818,0
B_CARACC_ES,-1.137620729516879,-0.858,-0.279620729516879,1
B_CARACC_BS,-1.1125677322298608,-1.026,-0.0865677322298608,1
B_CARACC_WALK,-1.3639364082261523,-1.216,-0.14793640822615228,1
B_CARACC_CS,-0.9200875890441537,-1.164,0.24391241095584626,1
B_CARACC_RP,-1.0408662739183079,-1.015,-0.02586627391830798,1
B_CARACC_PT,-3.744092346616963,-1.556,-2.188092346616963,1
B_PTPASS_ES,-0.26333496895544467,1.621,-1.8843349689554447,0
B_PTPASS_BS,-0.4354421094055324,1.799,-2.2344421094055322,0
B_PTPASS_WALK,-0.10838176744629767,1.64,-1.7483817674462976,0
B_PTPASS_CS,0.19492529527687505,2.555,-2.360074704723125,1
B_PTPASS_RP,2.453375174553868,2.476,-0.02262482544613187,1
B_PTPASS_PT,-1.9608926096748744,3.651,-5.611892609674874,0
B_MAAS_ES,-0.21829858685211187,1.377,-1.595298586852112,0
B_MAAS_BS,-0.6887516779579023,1.172,-1.8607516779579023,0
B_MAAS_WALK,-1.4972131233056762,-0.228,-1.2692131233056763,1
B_MAAS_CS,1.8846730942847607,1.114,0.7706730942847606,1
B_MAAS_RP,2.225323391705555,2.234,-0.008676608294444943,1
B_MAAS_PT,0.6836193640722079,1.241,-0.5573806359277922,1
B_TIME_ES,-0.23295797922589037,-0.116,-0.11695797922589037,1
B_TIME_BS,-0.3247388501142599,-0.09,-0.2347388501142599,1
B_TIME_WALK,-0.47850653242591973,-0.212,-0.2665065324259197,1
B_TIME_CAR,-1.291476504723383,-0.057,-1.234476504723383,1
B_TIME_CS,-2.4289683074537334,-0.03,-2.3989683074537336,1
B_TIME_RP,-0.6640527507927748,-0.019,-0.6450527507927748,1
B_TIME_PT,-0.46282462132225605,-0.065,-0.39782462132225604,1
B_ACCESS_SHARED,0.4964227780776253,-0.04,0.5364227780776253,0
B_ACCESS_OWNED,-0.6126544634762928,-0.034,-0.5786544634762928,1
B_EGRESS_SHARED,-0.49181214503811876,-0.03,-0.46181214503811874,1
B_EGRESS_OWNED,-1.9248746130276373,-0.042,-1.8828746130276373,1
B_DETOUR_RP,-0.2739124817233216,-0.018,-0.2559124817233216,1
B_PARKING,-0.09768620290826147,-0.04,-0.057686202908261465,1
B_COST_LOGMEAN,-5.086513719977742,-1.886,-3.2005137199777423,1
SIGMA_COST,-4.1137037231580305,-1.414,-2.6997037231580308,1
B_AVAILABILITY,0.041802683456015594,0.006,0.035802683456015595,1
B_SCHEME_SD_FREE_FLOAT,0.4761735700784923,0.418,0.05817357007849233,1
B_SCHEME_LD_FREE_FLOAT,1.5717922523068606,0.172,1.3997922523068607,1
B_SCHEME_LD_HYBRID,-2.5174110006982144,-0.07,-2.4474110006982146,1
B_PEDELEC,-0.1715372545299798,-0.321,0.1494627454700202,1
B_RANGE,0.1379142826442767,0.006,0.13191428264427668,1
B_CROWDING,-0.011151885815410751,-0.001,-0.010151885815410752,1
B_TRANSFER_PT,6.174934030465418,-0.298,6.472934030465418,0
SIGMA_ES,2.208541883950161,1.315,0.893541883950161,1
SIGMA_BS,1.6256907265865088,1.587,0.03869072658650885,1
SIGMA_WALK,-3.9956430424517673,-2.933,-1.0626430424517674,1
SIGMA_CAR,3.7370862497440718,3.498,0.23908624974407156,1
SIGMA_CS,2.325372559299831,0.315,2.010372559299831,1
SIGMA_RP,0.8876736852006742,0.908,-0.020326314799325784,1
SIGMA_PT,-0.9839283531926712,1.792,-2.775928353192671,0
PHI_POOL,0.4251052822598826,0.776,-0.35089471774011743,1
