parameter_name,estimate_torch,estimate_biogeme,difference_torch_minus_other,sign_match
ASC_ES,-1.2721147988794348,-0.7904378618194156,-0.48167693706001924,1
ASC_BS,-0.08331472174554362,0.8012844355964451,-0.8845991573419888,0
ASC_WALK,3.9624353751670296,1.529241340478435,2.4331940346885945,1
ASC_CS,-3.229304075937503,-3.323636735552169,0.09433265961466608,1
ASC_RP,-2.822781252110993,-2.863229602373616,0.040448350262622945,1
ASC_PT,-18.208318821913174,-13.55425039961644,-4.654068422296735,1
B_AGE_ES,-0.10523397305841845,-0.0877589089591557,-0.01747506409926275,1
B_AGE_BS,-0.08440182308196179,-0.0711018657166449,-0.013299957365316889,1
B_AGE_WALK,0.006471145569464156,0.0751538044055819,-0.06868265883611775,1
B_AGE_CS,0.0036950707204484955,-2.3108333340518477e-05,0.003718179053789014,0
B_AGE_RP,-1.6908889020985773,-0.8082771656481141,-0.8826117364504632,1
B_AGE_PT,0.09176777762210073,0.0684377051528454,0.023330072469255322,1
B_BIKEACC_ES,0.48895245784993613,0.5379221653554095,-0.04896970750547336,1
B_BIKEACC_BS,0.7711760953209282,0.747266225270136,0.02390987005079226,1
B_BIKEACC_WALK,0.6613718475751612,-0.0888295792044003,0.7502014267795615,0
B_BIKEACC_CS,0.11331259456864676,0.0662753380547873,0.047037256513859454,1
B_BIKEACC_RP,1.030690027762129,0.8569257572337414,0.1737642705283875,1
B_BIKEACC_PT,-0.2574621670813817,-0.2824224981403321,0.024960331058950402,1
B_CARACC_ES,-1.137620729516879,-1.3310230940790455,0.19340236456216653,1
B_CARACC_BS,-1.1125677322298608,-1.4125293019864695,0.2999615697566087,1
B_CARACC_WALK,-1.3639364082261523,-1.512769923683925,0.14883351545777268,1
B_CARACC_CS,-0.9200875890441537,-0.821159545775653,-0.09892804326850069,1
B_CARACC_RP,-1.0408662739183079,-1.0693762833503715,0.02851000943206361,1
B_CARACC_PT,-3.744092346616963,-3.589827744749394,-0.15426460186756907,1
B_PTPASS_ES,-0.26333496895544467,0.1568556913136531,-0.4201906602690978,0
B_PTPASS_BS,-0.4354421094055324,-0.0697261749319141,-0.3657159344736183,1
B_PTPASS_WALK,-0.10838176744629767,0.1601541521271277,-0.2685359195734254,0
B_PTPASS_CS,0.19492529527687505,-0.3804247708091121,0.5753500660859872,0
B_PTPASS_RP,2.453375174553868,2.421105295393337,0.03226987916053092,1
B_PTPASS_PT,-1.9608926096748744,-1.425540770329621,-0.5353518393452534,1
B_MAAS_ES,-0.21829858685211187,0.319082850623541,-0.5373814374756529,0
B_MAAS_BS,-0.6887516779579023,-0.3704211949019242,-0.31833048305597805,1
B_MAAS_WALK,-1.4972131233056762,-3.391330064334697,1.8941169410290208,1
B_MAAS_CS,1.8846730942847607,1.584327591470504,0.30034550281425676,1
B_MAAS_RP,2.225323391705555,2.226299160102043,-0.0009757683964881636,1
B_MAAS_PT,0.6836193640722079,0.509629085845047,0.17399027822716095,1
B_TIME_ES,-0.23295797922589037,-0.2123038456876028,-0.020654133538287572,1
B_TIME_BS,-0.3247388501142599,-0.2933003968083362,-0.03143845330592371,1
B_TIME_WALK,-0.47850653242591973,-0.4896252871109395,0.011118754685019772,1
B_TIME_CAR,-1.291476504723383,-1.87997755930119,0.5885010545778071,1
B_TIME_CS,-2.4289683074537334,-2.326378941085078,-0.10258936636865545,1
B_TIME_RP,-0.6640527507927748,-0.8639615870077648,0.19990883621499,1
B_TIME_PT,-0.46282462132225605,-0.4699090978428336,0.007084476520577532,1
B_ACCESS_SHARED,0.4964227780776253,0.078542827407995,0.4178799506696303,1
B_ACCESS_OWNED,-0.6126544634762928,-1.0993713636724771,0.4867169001961843,1
B_EGRESS_SHARED,-0.49181214503811876,-0.207166127867422,-0.28464601717069676,1
B_EGRESS_OWNED,-1.9248746130276373,-1.2190809847808155,-0.7057936282468218,1
B_DETOUR_RP,-0.2739124817233216,-0.4212814288255198,0.14736894710219817,1
B_PARKING,-0.09768620290826147,-1.2474992711666533,1.1498130682583918,1
B_COST_LOGMEAN,-5.086513719977742,-0.2719428063896942,-4.814570913588049,1
SIGMA_COST,-4.1137037231580305,-0.4461010967026787,-3.6676026264553516,1
B_AVAILABILITY,0.041802683456015594,0.0401927041245832,0.001609979331432393,1
B_SCHEME_SD_FREE_FLOAT,0.4761735700784923,2.2795386502324333,-1.803365080153941,1
B_SCHEME_LD_FREE_FLOAT,1.5717922523068606,1.4667477178861086,0.10504453442075201,1
B_SCHEME_LD_HYBRID,-2.5174110006982144,-1.582247462010278,-0.9351635386879364,1
B_PEDELEC,-0.1715372545299798,-0.501467381291768,0.32993012676178823,1
B_RANGE,0.1379142826442767,0.1429835741367602,-0.005069291492483502,1
B_CROWDING,-0.011151885815410751,-0.0087334846647381,-0.002418401150672652,1
B_TRANSFER_PT,6.174934030465418,3.524000839114403,2.6509331913510152,1
SIGMA_ES,2.208541883950161,2.3836661123499168,-0.17512422839975583,1
SIGMA_BS,1.6256907265865088,1.2361504875247953,0.38954023906171353,1
SIGMA_WALK,-3.9956430424517673,-6.054677062327781,2.0590340198760138,1
SIGMA_CAR,3.7370862497440718,4.012128567792953,-0.275042318048881,1
SIGMA_CS,2.325372559299831,2.663644284457466,-0.33827172515763504,1
SIGMA_RP,0.8876736852006742,0.8264799677281796,0.06119371747249469,1
SIGMA_PT,-0.9839283531926712,-0.5776981725251056,-0.40623018066756567,1
PHI_POOL,0.4251052822598826,0.3459244801346249,0.07918080212525769,1
