parameter_name,human_biogeme32,std_error_x,z_value_x,p_value_x,robust_std_error_x,robust_z_value_x,robust_p_value_x,ai_biogeme32,std_error_y,z_value_y,p_value_y,robust_std_error_y,robust_z_value_y,robust_p_value_y,left_sign,right_sign,sign_match,abs_diff
ASC_CAR,0.2562282645101414,1.7976931348623157e+308,1.425317032930463e-309,1.0,1218.538328344394,0.0002102750964413,0.9998322247482644,6.76231424671549,38.13923777801696,0.1773059620665312,0.8592680679405638,69.61222574540483,0.097142623645558,0.9226131321311306,1.0,1.0,True,6.506085982205349
ASC_PT,0.0584020579363149,1.7976931348623157e+308,3.24872230992796e-310,1.0,825.015040936456,7.078908266935849e-05,0.9999435184839118,-3.305939002956824,1.9306815174596763,-1.7123171134443051,0.0868382445769258,2.530820342295642,-1.3062717047540766,0.1914601758418253,1.0,-1.0,False,3.364341060893139
B_COST,-1.6548466984452823,0.2094414536587796,-7.901237646780972,2.664535259100376e-15,0.3399262361057764,-4.868252352049508,1.1258950012305036e-06,0.3922266925152157,0.2744492392909279,1.4291411174196718,0.152963677602729,0.2407367997498288,1.6292760098282173,0.1032546023670557,-1.0,1.0,False,2.047073390960498
B_DIST_OTHER,-1.2560169529131124,0.2197906864196493,-5.714604987924657,1.099591440123504e-08,0.38669261479828,-3.248101734677088,0.001161777234564,-0.603101521208131,0.4175764025053895,-1.444290236683925,0.1486573509736204,0.4941093656601191,-1.2205830593848404,0.2222439236680808,-1.0,-1.0,True,0.6529154317049815
B_DIST_WORK,-1.089705969959342,0.1799169792831607,-6.056715571265332,1.3892891281841455e-09,0.282415786670579,-3.858516490193299,0.0001140773719163,-3.5276418334423254,1.8987915325279103,-1.8578352457396328,0.0631924142778235,0.8583245666561944,-4.109915957765354,3.958031429829312e-05,-1.0,-1.0,True,2.4379358634829833
B_LV_CAR_TO_CAR,1.601594836713964,0.4711069864876011,3.399641445895041,0.0006747427046482,0.8372554887337753,1.9129105252401968,0.0557595079098975,-1.6938839097633485,142.77188259633405,-0.0118642682225641,0.9905339056364442,271.4516499095348,-0.0062400943605531,0.9950211573634568,1.0,-1.0,False,3.2954787464773125
B_LV_CAR_TO_PT,1.085630863472195,0.3687981298911133,2.943699480777532,0.0032431474524006,0.7123678707384309,1.5239750528709903,0.1275149431985669,4.653200757559361,10.018226254228926,0.4644735145201115,0.6423085308994863,9.304987871974436,0.5000759615790873,0.6170215915914234,1.0,1.0,True,3.567569894087166
B_LV_ENV_TO_CAR,1.219558736439333,1.4658943774702795,0.8319553954111942,0.4054341220377586,2.3396039415945515,0.5212671746518539,0.6021806644936478,5.702905112260295,16.890201207666177,0.3376457771072521,0.7356301408395773,31.080274553388275,0.1834895345748669,0.8544139295746411,1.0,1.0,True,4.483346375820962
B_LV_ENV_TO_PT,0.610565579567807,0.9493408044513792,0.6431468832951416,0.5201287955499534,1.5006133516122493,0.4068773471273058,0.6840980744222931,8.177949449291205,0.3080510658844461,26.547382414702824,0.0,0.4502606365005,18.162701303075437,0.0,1.0,1.0,True,7.567383869723398
B_TIME_CAR,-5.222280020311146,1.388023074577054,-3.762387035174061,0.0001682993324272,2.018770723677428,-2.586861380076956,0.009685454784283,-1.726063294389769,6.43026382935426,-0.268428067680561,0.7883698371131898,11.347194163022603,-0.152113665245505,0.8790972863245896,-1.0,-1.0,True,3.496216725921377
B_TIME_PT,-0.788887788476035,0.8607775477842311,-0.9164827666645686,0.3594137421840009,1.243386878083555,-0.6344668762243622,0.5257761772261478,-4.0783920065166175,3.915597877458069,-1.041575803786121,0.2976083915411114,5.466173945398473,-0.7461145670181031,0.4555982104004101,-1.0,-1.0,True,3.2895042180405825
B_WAIT_OTHER,-4.241214965091764,1.1263599435325171,-3.765417075992922,0.0001662713007362,1.3259106137843957,-3.198718617227558,0.0013803982769011,4.226301117443686,2.576961499803667,1.6400326965558774,0.1009983687909519,3.115406216314628,1.3565810761086534,0.174914358028654,-1.0,1.0,False,8.46751608253545
B_WAIT_WORK,-2.611156871091776,0.7955564546196852,-3.2821767153407566,0.0010300902754452,1.0013988608340691,-2.607509328417782,0.0091203585394623,-0.175816210303887,12.560504578751996,-0.013997543586052,0.9888319407799716,4.224844108197502,-0.0416148396961557,0.9668057431232632,-1.0,-1.0,True,2.435340660787889
