parameter_name,torch_estimate,std_error_x,z_value_x,p_value_x,robust_std_error_x,robust_z_value_x,robust_p_value_x,biogeme_estimate,std_error_y,z_value_y,p_value_y,robust_std_error_y,robust_z_value_y,robust_p_value_y,left_sign,right_sign,sign_match,abs_diff
LV_CAR_INTERCEPT,-0.1222700226928442,0.1477174293655306,-0.8277291530052546,0.4078239051020937,0.0525051244041633,-2.3287255116597536,0.0198736117098491,-0.2619984194370011,0.0131264049382589,-19.95964779917506,0.0,0.02403573857045,-10.900368992992249,0.0,-1.0,-1.0,True,0.13972839674415688
LV_CAR_HIGH_EDU,0.1548099499646252,0.0669515606895402,2.3122679795694614,0.0207629201129103,0.0141029195055071,10.97715617707187,4.921742351528637e-28,0.2063018971991723,0.0226519478070245,9.107468327081186,0.0,0.0163476406237343,12.619674113685408,0.0,1.0,1.0,True,0.051491947234547114
LV_CAR_TOP_MANAGER,0.0003767365060658,0.0082818392194121,0.0454894735438494,0.9637171651095316,0.0061150403516566,0.0616081798975866,0.95087486270293,0.0001490468759528,0.0120449866589928,0.0123741835647115,0.9901270819393772,0.0108407225675038,0.013748795343187,0.9890303940634108,1.0,1.0,True,0.00022768963011300002
LV_CAR_EMPLOYEES,0.0197823224512298,0.0097738127073706,2.024012843658386,0.0429688302595446,0.0050858577328991,3.8896727927056896,0.0001003794746127,0.0259498845271125,0.0065580278249136,3.956964688153684,7.590814665281442e-05,0.0067045865490165,3.870467528071377,0.0001086268262209,1.0,1.0,True,0.006167562075882697
LV_CAR_AGE_30_LESS,-0.0259643642350258,0.012226555534389,-2.123604163249177,0.0337032571348643,0.0056915566033206,-4.561909165565912,5.069057764994127e-06,-0.0343333499777595,0.008002172469057,-4.290503623924667,1.7826837670931184e-05,0.0078249414179354,-4.387681407948245,1.1456542733379038e-05,-1.0,-1.0,True,0.008368985742733696
LV_CAR_SCALED_INCOME,0.0035533104307735,0.001646677997113,2.157865980478934,0.0309382531496519,0.0005856711756204,6.0670741171596685,1.3026145373658114e-09,0.0047342819532677,0.000993679287684,4.76439633184035,1.8941987072196296e-06,0.0009724650011146,4.868331454439097,1.1254445142494518e-06,1.0,1.0,True,0.0011809715224942
LV_CAR_PARENTS,0.0067121470690978,0.0051204633175608,1.3108476035905334,0.1899092559538947,0.0039915244235033,1.6815998994205452,0.0926464501317319,0.0094067157681152,0.0066623600472896,1.4119194551699537,0.157973678546347,0.0082431017537023,1.141162155846286,0.2538024495904685,1.0,1.0,True,0.002694568699017399
SIGMA_CAR,1e-06,0.0027543456534949,0.0003630626383914,0.9997103179325872,0.0001990601654803,0.0050236067953975,0.9959917585574962,1e-06,0.0038638642869347,0.0002588082618174,0.9997935008859928,0.0003329822554408,0.0030031630324443,0.9976038261846832,1.0,1.0,True,0.0
LV_ENV_INTERCEPT,-0.1188747148483055,0.3273912370870949,-0.3630968131767119,0.7165325651265515,0.1145584774099919,-1.0376771543747585,0.2994203844223161,0.0021155114566319,0.041201684669602,0.0513452659423099,0.9590503986446772,0.1071979668414813,0.0197346229500809,0.984255071032616,-1.0,1.0,False,0.1209902263049374
LV_ENV_CHILD_SUBURB,-0.0211556119565134,0.0461824370239566,-0.4580878212541974,0.6468893482518464,0.0626093813680212,-0.3378984346157272,0.7354397272492792,-0.0100993543116567,0.0490282521540438,-0.205990502780421,0.8367983299077761,0.0666426396291354,-0.1515449323114962,0.8795458692367519,-1.0,-1.0,True,0.011056257644856701
