run_label,run_id,synthetic_respondent_id,persona_id,task_position,task_id,template_id,survey_stratum,alternative_id,alternative_name,display_label,is_available,travel_time,travel_cost,headway,seat_configuration
ai_run_03,3,1,SMAI03_0001,1,SMAI03_0001_T01,S0_TPL002,0,1,TRAIN,A,1,101,0,120,0
ai_run_03,3,1,SMAI03_0001,1,SMAI03_0001_T01,S0_TPL002,0,2,SWISSMETRO,B,1,54,0,30,1
ai_run_03,3,1,SMAI03_0001,1,SMAI03_0001_T01,S0_TPL002,0,3,CAR,C,0,0,0,0,0
ai_run_03,3,1,SMAI03_0001,2,SMAI03_0001_T02,S0_TPL002,0,1,TRAIN,A,1,76,0,120,0
ai_run_03,3,1,SMAI03_0001,2,SMAI03_0001_T02,S0_TPL002,0,2,SWISSMETRO,B,1,60,0,30,0
ai_run_03,3,1,SMAI03_0001,2,SMAI03_0001_T02,S0_TPL002,0,3,CAR,C,0,0,0,0,0
ai_run_03,3,1,SMAI03_0001,3,SMAI03_0001_T03,S0_TPL002,0,1,TRAIN,A,1,101,0,120,0
ai_run_03,3,1,SMAI03_0001,3,SMAI03_0001_T03,S0_TPL002,0,2,SWISSMETRO,B,1,66,0,20,1
ai_run_03,3,1,SMAI03_0001,3,SMAI03_0001_T03,S0_TPL002,0,3,CAR,C,0,0,0,0,0
ai_run_03,3,1,SMAI03_0001,4,SMAI03_0001_T04,S0_TPL002,0,1,TRAIN,A,1,84,0,60,0
ai_run_03,3,1,SMAI03_0001,4,SMAI03_0001_T04,S0_TPL002,0,2,SWISSMETRO,B,1,66,0,10,0
ai_run_03,3,1,SMAI03_0001,4,SMAI03_0001_T04,S0_TPL002,0,3,CAR,C,0,0,0,0,0
ai_run_03,3,1,SMAI03_0001,5,SMAI03_0001_T05,S0_TPL002,0,1,TRAIN,A,1,84,0,120,0
ai_run_03,3,1,SMAI03_0001,5,SMAI03_0001_T05,S0_TPL002,0,2,SWISSMETRO,B,1,66,0,30,0
ai_run_03,3,1,SMAI03_0001,5,SMAI03_0001_T05,S0_TPL002,0,3,CAR,C,0,0,0,0,0
ai_run_03,3,1,SMAI03_0001,6,SMAI03_0001_T06,S0_TPL002,0,1,TRAIN,A,1,76,0,60,0
ai_run_03,3,1,SMAI03_0001,6,SMAI03_0001_T06,S0_TPL002,0,2,SWISSMETRO,B,1,66,0,20,1
ai_run_03,3,1,SMAI03_0001,6,SMAI03_0001_T06,S0_TPL002,0,3,CAR,C,0,0,0,0,0
ai_run_03,3,1,SMAI03_0001,7,SMAI03_0001_T07,S0_TPL002,0,1,TRAIN,A,1,76,0,60,0
ai_run_03,3,1,SMAI03_0001,7,SMAI03_0001_T07,S0_TPL002,0,2,SWISSMETRO,B,1,60,0,10,1
ai_run_03,3,1,SMAI03_0001,7,SMAI03_0001_T07,S0_TPL002,0,3,CAR,C,0,0,0,0,0
ai_run_03,3,1,SMAI03_0001,8,SMAI03_0001_T08,S0_TPL002,0,1,TRAIN,A,1,76,0,120,0
ai_run_03,3,1,SMAI03_0001,8,SMAI03_0001_T08,S0_TPL002,0,2,SWISSMETRO,B,1,54,0,20,0
ai_run_03,3,1,SMAI03_0001,8,SMAI03_0001_T08,S0_TPL002,0,3,CAR,C,0,0,0,0,0
ai_run_03,3,1,SMAI03_0001,9,SMAI03_0001_T09,S0_TPL002,0,1,TRAIN,A,1,84,0,30,0
ai_run_03,3,1,SMAI03_0001,9,SMAI03_0001_T09,S0_TPL002,0,2,SWISSMETRO,B,1,66,0,20,1
ai_run_03,3,1,SMAI03_0001,9,SMAI03_0001_T09,S0_TPL002,0,3,CAR,C,0,0,0,0,0
ai_run_03,3,2,SMAI03_0002,1,SMAI03_0002_T01,S1_TPL012,1,1,TRAIN,A,1,107,163,120,0
ai_run_03,3,2,SMAI03_0002,1,SMAI03_0002_T01,S1_TPL012,1,2,SWISSMETRO,B,1,58,170,20,0
ai_run_03,3,2,SMAI03_0002,1,SMAI03_0002_T01,S1_TPL012,1,3,CAR,C,1,130,55,0,0
ai_run_03,3,2,SMAI03_0002,2,SMAI03_0002_T02,S1_TPL012,1,1,TRAIN,A,1,96,163,30,0
ai_run_03,3,2,SMAI03_0002,2,SMAI03_0002_T02,S1_TPL012,1,2,SWISSMETRO,B,1,52,155,10,0
ai_run_03,3,2,SMAI03_0002,2,SMAI03_0002_T02,S1_TPL012,1,3,CAR,C,1,130,72,0,0
ai_run_03,3,2,SMAI03_0002,3,SMAI03_0002_T03,S1_TPL012,1,1,TRAIN,A,1,128,163,60,0
ai_run_03,3,2,SMAI03_0002,3,SMAI03_0002_T03,S1_TPL012,1,2,SWISSMETRO,B,1,64,202,30,0
ai_run_03,3,2,SMAI03_0002,3,SMAI03_0002_T03,S1_TPL012,1,3,CAR,C,1,130,44,0,0
ai_run_03,3,2,SMAI03_0002,4,SMAI03_0002_T04,S1_TPL012,1,1,TRAIN,A,1,96,136,30,0
ai_run_03,3,2,SMAI03_0002,4,SMAI03_0002_T04,S1_TPL012,1,2,SWISSMETRO,B,1,58,170,20,0
ai_run_03,3,2,SMAI03_0002,4,SMAI03_0002_T04,S1_TPL012,1,3,CAR,C,1,80,44,0,0
ai_run_03,3,2,SMAI03_0002,5,SMAI03_0002_T05,S1_TPL012,1,1,TRAIN,A,1,128,122,60,0
ai_run_03,3,2,SMAI03_0002,5,SMAI03_0002_T05,S1_TPL012,1,2,SWISSMETRO,B,1,58,124,20,0
ai_run_03,3,2,SMAI03_0002,5,SMAI03_0002_T05,S1_TPL012,1,3,CAR,C,1,100,72,0,0
ai_run_03,3,2,SMAI03_0002,6,SMAI03_0002_T06,S1_TPL012,1,1,TRAIN,A,1,107,122,120,0
