run_label,run_id,synthetic_respondent_id,persona_id,task_position,task_id,template_id,survey_stratum,GROUP,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,SM_AV,CAR_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,custom_id
ai_run_03,3,1,SMAI03_0001,1,SMAI03_0001_T01,S0_TPL002,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,101,0,120,54,0,30,1,0,0,1
ai_run_03,3,1,SMAI03_0001,2,SMAI03_0001_T02,S0_TPL002,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,76,0,120,60,0,30,0,0,0,2
ai_run_03,3,1,SMAI03_0001,3,SMAI03_0001_T03,S0_TPL002,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,101,0,120,66,0,20,1,0,0,3
ai_run_03,3,1,SMAI03_0001,4,SMAI03_0001_T04,S0_TPL002,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,84,0,60,66,0,10,0,0,0,4
ai_run_03,3,1,SMAI03_0001,5,SMAI03_0001_T05,S0_TPL002,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,84,0,120,66,0,30,0,0,0,5
ai_run_03,3,1,SMAI03_0001,6,SMAI03_0001_T06,S0_TPL002,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,76,0,60,66,0,20,1,0,0,6
ai_run_03,3,1,SMAI03_0001,7,SMAI03_0001_T07,S0_TPL002,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,76,0,60,60,0,10,1,0,0,7
ai_run_03,3,1,SMAI03_0001,8,SMAI03_0001_T08,S0_TPL002,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,76,0,120,54,0,20,0,0,0,8
ai_run_03,3,1,SMAI03_0001,9,SMAI03_0001_T09,S0_TPL002,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,84,0,30,66,0,20,1,0,0,9
ai_run_03,3,2,SMAI03_0002,1,SMAI03_0002_T01,S1_TPL012,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,107,163,120,58,170,20,0,130,55,10
ai_run_03,3,2,SMAI03_0002,2,SMAI03_0002_T02,S1_TPL012,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,96,163,30,52,155,10,0,130,72,11
ai_run_03,3,2,SMAI03_0002,3,SMAI03_0002_T03,S1_TPL012,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,128,163,60,64,202,30,0,130,44,12
ai_run_03,3,2,SMAI03_0002,4,SMAI03_0002_T04,S1_TPL012,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,96,136,30,58,170,20,0,80,44,13
ai_run_03,3,2,SMAI03_0002,5,SMAI03_0002_T05,S1_TPL012,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,128,122,60,58,124,20,0,100,72,14
ai_run_03,3,2,SMAI03_0002,6,SMAI03_0002_T06,S1_TPL012,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,107,122,120,52,155,10,0,100,44,15
ai_run_03,3,2,SMAI03_0002,7,SMAI03_0002_T07,S1_TPL012,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,96,163,120,64,202,10,0,80,55,16
ai_run_03,3,2,SMAI03_0002,8,SMAI03_0002_T08,S1_TPL012,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,96,122,30,64,140,30,0,100,55,17
ai_run_03,3,2,SMAI03_0002,9,SMAI03_0002_T09,S1_TPL012,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,128,136,60,52,140,10,0,80,55,18
ai_run_03,3,3,SMAI03_0003,1,SMAI03_0003_T01,S1_TPL021,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,284,119,120,133,132,30,0,200,110,19
ai_run_03,3,3,SMAI03_0003,2,SMAI03_0003_T02,S1_TPL021,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,213,89,120,133,108,30,0,260,88,20
ai_run_03,3,3,SMAI03_0003,3,SMAI03_0003_T03,S1_TPL021,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,284,89,120,146,108,20,0,160,88,21
ai_run_03,3,3,SMAI03_0003,4,SMAI03_0003_T04,S1_TPL021,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,237,89,60,146,108,10,0,260,143,22
ai_run_03,3,3,SMAI03_0003,5,SMAI03_0003_T05,S1_TPL021,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,237,99,120,146,120,30,0,160,143,23
ai_run_03,3,3,SMAI03_0003,6,SMAI03_0003_T06,S1_TPL021,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,213,99,60,146,120,20,0,260,110,24
ai_run_03,3,3,SMAI03_0003,7,SMAI03_0003_T07,S1_TPL021,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,213,119,60,133,132,10,0,200,88,25
ai_run_03,3,3,SMAI03_0003,8,SMAI03_0003_T08,S1_TPL021,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,213,99,120,133,120,20,0,200,143,26
ai_run_03,3,3,SMAI03_0003,9,SMAI03_0003_T09,S1_TPL021,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,237,119,30,146,156,20,0,200,143,27
ai_run_03,3,4,SMAI03_0004,1,SMAI03_0004_T01,S1_TPL004,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,125,163,120,49,170,20,0,156,80,28
ai_run_03,3,4,SMAI03_0004,2,SMAI03_0004_T02,S1_TPL004,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,112,163,30,44,155,10,0,156,104,29
ai_run_03,3,4,SMAI03_0004,3,SMAI03_0004_T03,S1_TPL004,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,150,163,60,54,186,30,0,156,64,30
ai_run_03,3,4,SMAI03_0004,4,SMAI03_0004_T04,S1_TPL004,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,112,136,30,49,170,20,0,96,64,31
ai_run_03,3,4,SMAI03_0004,5,SMAI03_0004_T05,S1_TPL004,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,150,122,60,49,124,20,0,120,104,32
ai_run_03,3,4,SMAI03_0004,6,SMAI03_0004_T06,S1_TPL004,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,125,122,120,44,155,10,0,120,64,33
