run_label,run_id,synthetic_respondent_id,persona_id,task_position,task_id,survey_stratum,ga,car_av,choice_label,choice_code,choice_name,is_valid_choice
ai_run_03,3,1,SMAI03_0001,1,SMAI03_0001_T01,0,1,0,B,2,SWISSMETRO,1
ai_run_03,3,1,SMAI03_0001,2,SMAI03_0001_T02,0,1,0,B,2,SWISSMETRO,1
ai_run_03,3,1,SMAI03_0001,3,SMAI03_0001_T03,0,1,0,B,2,SWISSMETRO,1
ai_run_03,3,1,SMAI03_0001,4,SMAI03_0001_T04,0,1,0,B,2,SWISSMETRO,1
ai_run_03,3,1,SMAI03_0001,5,SMAI03_0001_T05,0,1,0,B,2,SWISSMETRO,1
ai_run_03,3,1,SMAI03_0001,6,SMAI03_0001_T06,0,1,0,B,2,SWISSMETRO,1
ai_run_03,3,1,SMAI03_0001,7,SMAI03_0001_T07,0,1,0,B,2,SWISSMETRO,1
ai_run_03,3,1,SMAI03_0001,8,SMAI03_0001_T08,0,1,0,B,2,SWISSMETRO,1
ai_run_03,3,1,SMAI03_0001,9,SMAI03_0001_T09,0,1,0,B,2,SWISSMETRO,1
ai_run_03,3,2,SMAI03_0002,1,SMAI03_0002_T01,1,0,1,B,2,SWISSMETRO,1
ai_run_03,3,2,SMAI03_0002,2,SMAI03_0002_T02,1,0,1,B,2,SWISSMETRO,1
ai_run_03,3,2,SMAI03_0002,3,SMAI03_0002_T03,1,0,1,C,3,CAR,1
ai_run_03,3,2,SMAI03_0002,4,SMAI03_0002_T04,1,0,1,B,2,SWISSMETRO,1
ai_run_03,3,2,SMAI03_0002,5,SMAI03_0002_T05,1,0,1,B,2,SWISSMETRO,1
ai_run_03,3,2,SMAI03_0002,6,SMAI03_0002_T06,1,0,1,C,3,CAR,1
ai_run_03,3,2,SMAI03_0002,7,SMAI03_0002_T07,1,0,1,C,3,CAR,1
ai_run_03,3,2,SMAI03_0002,8,SMAI03_0002_T08,1,0,1,C,3,CAR,1
ai_run_03,3,2,SMAI03_0002,9,SMAI03_0002_T09,1,0,1,B,2,SWISSMETRO,1
ai_run_03,3,3,SMAI03_0003,1,SMAI03_0003_T01,1,0,1,C,3,CAR,1
ai_run_03,3,3,SMAI03_0003,2,SMAI03_0003_T02,1,0,1,B,2,SWISSMETRO,1
ai_run_03,3,3,SMAI03_0003,3,SMAI03_0003_T03,1,0,1,C,3,CAR,1
ai_run_03,3,3,SMAI03_0003,4,SMAI03_0003_T04,1,0,1,B,2,SWISSMETRO,1
ai_run_03,3,3,SMAI03_0003,5,SMAI03_0003_T05,1,0,1,C,3,CAR,1
ai_run_03,3,3,SMAI03_0003,6,SMAI03_0003_T06,1,0,1,B,2,SWISSMETRO,1
