parameter_name,human_estimate,source_table,normalization,source_note,estimate,std_error,z_value,p_value,significant_5pct,difference_ai_minus_human,sign_match
ASC_ES_REL_CAR,1.504,Table_4,private_car_base_for_sd_subset,Computed as ASC_ES minus ASC_CAR from the paper.,-5.419559686581204,4.933670509307064,-1.098484318390849,0.2719930615389268,0,-6.9235596865812035,0
ASC_BS_REL_CAR,1.879,Table_4,private_car_base_for_sd_subset,Computed as ASC_BS minus ASC_CAR from the paper.,4.903478676013521,7.845005474672608,0.6250446467939725,0.5319417558359361,0,3.0244786760135214,1
ASC_WALK_REL_CAR,7.629,Table_4,private_car_base_for_sd_subset,Computed as ASC_WALK minus ASC_CAR from the paper.,-10.313988388723978,3.5301876980092266,-2.921654390938003,0.0034817766121917,1,-17.942988388723975,0
AGE_ES_REL_CAR,-0.024,Table_4,private_car_base_for_sd_subset,Computed as AGE_ES minus AGE_CAR.,-0.0766329001668807,0.0097273566670415,-7.878080632792067,3.3306690738754696e-15,1,-0.05263290016688069,1
AGE_BS_REL_CAR,-0.014,Table_4,private_car_base_for_sd_subset,Computed as AGE_BS minus AGE_CAR.,-0.0253470324936206,0.0040040530197346,-6.330343871245765,2.4461543901566074e-10,1,-0.011347032493620601,1
AGE_WALK_REL_CAR,0.047,Table_4,private_car_base_for_sd_subset,Computed as AGE_WALK minus AGE_CAR.,0.143177984199405,0.0538942632069965,2.656646100708132,0.0078922244993127,1,0.096177984199405,1
BIKEACC_ES_REL_CAR,0.19,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_ES minus BIKEACC_CAR.,-0.2083329090811765,0.0947558548205274,-2.198628353633345,0.027904359170243,1,-0.39833290908117647,0
BIKEACC_BS_REL_CAR,0.724,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_BS minus BIKEACC_CAR.,0.2140626217695392,0.0423186711906545,5.058349323048018,4.22901211827309e-07,1,-0.5099373782304608,1
BIKEACC_WALK_REL_CAR,-1.126,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_WALK minus BIKEACC_CAR.,-0.1416486194214164,0.1866145956661525,-0.75904362633468,0.4478264599912043,0,0.9843513805785835,1
CARACC_ES_REL_CAR,0.306,Table_4,private_car_base_for_sd_subset,Computed as CARACC_ES minus CARACC_CAR.,-0.279211008398465,0.1346621466946133,-2.07341866479865,0.038133333381471,1,-0.585211008398465,0
