respondent_id,posterior_distortion_score
Q80001_R1,30.6678208005449
Q80001_R2,30.6678208005449
Q80001_R3,30.6678208005449
Q80001_R4,30.6678208005449
Q80002_R1,30.738740984568892
Q80002_R2,30.738740984568892
Q80002_R3,30.738740984568892
Q80002_R4,30.738740984568892
Q80003_R1,42.54910863166381
Q80003_R2,42.54910863166381
Q80003_R3,42.54910863166381
Q80003_R4,42.54910863166381
Q80004_R1,24.84614485403393
Q80004_R2,24.84614485403393
Q80004_R3,24.84614485403393
Q80004_R4,24.84614485403393
Q80005_R1,30.738774732367222
Q80005_R2,30.738774732367222
Q80005_R3,30.738774732367222
Q80005_R4,30.738774732367222
Q80006_R1,24.846660609882502
Q80006_R2,24.846660609882502
Q80006_R3,24.846660609882502
Q80006_R4,24.846660609882502
Q80007_R1,30.5471806886206
Q80007_R2,30.5471806886206
Q80007_R3,30.5471806886206
Q80007_R4,30.5471806886206
Q80008_R1,24.946946056635472
Q80008_R2,24.946946056635472
Q80008_R3,24.946946056635472
Q80008_R4,24.946946056635472
Q80009_R1,30.738724077941846
Q80009_R2,30.738724077941846
Q80009_R3,30.738724077941846
Q80009_R4,30.738724077941846
Q80010_R1,30.738776984579445
Q80010_R2,30.738776984579445
Q80010_R3,30.738776984579445
Q80010_R4,30.738776984579445
Q80011_R1,30.73151054192066
Q80011_R2,30.73151054192066
Q80011_R3,30.73151054192066
Q80011_R4,30.73151054192066
Q80012_R1,24.846139461808537
Q80012_R2,24.846139461808537
