parameter_name,estimate
ASC_PT_C1,1.9304361973917117
ASC_CAR_C1,13.52124462558869
B_COST_C1,0.06368011860339627
B_TIME_PT_C1,-0.48231459582412994
B_TIME_CAR_C1,-0.5261354088234443
B_WAIT_C1,-0.5209080081521559
B_DIST_C1,-3.6314419467279095
ASC_PT_C2,5.747914977933076
ASC_CAR_C2,6.411483250395764
B_COST_C2,-0.0895043232158953
B_TIME_PT_C2,-0.025010608616520883
B_TIME_CAR_C2,-0.033996015215692385
B_WAIT_C2,-0.01300548747815733
B_DIST_C2,-0.02992839219024177
LOG_SCALE_CLASS_2,-2.0
CLASS_INTERCEPT_C2,6.024364757444481
CLASS_semantic_arm_C2,-0.5572858241653618
CLASS_prompt_family_naturalistic_C2,-1.1732069386773052
CLASS_ScaledIncome_C2,0.0015456845984561233
CLASS_CAR_AVAILABLE_C2,-7.178060929219983
CLASS_block_complexity_mean_C2,4.45888123162614
SCALE_INTERCEPT_S2,-3.1343980094896904
SCALE_semantic_arm_S2,-10.106489277607514
SCALE_prompt_family_naturalistic_S2,2.6329062216577697
SCALE_ScaledIncome_S2,-0.16457407611039016
SCALE_CAR_AVAILABLE_S2,8.891888295186737
SCALE_block_complexity_mean_S2,-15.190432539677687
