respondent_id,most_likely_state,posterior_c1_s1,posterior_c1_s2,posterior_c2_s1,posterior_c2_s2
PO0001_R1,0,0.8417390777603388,2.374208094674504e-06,0.1582585479841628,4.740381243222423e-11
PO0001_R2,0,0.8417390777603388,2.374208094674504e-06,0.1582585479841628,4.740381243222423e-11
PO0001_R3,0,0.8417390777603388,2.374208094674504e-06,0.1582585479841628,4.740381243222423e-11
PO0001_R4,0,0.8417390777603388,2.374208094674504e-06,0.1582585479841628,4.740381243222423e-11
PO0002_R1,0,0.8567235365387689,8.834831664647067e-06,0.14326762857805622,5.1510322890470906e-11
PO0002_R2,2,3.944259884412382e-24,4.6830580711900974e-07,0.9999995265805418,5.1136507091359235e-09
PO0002_R3,0,0.8567235365387689,8.834831664647067e-06,0.14326762857805622,5.1510322890470906e-11
PO0002_R4,0,0.8567235365387689,8.834831664647067e-06,0.14326762857805622,5.1510322890470906e-11
PO0003_R1,2,3.066647126477235e-57,9.074324296624048e-16,0.999999999916886,8.311302927080024e-11
PO0003_R2,2,4.562995412552991e-40,1.4899619364078304e-14,0.9999999999935145,6.4710263535797025e-12
PO0003_R3,2,3.066647126477235e-57,9.074324296624048e-16,0.999999999916886,8.311302927080024e-11
PO0003_R4,2,1.1065511578395349e-41,1.5271772451562452e-12,0.9999999989012576,1.097214699403705e-09
PO0004_R1,1,1.641467275554343e-14,0.8250864870286383,0.17371087640264127,0.0012026365687043124
PO0004_R2,2,3.59232071547951e-57,1.9568847392806165e-07,0.9997852932805167,0.0002145110310092049
PO0004_R3,2,4.9589431804760235e-80,6.373688682246125e-11,0.9999132946789784,8.67052572849944e-05
PO0004_R4,2,3.59232071547951e-57,1.9568847392806165e-07,0.9997852932805167,0.0002145110310092049
PO0005_R1,0,0.7263432545986845,0.12904959318573087,0.14460612505240647,1.0271631781872664e-06
PO0005_R2,2,3.469490966356724e-07,0.18292058654854462,0.8170658728629681,1.3193639390369291e-05
PO0005_R3,2,9.496347909562261e-21,0.02597137730343003,0.9738972726511194,0.00013135004545033893
PO0005_R4,0,0.7263432545986845,0.12904959318573087,0.14460612505240647,1.0271631781872664e-06
PO0006_R1,2,2.315156804661591e-06,1.8186208024227962e-06,0.9999958656860426,5.363502435222635e-10
PO0006_R2,2,4.4997876028853566e-38,4.00382955688273e-09,0.9999999728834069,2.3112763782969702e-08
PO0006_R3,2,4.4997876028853566e-38,4.00382955688273e-09,0.9999999728834069,2.3112763782969702e-08
PO0006_R4,2,2.315156804661591e-06,1.8186208024227962e-06,0.9999958656860426,5.363502435222635e-10
PO0007_R1,0,0.8390348058235839,1.95019817402326e-08,0.16096517467408228,3.5216885260879113e-13
PO0007_R2,2,1.756112004873336e-54,1.4761882496990692e-13,0.9999999999370663,6.278625710404306e-11
PO0007_R3,2,2.8136134375462996e-37,7.578564933212457e-12,0.9999999999772893,1.51323098397334e-11
PO0007_R4,2,7.049339164441861e-77,1.0325301165452584e-15,0.9999999995283169,4.716819208081217e-10
PO0008_R1,0,0.9545734830503153,4.953019328922598e-05,0.045376986670345586,8.604996505302715e-11
PO0008_R2,0,0.9545734830503153,4.953019328922598e-05,0.045376986670345586,8.604996505302715e-11
PO0008_R3,0,0.9545734830503153,4.953019328922598e-05,0.045376986670345586,8.604996505302715e-11
PO0008_R4,0,0.9545734830503153,4.953019328922598e-05,0.045376986670345586,8.604996505302715e-11
PO0009_R1,0,0.8641324527778839,9.017765410151076e-06,0.13585852942942286,2.7283219568357025e-11
PO0009_R2,0,0.8641324527778839,9.017765410151076e-06,0.13585852942942286,2.7283219568357025e-11
PO0009_R3,0,0.8641324527778839,9.017765410151076e-06,0.13585852942942286,2.7283219568357025e-11
PO0009_R4,0,0.8641324527778839,9.017765410151076e-06,0.13585852942942286,2.7283219568357025e-11
PO0010_R1,0,0.7590994895109262,0.009135955282654186,0.23176428273750177,2.724689179884442e-07
PO0010_R2,2,2.581942849317632e-133,4.595856890796891e-18,0.9998585852386079,0.00014141476139271973
PO0010_R3,0,0.7590994895109262,0.009135955282654186,0.23176428273750177,2.724689179884442e-07
PO0010_R4,0,0.7590994895109262,0.009135955282654186,0.23176428273750177,2.724689179884442e-07
PO0011_R1,3,1.3329151996123888e-180,1.111395439296666e-20,0.06733632141680229,0.9326636785831971
PO0011_R2,2,1.1062121397450863e-79,1.5952621344309915e-08,0.9578468274575342,0.04215315658984468
PO0011_R3,2,6.940685128687434e-103,2.061335736483534e-11,0.9251462755961637,0.07485372438322295
PO0011_R4,2,1.0941919718279592e-128,1.2769185533965143e-14,0.8575279373704399,0.1424720626295464
PO0012_R1,2,5.6526495194548464e-61,1.2443437388076456e-11,0.9999998583233094,1.4166424802809335e-07
PO0012_R2,2,1.4984501934467978e-06,4.6462702621657686e-07,0.9999980366947362,2.2804435180961608e-10
PO0012_R3,2,3.3945591179530886e-67,3.5641752818542875e-12,0.9999997179873084,2.820091280546286e-07
PO0012_R4,2,1.5926925903135654e-45,2.3827145680135635e-10,0.9999999777589237,2.2002804936019534e-08
PO0013_R1,2,1.6430478677878873e-70,1.008742311001026e-07,0.9979743998692737,0.002025499256494406
PO0013_R2,2,2.755292068731676e-14,0.038758631257520264,0.9612223249285591,1.9043813892943113e-05
PO0013_R3,2,2.755292068731676e-14,0.038758631257520264,0.9612223249285591,1.9043813892943113e-05
PO0013_R4,0,0.8599642267527623,0.13497576998142485,0.005059516865147566,4.864006652765064e-07
PO0014_R1,0,0.867013354274457,3.0345052426249986e-06,0.1329836112034963,1.6804112501840815e-11
PO0014_R2,0,0.867013354274457,3.0345052426249986e-06,0.1329836112034963,1.6804112501840815e-11
PO0014_R3,0,0.867013354274457,3.0345052426249986e-06,0.1329836112034963,1.6804112501840815e-11
PO0014_R4,0,0.867013354274457,3.0345052426249986e-06,0.1329836112034963,1.6804112501840815e-11
