respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count
PO0001_R1,54261409,2.029711386372872,20,female,30 or younger,2000,around CHF 2000 per month,0,1,0,1,0,1,2.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,1,3,1,1,poe_gpt54_nano,POT0001,1,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2
PO0001_R2,54261409,2.029711386372872,20,female,30 or younger,2000,around CHF 2000 per month,0,1,0,1,0,1,2.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,1,3,1,1,poe_gpt54_nano,POT0001,2,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2
PO0002_R1,30860032,0.8584724543995766,47,female,47 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,1,1,2,1,poe_gpt54_nano,POT0002,1,semantic_arm,1,naturalistic,1,0.5642050108118849,0.23339669979327946,16,6,2,2,2,2,2
PO0002_R2,30860032,0.8584724543995766,47,female,47 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,1,1,2,1,poe_gpt54_nano,POT0002,2,semantic_arm,1,naturalistic,1,0.5642050108118849,0.23339669979327946,16,6,2,2,2,2,2
PO0003_R1,30860015,0.8584724543995766,55,female,55 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,2,3,3,4,1,3,poe_gpt54_nano,POT0003,1,semantic_arm,1,naturalistic,1,0.5024150214857873,0.21319732722450835,16,6,2,2,2,2,2
PO0003_R2,30860015,0.8584724543995766,55,female,55 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,2,3,3,4,1,3,poe_gpt54_nano,POT0003,2,semantic_arm,1,naturalistic,1,0.5024150214857873,0.21319732722450835,16,6,2,2,2,2,2
PO0004_R1,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,poe_gpt54_nano,POT0004,1,neutral_arm,0,concise,0,0.427841794957956,0.11920533368786738,16,6,2,2,2,2,2
PO0004_R2,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,poe_gpt54_nano,POT0004,2,neutral_arm,0,concise,0,0.427841794957956,0.11920533368786738,16,6,2,2,2,2,2
PO0005_R1,54201031,0.2545934244605354,40,male,40 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,1,0,0,1,6,4,2,1,0,a work trip,not high education,1,car is available for this trip,3,3,1,4,1,3,poe_gpt54_nano,POT0005,1,neutral_arm,0,naturalistic,1,0.5500708507039647,0.21585375612954533,16,6,2,2,2,2,2
PO0005_R2,54201031,0.2545934244605354,40,male,40 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,1,0,0,1,6,4,2,1,0,a work trip,not high education,1,car is available for this trip,3,3,1,4,1,3,poe_gpt54_nano,POT0005,2,neutral_arm,0,naturalistic,1,0.5500708507039647,0.21585375612954533,16,6,2,2,2,2,2
PO0006_R1,28000244,0.6019450605361366,38,male,38 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,0,1,0,1,4,5,3,1,0,a work trip,high education,1,car is available for this trip,3,3,1,4,1,3,poe_gpt54_nano,POT0006,1,semantic_arm,1,concise,0,0.3341964434520645,0.10777831092353883,16,6,2,2,2,2,2
PO0006_R2,28000244,0.6019450605361366,38,male,38 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,0,1,0,1,4,5,3,1,0,a work trip,high education,1,car is available for this trip,3,3,1,4,1,3,poe_gpt54_nano,POT0006,2,semantic_arm,1,concise,0,0.3341964434520645,0.10777831092353883,16,6,2,2,2,2,2
PO0007_R1,31320656,0.2545934244605354,42,male,42 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,0,0,1,2,4,3,2,1,0,a work trip,high education,1,car is available for this trip,2,4,3,5,3,2,poe_gpt54_nano,POT0007,1,semantic_arm,1,concise,0,0.6448941080005018,0.11465912192759656,16,6,2,2,2,2,2
