experiment_name,respondent_id,persona_id,subsample,block_id,task_id,task_index_within_subsample,task_in_block,presented_task_position,choice_label,chosen_alternative_id,chosen_alternative_name,choice_code,is_valid_choice,female,gender_text,age_band,age_years,income_band,metropolis,city_type_text,household_cars,accessible_bikes,pt_pass,pt_pass_text,maas_subscription,maas_text,assigned_block_id
20260327_public_materials_pooled_7alts_biogeme_v7,1,P0001,SD,5,SD_B05_T05,29,5,1,A,e_scooter,E-Scooter Sharing,1,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,5
20260327_public_materials_pooled_7alts_biogeme_v7,1,P0001,SD,5,SD_B05_T04,28,4,2,A,e_scooter,E-Scooter Sharing,1,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,5
20260327_public_materials_pooled_7alts_biogeme_v7,1,P0001,SD,5,SD_B05_T06,30,6,3,A,e_scooter,E-Scooter Sharing,1,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,5
20260327_public_materials_pooled_7alts_biogeme_v7,1,P0001,SD,5,SD_B05_T02,26,2,4,A,e_scooter,E-Scooter Sharing,1,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,5
20260327_public_materials_pooled_7alts_biogeme_v7,1,P0001,SD,5,SD_B05_T03,27,3,5,A,e_scooter,E-Scooter Sharing,1,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,5
20260327_public_materials_pooled_7alts_biogeme_v7,1,P0001,SD,5,SD_B05_T01,25,1,6,A,e_scooter,E-Scooter Sharing,1,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,5
20260327_public_materials_pooled_7alts_biogeme_v7,2,P0002,SD,2,SD_B02_T06,12,6,1,A,e_scooter,E-Scooter Sharing,1,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription,2
20260327_public_materials_pooled_7alts_biogeme_v7,2,P0002,SD,2,SD_B02_T03,9,3,2,A,e_scooter,E-Scooter Sharing,1,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription,2
20260327_public_materials_pooled_7alts_biogeme_v7,2,P0002,SD,2,SD_B02_T04,10,4,3,A,e_scooter,E-Scooter Sharing,1,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription,2
20260327_public_materials_pooled_7alts_biogeme_v7,2,P0002,SD,2,SD_B02_T05,11,5,4,A,e_scooter,E-Scooter Sharing,1,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription,2
20260327_public_materials_pooled_7alts_biogeme_v7,2,P0002,SD,2,SD_B02_T02,8,2,5,A,e_scooter,E-Scooter Sharing,1,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription,2
20260327_public_materials_pooled_7alts_biogeme_v7,2,P0002,SD,2,SD_B02_T01,7,1,6,A,e_scooter,E-Scooter Sharing,1,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription,2
20260327_public_materials_pooled_7alts_biogeme_v7,3,P0003,MD,4,MD_B04_T01,19,1,1,D,private_car,Private Car,4,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,3,P0003,MD,4,MD_B04_T03,21,3,2,D,private_car,Private Car,4,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,3,P0003,MD,4,MD_B04_T04,22,4,3,D,private_car,Private Car,4,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,3,P0003,MD,4,MD_B04_T02,20,2,4,D,private_car,Private Car,4,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,3,P0003,MD,4,MD_B04_T05,23,5,5,D,private_car,Private Car,4,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,3,P0003,MD,4,MD_B04_T06,24,6,6,D,private_car,Private Car,4,1,0,male,68_plus,70,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,4,P0004,SD,4,SD_B04_T03,21,3,1,B,bikesharing,Bike Sharing,2,1,0,male,40_49,42,4000_plus_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,4,P0004,SD,4,SD_B04_T02,20,2,2,B,bikesharing,Bike Sharing,2,1,0,male,40_49,42,4000_plus_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,4,P0004,SD,4,SD_B04_T05,23,5,3,D,private_car,Private Car,4,1,0,male,40_49,42,4000_plus_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,4,P0004,SD,4,SD_B04_T06,24,6,4,B,bikesharing,Bike Sharing,2,1,0,male,40_49,42,4000_plus_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,4,P0004,SD,4,SD_B04_T01,19,1,5,D,private_car,Private Car,4,1,0,male,40_49,42,4000_plus_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,4
20260327_public_materials_pooled_7alts_biogeme_v7,4,P0004,SD,4,SD_B04_T04,22,4,6,D,private_car,Private Car,4,1,0,male,40_49,42,4000_plus_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,4
