model_key,block_template_id,task_index,task_role,pair_id,manipulation_type,n_repeats,exact_repeat_flip_rate,response_entropy
poe_gpt54_nano,POT0001,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0001,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0001,3,core,CORE_3,core,4,0.8333333333333334,1.0397207708399179
poe_gpt54_nano,POT0001,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0001,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0001,6,core,CORE_6,core,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0001,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0001,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0001,9,label_mask_twin,LABEL_1,label_mask,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0001,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0001,11,order_twin,ORDER_1,order_randomization,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0001,12,order_twin,ORDER_2,order_randomization,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0001,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0001,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0001,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0001,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0002,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0002,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0002,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0002,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0002,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0002,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0002,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0002,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0002,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0002,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0002,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0002,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0002,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0002,14,monotonicity,MONO_2,monotonicity,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0002,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0002,16,dominance,DOM_2,dominance,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0003,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0003,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0003,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0003,4,core,CORE_4,core,4,0.0,-0.0
