respondent_id,source_observation_id,human_id,TimePT,TimePT_non_wait,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,TimePT_non_wait_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,TimeCar_scaled,CostCarCHF_scaled,distance_km_scaled,CAR_AVAILABLE,pt_proxy,car_proxy,slow_proxy,complexity_score,complexity_rank,scenario_id
H0001,1,10350017,85,75,10,0.0,32,4.54,30.0,0.425,0.375,0.1666666666666666,0.0,0.16,0.454,6.0,1,0.5416666666666666,0.614,6.0,0.9325458501709667,0.9270724029380902,S0001
H0002,3,10350025,82,77,5,3.0,6,0.64,4.5,0.41,0.385,0.0833333333333333,0.3,0.03,0.064,0.9,1,0.7683333333333333,0.094,0.9,0.8836524300441825,0.8735571878279118,S0002
H0003,4,10350075,107,76,31,24.0,23,3.38,25.0,0.535,0.38,0.5166666666666667,2.4,0.115,0.3379999999999999,5.0,1,3.296666666666667,0.4529999999999999,5.0,0.36991368680641185,0.2124868835257083,S0003
H0004,5,10350085,190,172,18,10.8,14,1.66,12.5,0.95,0.86,0.3,1.08,0.07,0.1659999999999999,2.5,1,2.24,0.2359999999999999,2.5,0.7936507936507938,0.75498426023085,S0004
H0005,6,10350086,116,87,29,9.6,20,2.71,19.0,0.58,0.435,0.4833333333333333,0.96,0.1,0.271,3.8,1,1.8783333333333332,0.371,3.8,0.3988300983780909,0.24816369359916055,S0005
H0006,7,10350100,20,15,5,2.2,9,1.63,13.0,0.1,0.075,0.0833333333333333,0.22,0.045,0.1629999999999999,2.6,1,0.3783333333333333,0.2079999999999999,2.6,0.8544574195385929,0.8415529905561385,S0006
H0007,11,10350120,116,82,34,12.4,33,6.98,45.0,0.58,0.41,0.5666666666666667,1.24,0.165,0.6980000000000001,9.0,1,2.216666666666667,0.8630000000000001,9.0,0.42486899872539297,0.27518363064008394,S0007
H0008,12,10350125,35,31,4,4.8,9,0.99,7.0,0.175,0.155,0.0666666666666666,0.48,0.045,0.099,1.4,1,0.7016666666666665,0.14400000000000002,1.4,0.6419858763107212,0.5477439664218258,S0008
H0009,13,10350125,11,11,0,2.2,1,0.19,1.0,0.055,0.055,0.0,0.22,0.005,0.019,0.2,1,0.275,0.024,0.2,0.9302325581395349,0.9247114375655824,S0009
H0010,14,10350133,92,84,8,11.0,27,3.88,27.0,0.46,0.42,0.1333333333333333,1.1,0.135,0.388,5.4,1,1.6533333333333333,0.523,5.4,0.46941010796432486,0.330797481636936,S0010
H0011,15,10350197,124,100,24,0.0,22,3.5,26.0,0.62,0.5,0.4,0.0,0.11,0.35,5.2,1,0.9,0.45999999999999996,5.2,0.6944444444444444,0.6164742917103883,S0011
H0012,16,10350199,123,64,59,9.4,19,2.91,22.0,0.615,0.32,0.9833333333333332,0.94,0.095,0.291,4.4,1,2.243333333333333,0.386,4.4,0.34997666822211854,0.18835257082896117,S0012
H0013,17,10350199,80,77,3,4.8,12,1.62,11.0,0.4,0.385,0.05,0.48,0.06,0.162,2.2,1,0.915,0.222,2.2,0.5906674542232723,0.48163693599160545,S0013
