model_key,block_template_id,respondent_id,run_repeat,exact_repeat_flip_rate_mean,response_entropy_mean,intervention_gap_tv_mean,excess_intervention_gap_mean
poe_gpt54_nano,POT0001,PO0001_R1,1,0.1875,0.213742086578518,0.125,-0.1875
poe_gpt54_nano,POT0001,PO0001_R2,2,0.1875,0.213742086578518,0.125,-0.1875
poe_gpt54_nano,POT0001,PO0001_R3,3,0.1875,0.213742086578518,0.125,-0.1875
poe_gpt54_nano,POT0001,PO0001_R4,4,0.1875,0.213742086578518,0.125,-0.1875
poe_gpt54_nano,POT0002,PO0002_R1,1,0.07291666666666666,0.07846764532367209,0.0,0.0
poe_gpt54_nano,POT0002,PO0002_R2,2,0.07291666666666666,0.07846764532367209,0.0,0.0
poe_gpt54_nano,POT0002,PO0002_R3,3,0.07291666666666666,0.07846764532367209,0.0,0.0
poe_gpt54_nano,POT0002,PO0002_R4,4,0.07291666666666666,0.07846764532367209,0.0,0.0
poe_gpt54_nano,POT0003,PO0003_R1,1,0.0,0.0,0.0,0.0
poe_gpt54_nano,POT0003,PO0003_R2,2,0.0,0.0,0.0,0.0
poe_gpt54_nano,POT0003,PO0003_R3,3,0.0,0.0,0.0,0.0
poe_gpt54_nano,POT0003,PO0003_R4,4,0.0,0.0,0.0,0.0
poe_gpt54_nano,POT0004,PO0004_R1,1,0.10416666666666666,0.11361359186234762,0.08333333333333333,-0.055555555555555546
poe_gpt54_nano,POT0004,PO0004_R2,2,0.10416666666666666,0.11361359186234762,0.08333333333333333,-0.055555555555555546
poe_gpt54_nano,POT0004,PO0004_R3,3,0.10416666666666666,0.11361359186234762,0.08333333333333333,-0.055555555555555546
poe_gpt54_nano,POT0004,PO0004_R4,4,0.10416666666666666,0.11361359186234762,0.08333333333333333,-0.055555555555555546
poe_gpt54_nano,POT0005,PO0005_R1,1,0.07291666666666666,0.07846764532367209,0.041666666666666664,-0.0625
poe_gpt54_nano,POT0005,PO0005_R2,2,0.07291666666666666,0.07846764532367209,0.041666666666666664,-0.0625
