model_key,block_template_id,task_index,task_role,pair_id,manipulation_type,n_repeats,exact_repeat_flip_rate,response_entropy
deepseek_r1_8b,DST0001,1,core,CORE_1,core,2,0.0,-0.0
deepseek_r1_8b,DST0001,2,core,CORE_2,core,2,0.0,-0.0
deepseek_r1_8b,DST0001,3,core,CORE_3,core,2,0.0,-0.0
deepseek_r1_8b,DST0001,4,core,CORE_4,core,2,0.0,-0.0
deepseek_r1_8b,DST0001,5,core,CORE_5,core,2,0.0,-0.0
deepseek_r1_8b,DST0001,6,core,CORE_6,core,2,0.0,-0.0
deepseek_r1_8b,DST0001,7,paraphrase_twin,PARA_1,paraphrase,2,0.0,-0.0
deepseek_r1_8b,DST0001,8,paraphrase_twin,PARA_2,paraphrase,2,0.0,-0.0
deepseek_r1_8b,DST0001,9,label_mask_twin,LABEL_1,label_mask,2,0.0,-0.0
deepseek_r1_8b,DST0001,10,label_mask_twin,LABEL_2,label_mask,2,0.0,-0.0
deepseek_r1_8b,DST0001,11,order_twin,ORDER_1,order_randomization,2,0.0,-0.0
deepseek_r1_8b,DST0001,12,order_twin,ORDER_2,order_randomization,2,0.0,-0.0
deepseek_r1_8b,DST0001,13,monotonicity,MONO_1,monotonicity,2,0.0,-0.0
deepseek_r1_8b,DST0001,14,monotonicity,MONO_2,monotonicity,2,0.0,-0.0
deepseek_r1_8b,DST0001,15,dominance,DOM_1,dominance,2,0.0,-0.0
deepseek_r1_8b,DST0001,16,dominance,DOM_2,dominance,2,0.0,-0.0
qwen3.5_9b,QWT0001,1,core,CORE_1,core,2,0.0,-0.0
qwen3.5_9b,QWT0001,2,core,CORE_2,core,2,0.0,-0.0
qwen3.5_9b,QWT0001,3,core,CORE_3,core,2,0.0,-0.0
qwen3.5_9b,QWT0001,4,core,CORE_4,core,2,0.0,-0.0
qwen3.5_9b,QWT0001,5,core,CORE_5,core,2,0.0,-0.0
qwen3.5_9b,QWT0001,6,core,CORE_6,core,2,0.0,-0.0
qwen3.5_9b,QWT0001,7,paraphrase_twin,PARA_1,paraphrase,2,0.0,-0.0
qwen3.5_9b,QWT0001,8,paraphrase_twin,PARA_2,paraphrase,2,0.0,-0.0
qwen3.5_9b,QWT0001,9,label_mask_twin,LABEL_1,label_mask,2,0.0,-0.0
qwen3.5_9b,QWT0001,10,label_mask_twin,LABEL_2,label_mask,2,0.0,-0.0
qwen3.5_9b,QWT0001,11,order_twin,ORDER_1,order_randomization,2,0.0,-0.0
qwen3.5_9b,QWT0001,12,order_twin,ORDER_2,order_randomization,2,0.0,-0.0
qwen3.5_9b,QWT0001,13,monotonicity,MONO_1,monotonicity,2,0.0,-0.0
qwen3.5_9b,QWT0001,14,monotonicity,MONO_2,monotonicity,2,0.0,-0.0
qwen3.5_9b,QWT0001,15,dominance,DOM_1,dominance,2,0.0,-0.0
qwen3.5_9b,QWT0001,16,dominance,DOM_2,dominance,2,0.0,-0.0
