respondent_id,most_likely_state,posterior_c1_s1,posterior_c1_s2,posterior_c2_s1,posterior_c2_s2
DS0001_R1,0,0.9635156763196479,1.3351761738616552e-05,0.032454366267189255,0.004016605651424024
DS0001_R2,2,9.959857477910004e-10,9.855846814908106e-07,0.9922525371936709,0.007746476225661769
DS0001_R3,0,0.9635156763196479,1.3351761738616552e-05,0.032454366267189255,0.004016605651424024
DS0001_R4,0,0.9635156763196479,1.3351761738616552e-05,0.032454366267189255,0.004016605651424024
DS0002_R1,2,2.3133044690246037e-06,6.170972272134362e-06,0.9821828291880879,0.017808686535171106
DS0002_R2,2,2.3133044690246037e-06,6.170972272134362e-06,0.9821828291880879,0.017808686535171106
DS0002_R3,2,2.3133044690246037e-06,6.170972272134362e-06,0.9821828291880879,0.017808686535171106
DS0002_R4,0,0.9905954735865219,1.563993470134856e-05,0.00551816237035254,0.0038707241084243
DS0003_R1,2,5.279523085686061e-10,5.075434081449117e-07,0.9884982875176883,0.011501204410951336
DS0003_R3,2,5.279523085686061e-10,5.075434081449117e-07,0.9884982875176883,0.011501204410951336
DS0003_R4,2,5.279523085686061e-10,5.075434081449117e-07,0.9884982875176883,0.011501204410951336
DS0004_R1,0,0.9948066112745491,0.0002374735222099539,1.9300951247320153e-09,0.004955913273146297
DS0004_R2,0,0.9999533600223313,4.5896725333503955e-05,2.0263664650353134e-32,7.432523352966138e-07
DS0004_R3,0,0.9999533600223313,4.5896725333503955e-05,2.0263664650353134e-32,7.432523352966138e-07
DS0004_R4,0,0.9999533600223313,4.5896725333503955e-05,2.0263664650353134e-32,7.432523352966138e-07
DS0005_R1,2,0.40008202746445437,8.999253013995963e-06,0.5917689690425042,0.008140004240027506
DS0005_R2,2,0.40008202746445437,8.999253013995963e-06,0.5917689690425042,0.008140004240027506
DS0005_R3,2,0.40008202746445437,8.999253013995963e-06,0.5917689690425042,0.008140004240027506
DS0005_R4,2,0.40008202746445437,8.999253013995963e-06,0.5917689690425042,0.008140004240027506
DS0006_R1,2,0.3378468984375504,9.89807593814425e-06,0.641024068945205,0.021119134541306386
DS0006_R2,2,0.3378468984375504,9.89807593814425e-06,0.641024068945205,0.021119134541306386
DS0006_R3,2,0.3378468984375504,9.89807593814425e-06,0.641024068945205,0.021119134541306386
DS0006_R4,2,0.3378468984375504,9.89807593814425e-06,0.641024068945205,0.021119134541306386
DS0007_R1,2,0.012505795613835843,5.22113886179311e-07,0.9855604237095847,0.0019332585626932028
DS0007_R2,2,0.012505795613835843,5.22113886179311e-07,0.9855604237095847,0.0019332585626932028
DS0007_R3,2,0.012505795613835843,5.22113886179311e-07,0.9855604237095847,0.0019332585626932028
DS0007_R4,2,0.012505795613835843,5.22113886179311e-07,0.9855604237095847,0.0019332585626932028
DS0008_R1,2,0.0003626697019345327,3.3085756563049654e-07,0.9778450396221433,0.021791959818356455
DS0008_R2,2,0.0003626697019345327,3.3085756563049654e-07,0.9778450396221433,0.021791959818356455
DS0008_R3,2,0.0003626697019345327,3.3085756563049654e-07,0.9778450396221433,0.021791959818356455
DS0008_R4,2,0.0003626697019345327,3.3085756563049654e-07,0.9778450396221433,0.021791959818356455
DS0009_R1,2,0.2088551926621422,5.141191087380533e-06,0.7802579925579658,0.010881673588804588
DS0009_R2,2,0.2088551926621422,5.141191087380533e-06,0.7802579925579658,0.010881673588804588
DS0009_R3,2,0.2088551926621422,5.141191087380533e-06,0.7802579925579658,0.010881673588804588
DS0009_R4,2,0.2088551926621422,5.141191087380533e-06,0.7802579925579658,0.010881673588804588
DS0010_R1,2,4.279345871710138e-06,2.1381397085061013e-06,0.9844570172834065,0.01553656523101307
DS0010_R2,0,0.9999844828386719,1.551716132818582e-05,0.0,2.923305909863486e-67
DS0010_R3,2,4.279345871710138e-06,2.1381397085061013e-06,0.9844570172834065,0.01553656523101307
DS0010_R4,0,0.9999844828386719,1.551716132818582e-05,0.0,2.923305909863486e-67
DS0011_R1,0,0.8515355702976062,7.785856655851092e-05,0.11939571565423453,0.02899085548160075
DS0011_R2,2,0.09803217542506107,9.394336451254295e-06,0.8958020318379721,0.006156398400515611
DS0011_R3,0,0.8515355702976062,7.785856655851092e-05,0.11939571565423453,0.02899085548160075
DS0011_R4,0,0.8515355702976062,7.785856655851092e-05,0.11939571565423453,0.02899085548160075
DS0012_R1,0,0.999197261642845,1.3981675122855848e-05,2.3330869452690684e-08,0.0007887333511628125
DS0012_R2,0,0.999197261642845,1.3981675122855848e-05,2.3330869452690684e-08,0.0007887333511628125
DS0012_R3,0,0.999197261642845,1.3981675122855848e-05,2.3330869452690684e-08,0.0007887333511628125
DS0012_R4,0,0.999197261642845,1.3981675122855848e-05,2.3330869452690684e-08,0.0007887333511628125
