parameter_name,estimate
ASC_PT_C1,-0.6769324575952678
ASC_CAR_C1,7.034697106212384
B_COST_C1,-0.03132406046317377
B_TIME_PT_C1,-0.013735411583912052
B_TIME_CAR_C1,-0.09248311464308706
B_WAIT_C1,-0.3995414757814964
B_DIST_C1,-0.07721200844323094
ASC_PT_C2,-3.6364038503625413
ASC_CAR_C2,-6.0539095955849485
B_COST_C2,-0.6582590295211819
B_TIME_PT_C2,-0.2695139113554487
B_TIME_CAR_C2,-0.221772121597951
B_WAIT_C2,0.06494386403671121
B_DIST_C2,-2.904337106814374
LOG_SCALE_CLASS_2,-2.0
CLASS_INTERCEPT_C2,-1.7247793655401027
CLASS_semantic_arm_C2,0.7416785800700127
CLASS_prompt_family_naturalistic_C2,0.4237824052615417
CLASS_ScaledIncome_C2,-0.035334673821604795
CLASS_CAR_AVAILABLE_C2,-0.3613753912419179
CLASS_block_complexity_mean_C2,4.3867081273479425
SCALE_INTERCEPT_S2,0.6180694831764799
SCALE_semantic_arm_S2,-0.5642497702385812
SCALE_prompt_family_naturalistic_S2,0.3456232059532097
SCALE_ScaledIncome_S2,0.029585116500030928
SCALE_CAR_AVAILABLE_S2,-2.288596110158097
SCALE_block_complexity_mean_S2,-1.3514372404258486
