respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count
QW0001_R1,28240523,0.2545934244605354,41,male,41 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,6,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,1,2,5,1,3,qwen3.5_9b,QWT0001,1,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2
QW0001_R2,28240523,0.2545934244605354,41,male,41 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,6,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,1,2,5,1,3,qwen3.5_9b,QWT0001,2,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2
QW0001_R3,28240523,0.2545934244605354,41,male,41 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,6,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,1,2,5,1,3,qwen3.5_9b,QWT0001,3,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2
QW0002_R1,30330851,0.3735873657560173,46,male,46 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,6,4,2,1,0,a work trip,high education,1,car is available for this trip,5,4,2,3,1,4,qwen3.5_9b,QWT0002,1,semantic_arm,1,naturalistic,1,0.5642050108118849,0.23339669979327946,16,6,2,2,2,2,2
QW0002_R2,30330851,0.3735873657560173,46,male,46 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,6,4,2,1,0,a work trip,high education,1,car is available for this trip,5,4,2,3,1,4,qwen3.5_9b,QWT0002,2,semantic_arm,1,naturalistic,1,0.5642050108118849,0.23339669979327946,16,6,2,2,2,2,2
QW0002_R3,30330851,0.3735873657560173,46,male,46 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,6,4,2,1,0,a work trip,high education,1,car is available for this trip,5,4,2,3,1,4,qwen3.5_9b,QWT0002,3,semantic_arm,1,naturalistic,1,0.5642050108118849,0.23339669979327946,16,6,2,2,2,2,2
QW0003_R1,42270631,0.2545934244605354,56,male,56 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,0,0,1,1,6,3,0,0,1,a non-work trip,high education,1,car is available for this trip,4,6,3,3,1,2,qwen3.5_9b,QWT0003,1,semantic_arm,1,naturalistic,1,0.5024150214857873,0.21319732722450835,16,6,2,2,2,2,2
QW0003_R2,42270631,0.2545934244605354,56,male,56 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,0,0,1,1,6,3,0,0,1,a non-work trip,high education,1,car is available for this trip,4,6,3,3,1,2,qwen3.5_9b,QWT0003,2,semantic_arm,1,naturalistic,1,0.5024150214857873,0.21319732722450835,16,6,2,2,2,2,2
QW0003_R3,42270631,0.2545934244605354,56,male,56 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,0,0,1,1,6,3,0,0,1,a non-work trip,high education,1,car is available for this trip,4,6,3,3,1,2,qwen3.5_9b,QWT0003,3,semantic_arm,1,naturalistic,1,0.5024150214857873,0.21319732722450835,16,6,2,2,2,2,2
QW0004_R1,54261413,0.954424398357919,51,male,51 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,0,0,2,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,3,3,3,3,3,2,qwen3.5_9b,QWT0004,1,neutral_arm,0,concise,0,0.427841794957956,0.11920533368786738,16,6,2,2,2,2,2
