model_key,model_is_deepseek,respondent_id,human_respondent_id,normalized_weight,prompt_arm,semantic_arm,task_index,task_role,pair_id,manipulation_type,anchor_task_index,block_complexity_mean,age_30_less,high_education,ScaledIncome,CAR_AVAILABLE,alternative_name,alternative_code,display_label,display_position,chosen,observed_choice_code,is_valid_task_response,alt_available,alt_time,alt_waiting,alt_cost,alt_distance,target_alternative_name,dominated_alternative_name
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,1,core,CORE_1,core,-1,0.498864419562247,0,0,5.0,1,PT,0,A,1,0,1,1,1,174.0,56.0,17.6,0.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,1,core,CORE_1,core,-1,0.498864419562247,0,0,5.0,1,CAR,1,B,2,1,1,1,1,48.0,0.0,7.85,0.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,1,core,CORE_1,core,-1,0.498864419562247,0,0,5.0,1,SLOW_MODES,2,C,3,0,1,1,1,0.0,0.0,0.0,58.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,2,core,CORE_2,core,-1,0.498864419562247,0,0,5.0,1,PT,0,A,1,0,1,1,1,76.0,3.0,2.7,0.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,2,core,CORE_2,core,-1,0.498864419562247,0,0,5.0,1,CAR,1,B,2,1,1,1,1,22.0,0.0,2.29,0.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,2,core,CORE_2,core,-1,0.498864419562247,0,0,5.0,1,SLOW_MODES,2,C,3,0,1,1,1,0.0,0.0,0.0,12.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,3,core,CORE_3,core,-1,0.498864419562247,0,0,5.0,1,PT,0,A,1,0,1,1,1,99.0,0.0,0.0,0.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,3,core,CORE_3,core,-1,0.498864419562247,0,0,5.0,1,CAR,1,B,2,1,1,1,1,39.0,0.0,5.09,0.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,3,core,CORE_3,core,-1,0.498864419562247,0,0,5.0,1,SLOW_MODES,2,C,3,0,1,1,1,0.0,0.0,0.0,31.5,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,4,core,CORE_4,core,-1,0.498864419562247,0,0,5.0,1,PT,0,A,1,0,1,1,1,126.0,15.0,14.8,0.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,4,core,CORE_4,core,-1,0.498864419562247,0,0,5.0,1,CAR,1,B,2,1,1,1,1,27.0,0.0,4.14,0.0,,
qwen3.5_9b,0,QW0001,H0590,0.954424398357919,semantic_arm,1,4,core,CORE_4,core,-1,0.498864419562247,0,0,5.0,1,SLOW_MODES,2,C,3,0,1,1,1,0.0,0.0,0.0,31.0,,
