parameter_name,estimate
ASC_PT_C1,8.005076664264497
ASC_CAR_C1,4.5491153578157855
B_COST_C1,-2.172085502100336
B_TIME_PT_C1,-0.11630105927242558
B_TIME_CAR_C1,-0.17282253067971612
B_WAIT_C1,-0.3724191373254007
B_DIST_C1,-3.507544832303733
ASC_PT_C2,4.370377125662407
ASC_CAR_C2,5.9013289248952185
B_COST_C2,-0.04830990965559959
B_TIME_PT_C2,-0.018497649017687145
B_TIME_CAR_C2,-0.032461225566332574
B_WAIT_C2,-0.008630636463374437
B_DIST_C2,-0.024260143921504707
ASC_PT_C3,3.3393238923683284
ASC_CAR_C3,5.351454968310811
B_COST_C3,-0.051182593086045
B_TIME_PT_C3,-0.28154462410618314
B_TIME_CAR_C3,-0.26328434112625115
B_WAIT_C3,0.19173123006690282
B_DIST_C3,-2.019392605626448
LOG_SCALE_CLASS_2,-1.7855613682808793
CLASS_INTERCEPT_C2,1.8241684589420826
CLASS_model_is_deepseek_C2,0.0
CLASS_semantic_arm_C2,0.7533376541069748
CLASS_prompt_family_naturalistic_C2,1.3857807195709826
CLASS_age_30_less_C2,0.11101777727405801
CLASS_high_education_C2,1.717344797094686
CLASS_ScaledIncome_C2,-0.25406163419932004
CLASS_CAR_AVAILABLE_C2,-0.09505165904991207
CLASS_block_complexity_mean_C2,-0.12574365068402596
CLASS_INTERCEPT_C3,-0.6352646284881327
CLASS_model_is_deepseek_C3,0.0
CLASS_semantic_arm_C3,0.8371861354097688
CLASS_prompt_family_naturalistic_C3,2.0241727831501213
CLASS_age_30_less_C3,-4.037156451319607
CLASS_high_education_C3,0.3137513762219872
CLASS_ScaledIncome_C3,-0.06426366557141225
CLASS_CAR_AVAILABLE_C3,1.947226642919822
CLASS_block_complexity_mean_C3,-1.4092369634146231
SCALE_INTERCEPT_S2,-1.466038020648902
SCALE_model_is_deepseek_S2,0.0
SCALE_semantic_arm_S2,-3.3400906792405376
SCALE_prompt_family_naturalistic_S2,2.212936113022724
SCALE_age_30_less_S2,-1.616847108572004
SCALE_high_education_S2,-1.2457084202624502
SCALE_ScaledIncome_S2,0.17127051490780798
SCALE_CAR_AVAILABLE_S2,-1.2988623497569007
SCALE_block_complexity_mean_S2,-1.2080479589868713
