parameter_name,estimate,std_error,z_value,p_value,significant_5pct
ASC_ES_REL_CAR,-6.548131008241693,15.15154156797735,-0.43217589305111437,0.665613578879358,0
ASC_BS_REL_CAR,5.1527112749129165,20.42331955451635,0.25229548316857536,0.8008126791492078,0
ASC_WALK_REL_CAR,-11.700027759831668,6.660640021907689,-1.756592117476518,0.07898735751419128,0
AGE_ES_REL_CAR,-0.05004006314663714,0.019870775008708635,-2.518274356420744,0.011793141983789335,1
AGE_BS_REL_CAR,-0.016807886610360957,0.014032710422206782,-1.197764801286176,0.23100859381202987,0
AGE_WALK_REL_CAR,0.06728037164330834,0.1224442729874515,0.5494774888344794,0.5826778090485032,0
BIKEACC_ES_REL_CAR,-0.7096966540773417,0.25876471310880045,-2.742633048961904,0.0060948753060563465,1
BIKEACC_BS_REL_CAR,0.11945973406640717,0.1586977859848207,0.7527498466666283,0.45160024995966674,0
BIKEACC_WALK_REL_CAR,-0.14988168650026068,1.5783637749564108,-0.0949601662673739,0.9243464666053649,0
CARACC_ES_REL_CAR,0.16876673529836664,0.2527495572343282,0.6677231689149915,0.5043103178027071,0
CARACC_BS_REL_CAR,-1.2544681379742364,0.24326717297588013,-5.156750590835437,2.512721344327673e-07,1
CARACC_WALK_REL_CAR,-5.325711944357418,0.0,,,0
PTPASS_ES_REL_CAR,1.1469820149831849,0.5543466171728382,2.0690701078555884,0.038539508306852044,1
PTPASS_BS_REL_CAR,-0.4803224001459116,0.4169921110311735,-1.1518740701307983,0.2493728248763536,0
PTPASS_WALK_REL_CAR,0.7760341059475762,4.326548120624508,0.17936564769688979,0.8576506030986408,0
MAAS_ES_REL_CAR,0.34062004589747724,0.7104814535329483,0.47942144612460474,0.6316388395818004,0
MAAS_BS_REL_CAR,0.27747607416920556,0.6257208063393559,0.4434502918202756,0.6574400661263176,0
MAAS_WALK_REL_CAR,2.672371505055637,5.336224150428427,0.5007982104426932,0.6165131452134887,0
SIGMA_ES,0.2759934148433386,1.1050461174536987,0.24975737255137923,0.8027749869203147,0
SIGMA_BS,1.2785038483289102,0.2697327761755981,4.739890592667887,2.138336497203852e-06,1
SIGMA_WALK,-11.237477719551404,0.0,,,0
B_TIME_ES,-0.003393968821304839,1.1637154220237629,-0.0029164938068815373,0.9976729779187294,0
B_TIME_BS,-0.6317726410360719,0.499441234189829,-1.2649589136565884,0.20588605656849923,0
B_TIME_WALK,-0.5842396501547736,0.40822470599546656,-1.43117170904708,0.15238100956802092,0
B_TIME_CAR,0.025251179136242197,2.291013203969282,0.011021839198697507,0.9912060227221713,0
B_ACCESS_SHARED,-0.1654434929912187,1.625534947930774,-0.10177787515538815,0.9189329875082728,0
B_ACCESS_CAR,0.9502045250416706,0.9471034098734478,1.00327431528162,0.3157285251784363,0
B_EGRESS_SHARED,-3.5406751935981875,5.073476812090152,-0.6978794473172163,0.485252588659395,0
B_EGRESS_CAR,-0.7195556864956868,0.7580901902995658,-0.9491689718493102,0.3425346797503366,0
B_PARKING,-1.2498505715662738,1.2017621256346607,-1.0400149454753511,0.29833295713760877,0
B_COST_LOGMEAN,-4.622570687517612,2.3463089066586282,-1.970145821123188,0.04882166075498606,1
SIGMA_COST,-3.040736931323144,0.9720768227878581,-3.128082945751646,0.0017595051911019066,1
B_AVAILABILITY,-0.022228502152621118,0.14880638115550157,-0.14937868913963104,0.8812548266556148,0
B_SCHEME_SD,8.75304719447086,6.677152969638507,1.3108951126732595,0.18989320228047823,0
B_RANGE,0.5473858466558226,1.1872383148964383,0.4610581041629966,0.6447569188220448,0
B_PEDELEC,-7.224383993480092,5.292163821779028,-1.3651096671930922,0.1722185840803352,0
