parameter_name,human_estimate,source_table,normalization,source_note,estimate,std_error,z_value,p_value,significant_5pct,difference_ai_minus_human,sign_match
ASC_ES_REL_CAR,1.504,Table_4,private_car_base_for_sd_subset,Computed as ASC_ES minus ASC_CAR from the paper.,-6.548131008241693,15.15154156797735,-0.4321758930511143,0.665613578879358,0,-8.052131008241693,0
ASC_BS_REL_CAR,1.879,Table_4,private_car_base_for_sd_subset,Computed as ASC_BS minus ASC_CAR from the paper.,5.1527112749129165,20.42331955451635,0.2522954831685753,0.8008126791492078,0,3.2737112749129165,1
ASC_WALK_REL_CAR,7.629,Table_4,private_car_base_for_sd_subset,Computed as ASC_WALK minus ASC_CAR from the paper.,-11.700027759831668,6.660640021907689,-1.756592117476518,0.0789873575141912,0,-19.329027759831668,0
AGE_ES_REL_CAR,-0.024,Table_4,private_car_base_for_sd_subset,Computed as AGE_ES minus AGE_CAR.,-0.0500400631466371,0.0198707750087086,-2.518274356420744,0.0117931419837893,1,-0.0260400631466371,1
AGE_BS_REL_CAR,-0.014,Table_4,private_car_base_for_sd_subset,Computed as AGE_BS minus AGE_CAR.,-0.0168078866103609,0.0140327104222067,-1.197764801286176,0.2310085938120298,0,-0.002807886610360898,1
AGE_WALK_REL_CAR,0.047,Table_4,private_car_base_for_sd_subset,Computed as AGE_WALK minus AGE_CAR.,0.0672803716433083,0.1224442729874515,0.5494774888344794,0.5826778090485032,0,0.0202803716433083,1
BIKEACC_ES_REL_CAR,0.19,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_ES minus BIKEACC_CAR.,-0.7096966540773417,0.2587647131088004,-2.742633048961904,0.0060948753060563,1,-0.8996966540773417,0
BIKEACC_BS_REL_CAR,0.724,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_BS minus BIKEACC_CAR.,0.1194597340664071,0.1586977859848207,0.7527498466666283,0.4516002499596667,0,-0.6045402659335929,1
BIKEACC_WALK_REL_CAR,-1.126,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_WALK minus BIKEACC_CAR.,-0.1498816865002606,1.5783637749564108,-0.0949601662673739,0.9243464666053648,0,0.9761183134997393,1
CARACC_ES_REL_CAR,0.306,Table_4,private_car_base_for_sd_subset,Computed as CARACC_ES minus CARACC_CAR.,0.1687667352983666,0.2527495572343282,0.6677231689149915,0.5043103178027071,0,-0.13723326470163338,1
CARACC_BS_REL_CAR,0.138,Table_4,private_car_base_for_sd_subset,Computed as CARACC_BS minus CARACC_CAR.,-1.2544681379742364,0.2432671729758801,-5.156750590835437,2.512721344327673e-07,1,-1.3924681379742365,0
CARACC_WALK_REL_CAR,-0.052,Table_4,private_car_base_for_sd_subset,Computed as CARACC_WALK minus CARACC_CAR.,-5.325711944357418,0.0,,,0,-5.2737119443574185,1
PTPASS_ES_REL_CAR,-0.934,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_ES minus PTPASS_CAR.,1.1469820149831849,0.5543466171728382,2.0690701078555884,0.038539508306852,1,2.080982014983185,0
PTPASS_BS_REL_CAR,-0.756,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_BS minus PTPASS_CAR.,-0.4803224001459116,0.4169921110311735,-1.1518740701307983,0.2493728248763536,0,0.2756775998540884,1
PTPASS_WALK_REL_CAR,-0.915,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_WALK minus PTPASS_CAR.,0.7760341059475762,4.326548120624508,0.1793656476968897,0.8576506030986408,0,1.6910341059475762,0
MAAS_ES_REL_CAR,0.263,Table_4,private_car_base_for_sd_subset,Computed as MAAS_ES minus MAAS_CAR.,0.3406200458974772,0.7104814535329483,0.4794214461246047,0.6316388395818004,0,0.07762004589747717,1
MAAS_BS_REL_CAR,0.058,Table_4,private_car_base_for_sd_subset,Computed as MAAS_BS minus MAAS_CAR.,0.2774760741692055,0.6257208063393559,0.4434502918202756,0.6574400661263176,0,0.2194760741692055,1
MAAS_WALK_REL_CAR,-1.342,Table_4,private_car_base_for_sd_subset,Computed as MAAS_WALK minus MAAS_CAR.,2.672371505055637,5.336224150428427,0.5007982104426932,0.6165131452134887,0,4.014371505055637,0
B_TIME_ES,-0.116,Table_4,direct,Mode-specific travel time coefficient for e-scootersharing.,-0.0033939688213048,1.1637154220237629,-0.0029164938068815,0.9976729779187294,0,0.1126060311786952,1
B_TIME_BS,-0.09,Table_4,direct,Mode-specific travel time coefficient for bikesharing.,-0.6317726410360719,0.499441234189829,-1.2649589136565884,0.2058860565684992,0,-0.5417726410360719,1
B_TIME_WALK,-0.212,Table_4,direct,Mode-specific travel time coefficient for walking.,-0.5842396501547736,0.4082247059954665,-1.43117170904708,0.1523810095680209,0,-0.37223965015477367,1
B_TIME_CAR,-0.057,Table_4,direct,Mode-specific travel time coefficient for private car.,0.0252511791362421,2.291013203969282,0.0110218391986975,0.9912060227221712,0,0.08225117913624211,0
B_ACCESS_SHARED,-0.04,Table_4,direct,Shared-mode access time coefficient.,-0.1654434929912187,1.625534947930774,-0.1017778751553881,0.9189329875082728,0,-0.12544349299121868,1
B_ACCESS_CAR,-0.034,Table_4,direct,Private-car access time coefficient.,0.9502045250416706,0.9471034098734478,1.00327431528162,0.3157285251784363,0,0.9842045250416707,0
B_EGRESS_SHARED,-0.03,Table_4,direct,Shared-mode egress time coefficient.,-3.5406751935981875,5.073476812090152,-0.6978794473172163,0.485252588659395,0,-3.5106751935981877,1
B_EGRESS_CAR,-0.042,Table_4,direct,Private-car egress time coefficient.,-0.7195556864956868,0.7580901902995658,-0.9491689718493102,0.3425346797503366,0,-0.6775556864956868,1
B_PARKING,-0.04,Table_4,direct,Generic parking-search-time coefficient.,-1.2498505715662738,1.201762125634661,-1.0400149454753511,0.2983329571376087,0,-1.2098505715662737,1
B_COST_LOGMEAN,-1.886,Table_4,direct,Mean term in the log-normal cost coefficient.,-4.622570687517612,2.346308906658628,-1.970145821123188,0.048821660754986,1,-2.736570687517612,1
SIGMA_COST,-1.414,Table_4,direct,Scale term in the log-normal cost coefficient.,-3.040736931323144,0.972076822787858,-3.128082945751646,0.0017595051911019,1,-1.626736931323144,1
B_AVAILABILITY,0.006,Table_4,direct,Availability coefficient for shared modes.,-0.0222285021526211,0.1488063811555015,-0.149378689139631,0.8812548266556148,0,-0.0282285021526211,0
B_SCHEME_SD,0.418,Table_4,direct,Free-floating scheme coefficient for short-distance shared modes.,8.75304719447086,6.677152969638507,1.3108951126732595,0.1898932022804782,0,8.33504719447086,1
B_RANGE,0.006,Table_4,direct,Battery range coefficient for shared modes.,0.5473858466558226,1.1872383148964385,0.4610581041629966,0.6447569188220448,0,0.5413858466558226,1
B_PEDELEC,-0.321,Table_4,direct,Pedelec dummy coefficient within bikesharing.,-7.224383993480092,5.292163821779028,-1.3651096671930922,0.1722185840803352,0,-6.903383993480093,1
SIGMA_ES,1.315,Table_4,direct,Random intercept scale for e-scootersharing.,0.2759934148433386,1.1050461174536987,0.2497573725513792,0.8027749869203147,0,-1.0390065851566614,1
SIGMA_BS,1.587,Table_4,direct,Random intercept scale for bikesharing.,1.2785038483289102,0.2697327761755981,4.739890592667887,2.138336497203852e-06,1,-0.3084961516710898,1
SIGMA_WALK,-2.933,Table_4,direct,Random intercept scale for walking.,-11.237477719551404,0.0,,,0,-8.304477719551404,1
