experiment_name,respondent_id,persona_id,task_id,task_index,presented_task_position,choice_label,chosen_alternative_id,chosen_alternative_name,is_valid_choice,female,gender_text,age_band,age_years,income_band,metropolis,metropolis_text,household_cars,accessible_bikes,pt_pass,pt_pass_text,maas_subscription,maas_text
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,1,P0001,SD01,1,1,D,private_car,Private Car,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,1,P0001,SD04,4,2,D,private_car,Private Car,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,1,P0001,SD06,6,3,D,private_car,Private Car,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,1,P0001,SD05,5,4,D,private_car,Private Car,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,1,P0001,SD03,3,5,D,private_car,Private Car,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,1,P0001,SD02,2,6,D,private_car,Private Car,1,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,2,P0002,SD01,1,1,B,bikesharing,Bike Sharing,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,2,P0002,SD02,2,2,B,bikesharing,Bike Sharing,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,2,P0002,SD03,3,3,B,bikesharing,Bike Sharing,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260327_sd_1445persona_6cards_multiturn_qwen35_4b_v4,2,P0002,SD05,5,4,B,bikesharing,Bike Sharing,1,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription
