experiment_name,respondent_id,persona_id,task_id,task_index,choice_label,chosen_alternative_id,chosen_alternative_name,is_valid_choice,female,gender_text,age_band,age_years,income_band,metropolis,metropolis_text,household_cars,accessible_bikes,pt_pass,pt_pass_text,maas_subscription,maas_text
20260326_sd_persona_nonthink_qwen35_4b_v2,1,P001,SD01,1,A,e_scooter,E-Scooter Sharing,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,1,P001,SD02,2,A,e_scooter,E-Scooter Sharing,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,1,P001,SD03,3,D,private_car,Private Car,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,1,P001,SD04,4,D,private_car,Private Car,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,1,P001,SD06,5,D,private_car,Private Car,1,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,2,P002,SD01,1,A,e_scooter,E-Scooter Sharing,1,0,male,18_29,24,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,2,P002,SD02,2,A,e_scooter,E-Scooter Sharing,1,0,male,18_29,24,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,2,P002,SD03,3,A,e_scooter,E-Scooter Sharing,1,0,male,18_29,24,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,2,P002,SD04,4,D,private_car,Private Car,1,0,male,18_29,24,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,2,P002,SD06,5,A,e_scooter,E-Scooter Sharing,1,0,male,18_29,24,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,3,P003,SD01,1,A,e_scooter,E-Scooter Sharing,1,0,male,18_29,18,2000_3999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,3,P003,SD02,2,A,e_scooter,E-Scooter Sharing,1,0,male,18_29,18,2000_3999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,3,P003,SD03,3,A,e_scooter,E-Scooter Sharing,1,0,male,18_29,18,2000_3999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,3,P003,SD04,4,D,private_car,Private Car,1,0,male,18_29,18,2000_3999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,3,P003,SD06,5,A,e_scooter,E-Scooter Sharing,1,0,male,18_29,18,2000_3999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,4,P004,SD01,1,A,e_scooter,E-Scooter Sharing,1,0,male,40_49,48,2000_3999_eur,1,metropolis,2,4,0,does not hold a public transport pass,1,has an active MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,4,P004,SD02,2,A,e_scooter,E-Scooter Sharing,1,0,male,40_49,48,2000_3999_eur,1,metropolis,2,4,0,does not hold a public transport pass,1,has an active MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,4,P004,SD03,3,D,private_car,Private Car,1,0,male,40_49,48,2000_3999_eur,1,metropolis,2,4,0,does not hold a public transport pass,1,has an active MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,4,P004,SD04,4,D,private_car,Private Car,1,0,male,40_49,48,2000_3999_eur,1,metropolis,2,4,0,does not hold a public transport pass,1,has an active MaaS subscription
20260326_sd_persona_nonthink_qwen35_4b_v2,4,P004,SD06,5,D,private_car,Private Car,1,0,male,40_49,48,2000_3999_eur,1,metropolis,2,4,0,does not hold a public transport pass,1,has an active MaaS subscription
