parameter_name,estimate,block,std_error,z_value
ASCPMM,-0.3446111111357128,utility,1.0,-0.3446111111357128
ASCSM,-1.0317954476255493,utility,1.0,-1.0317954476255493
beta_cost,-0.14883201865162574,utility,1.6486200851252213,-0.09027672293603117
beta_time_pmm,-0.00404213992012816,utility,1.0654572030428497,-0.0037938078681942103
beta_time_pt,-0.025583863762134743,utility,0.5352864903115445,-0.04779471222455953
beta_distance,-0.06592965775536296,utility,1.2560994585777825,-0.05248760940476143
beta_ncars,1.1421271725489053,utility,1.0,1.1421271725489053
beta_nchildren,0.2693741545766154,utility,1.0,0.2693741545766154
beta_language,0.9763272149464328,utility,1.0,0.9763272149464328
beta_work,-0.3219428966777784,utility,1.0,-0.3219428966777784
beta_urban,0.2330880983519232,utility,1.0,0.2330880983519232
beta_student,3.164118349976969,utility,1.0,3.164118349976969
beta_nbikes,-0.2087201591059093,utility,1.0,-0.2087201591059093
beta_Acar,-0.534652243002083,utility,1.0,-0.534652243002083
beta_Aenv,0.4214452230525755,utility,1.5136577169670238,0.27842835162036633
