model_key,block_template_id,pair_id,manipulation_type,anchor_task_index,intervention_gap_tv,randomness_envelope,excess_intervention_gap,anchor_modal_choice,twin_modal_choice
mlx_qwen35_0p8b,Q8T0001,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0001,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0001,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0001,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0001,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0001,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0002,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0002,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0002,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0002,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0002,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0002,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0003,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0003,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0003,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0003,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0003,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0003,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0004,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0004,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0004,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0004,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0004,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0004,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0005,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0005,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0005,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0005,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0005,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0005,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0006,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0006,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0006,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0006,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0006,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0006,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0007,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0007,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0007,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0007,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0007,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0007,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0008,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0008,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0008,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0008,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0008,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0008,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0009,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0009,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0009,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0009,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0009,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0009,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0010,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0010,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0010,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0010,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0010,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0010,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0011,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0011,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0011,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,2
mlx_qwen35_0p8b,Q8T0011,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0011,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0011,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0012,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0012,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
mlx_qwen35_0p8b,Q8T0012,ORDER_1,order_randomization,5,1.0,0.0,1.0,0,1
mlx_qwen35_0p8b,Q8T0012,ORDER_2,order_randomization,6,1.0,0.0,1.0,0,2
