model_key,model_is_deepseek,respondent_id,human_respondent_id,normalized_weight,prompt_arm,semantic_arm,task_index,task_role,pair_id,manipulation_type,anchor_task_index,block_complexity_mean,age_30_less,high_education,ScaledIncome,CAR_AVAILABLE,alternative_name,alternative_code,display_label,display_position,chosen,observed_choice_code,is_valid_task_response,alt_available,alt_time,alt_waiting,alt_cost,alt_distance,target_alternative_name,dominated_alternative_name,dataset
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,1,core,CORE_1,core,-1,0.3057685488519099,0,0,3.25,1,PT,0,A,1,1,0,1,1,235.0,67.0,17.5,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,1,core,CORE_1,core,-1,0.3057685488519099,0,0,3.25,1,CAR,1,B,2,0,0,1,1,85.0,0.0,12.55,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,1,core,CORE_1,core,-1,0.3057685488519099,0,0,3.25,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,93.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,2,core,CORE_2,core,-1,0.3057685488519099,0,0,3.25,1,PT,0,A,1,1,0,1,1,150.0,23.0,4.2,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,2,core,CORE_2,core,-1,0.3057685488519099,0,0,3.25,1,CAR,1,B,2,0,0,1,1,24.0,0.0,2.57,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,2,core,CORE_2,core,-1,0.3057685488519099,0,0,3.25,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,15.5,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,3,core,CORE_3,core,-1,0.3057685488519099,0,0,3.25,1,PT,0,A,1,1,0,1,1,168.0,5.0,38.8,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,3,core,CORE_3,core,-1,0.3057685488519099,0,0,3.25,1,CAR,1,B,2,0,0,1,1,72.0,0.0,11.16,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,3,core,CORE_3,core,-1,0.3057685488519099,0,0,3.25,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,85.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,4,core,CORE_4,core,-1,0.3057685488519099,0,0,3.25,0,PT,0,A,1,1,0,1,1,128.0,10.0,0.0,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,4,core,CORE_4,core,-1,0.3057685488519099,0,0,3.25,0,CAR,1,B,2,0,0,1,0,46.0,0.0,5.4,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,4,core,CORE_4,core,-1,0.3057685488519099,0,0,3.25,0,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,33.1,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,5,core,CORE_5,core,-1,0.3057685488519099,0,0,3.25,1,PT,0,A,1,1,0,1,1,129.0,14.0,32.0,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,5,core,CORE_5,core,-1,0.3057685488519099,0,0,3.25,1,CAR,1,B,2,0,0,1,1,33.0,0.0,5.13,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,5,core,CORE_5,core,-1,0.3057685488519099,0,0,3.25,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,37.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,6,core,CORE_6,core,-1,0.3057685488519099,0,0,3.25,1,PT,0,A,1,1,0,1,1,127.0,0.0,29.0,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,6,core,CORE_6,core,-1,0.3057685488519099,0,0,3.25,1,CAR,1,B,2,0,0,1,1,36.0,0.0,5.36,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,6,core,CORE_6,core,-1,0.3057685488519099,0,0,3.25,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,39.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,7,core,CORE_7,core,-1,0.3057685488519099,0,0,3.25,1,PT,0,A,1,1,0,1,1,29.0,0.0,6.0,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,7,core,CORE_7,core,-1,0.3057685488519099,0,0,3.25,1,CAR,1,B,2,0,0,1,1,8.0,0.0,0.37,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,7,core,CORE_7,core,-1,0.3057685488519099,0,0,3.25,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,2.4,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,8,core,CORE_8,core,-1,0.3057685488519099,0,0,3.25,0,PT,0,A,1,1,0,1,1,240.0,56.0,0.0,0.0,,,ai
deepseek_r1_8b,1,DS0001,H0539,2.256576028779217,semantic_arm,1,8,core,CORE_8,core,-1,0.3057685488519099,0,0,3.25,0,CAR,1,B,2,0,0,1,0,121.0,0.0,24.53,0.0,,,ai
