human_id,normalized_weight,age,CalculatedIncome,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,CAR_AVAILABLE,TimePT,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,Envir01,Envir05,LifSty01,LifSty07,Mobil05,Mobil12,choice_code,Choice
10350017,0.8832827856419051,27,7000,1,0,0,0,0,1,7.0,1,0,0,1,3,2,0,1,0,1,85,10,0.0,32,4.54,30.0,0.425,0.16,0.1666666666666666,0.0,0.454,6.0,4,5,3,5,3,2,1,1
10350085,0.954424398357919,57,7000,0,1,0,1,0,0,7.0,1,0,0,2,3,3,0,1,0,1,190,18,10.8,14,1.66,12.5,0.95,0.07,0.3,1.08,0.1659999999999999,2.5,4,5,2,3,3,5,1,1
10350086,0.8584724543995766,58,7000,0,1,0,1,0,0,7.0,0,0,0,2,3,3,0,1,0,1,116,29,9.6,20,2.71,19.0,0.58,0.1,0.4833333333333333,0.96,0.271,3.8,4,4,2,3,3,3,1,1
10350133,0.954424398357919,59,3250,0,1,0,1,0,0,3.25,1,0,0,1,2,2,0,1,0,1,92,8,11.0,27,3.88,27.0,0.46,0.135,0.1333333333333333,1.1,0.388,5.4,4,3,2,3,3,2,1,1
10350197,0.8832827856419051,30,15000,1,0,0,0,0,1,15.0,0,0,0,2,1,2,0,1,0,1,124,24,0.0,22,3.5,26.0,0.62,0.11,0.4,0.0,0.35,5.2,4,5,5,5,3,4,1,1
10350272,0.954424398357919,42,7000,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,1,0,1,266,95,37.2,51,7.65,55.0,1.33,0.255,1.5833333333333333,3.72,0.765,11.0,4,4,2,3,3,5,1,1
10360011,0.954424398357919,56,7000,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,1,180,41,26.4,45,6.35,44.5,0.9,0.225,0.6833333333333333,2.64,0.635,8.9,4,4,2,3,3,4,1,1
10360011,0.954424398357919,56,7000,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,1,312,51,59.6,93,20.1,135.5,1.56,0.465,0.85,5.96,2.01,27.1,4,3,2,2,3,5,1,1
10360013,0.2545934244605354,42,7000,1,0,0,0,0,0,7.0,1,0,1,2,4,4,2,0,1,1,181,15,16.2,24,2.97,20.0,0.905,0.12,0.25,1.62,0.297,4.0,4,5,5,5,3,5,1,1
10360016,0.8584724543995766,44,5000,0,1,0,1,0,0,5.0,1,0,1,1,1,1,0,0,1,1,184,10,20.0,30,3.68,22.0,0.92,0.15,0.1666666666666666,2.0,0.368,4.4,4,3,2,2,3,5,1,1
10360024,0.2545934244605354,51,9000,0,0,1,0,0,0,9.0,1,0,0,2,5,5,3,0,1,1,200,12,15.2,26,3.34,24.5,1.0,0.13,0.2,1.52,0.3339999999999999,4.9,4,3,2,3,3,5,1,1
10360113,0.954424398357919,53,9000,0,1,1,0,0,0,9.0,0,0,1,3,3,4,0,0,1,1,145,19,14.0,14,1.81,14.2,0.725,0.07,0.3166666666666666,1.4,0.181,2.84,4,3,2,2,3,5,1,1
10360139,0.2290902236010023,46,15000,0,0,0,1,0,0,15.0,0,1,0,2,3,4,2,0,1,1,135,11,7.8,33,4.46,31.0,0.675,0.165,0.1833333333333333,0.78,0.446,6.2,4,5,3,5,3,4,1,1
10360193,0.8832827856419051,37,15000,1,0,0,0,0,0,15.0,1,0,1,2,0,2,0,0,1,1,159,11,43.2,28,4.61,32.5,0.795,0.14,0.1833333333333333,4.32,0.461,6.5,4,5,5,5,3,5,1,1
10360195,0.2290902236010023,52,9000,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,0,1,1,194,22,9.6,47,6.98,51.5,0.97,0.235,0.3666666666666666,0.96,0.6980000000000001,10.3,4,4,2,3,3,5,1,1
10360196,0.2290902236010023,52,9000,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,0,1,1,126,12,6.6,26,3.68,27.0,0.63,0.13,0.2,0.6599999999999999,0.368,5.4,4,5,3,5,3,5,1,1
10360235,0.2545934244605354,61,15000,0,0,0,1,0,0,15.0,1,0,0,3,5,3,0,1,0,1,219,86,38.4,49,9.04,67.0,1.095,0.245,1.4333333333333331,3.84,0.904,13.4,4,5,2,3,3,5,1,1
10360236,0.2290902236010023,48,15000,0,0,0,0,0,0,15.0,0,0,0,3,5,3,-1,0,1,1,193,14,15.8,40,5.03,32.5,0.965,0.2,0.2333333333333333,1.58,0.503,6.5,4,4,2,3,3,5,1,1
10360286,0.3735873657560173,42,7000,1,0,0,0,0,0,7.0,1,0,1,2,4,4,2,0,1,1,185,34,43.2,61,11.78,88.0,0.925,0.305,0.5666666666666667,4.32,1.178,17.6,4,5,5,5,3,5,1,1
10360322,0.5414274486172608,35,7000,0,0,0,1,0,0,7.0,1,0,0,1,3,3,1,0,1,1,142,30,26.0,42,7.45,58.0,0.71,0.21,0.5,2.6,0.745,11.6,4,3,2,3,3,5,1,1
10360414,0.2545934244605354,44,7000,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,0,1,1,108,15,9.6,23,3.4,25.0,0.54,0.115,0.25,0.96,0.3399999999999999,5.0,4,4,2,3,3,5,1,1
10360414,0.2545934244605354,44,7000,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,1,102,18,9.6,24,3.73,27.0,0.51,0.12,0.3,0.96,0.373,5.4,4,4,2,3,3,5,1,1
10360460,2.256576028779217,27,9000,0,1,0,1,0,1,9.0,1,0,0,2,1,2,0,0,1,1,66,20,9.6,16,2.41,17.0,0.33,0.08,0.3333333333333333,0.96,0.241,3.4,4,3,2,2,3,5,1,1
