run_id,synthetic_respondent_id,task_position,survey_stratum,GROUP,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,SM_AV,CAR_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,custom_id,choice_code,is_valid_choice,CHOICE,TRAIN_TIME_SCALED,SM_TIME_SCALED,CAR_TIME_SCALED,TRAIN_COST_SCALED,SM_COST_SCALED,CAR_COST_SCALED
1,1,1,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,257,126,120,85,145,30,0,200,125,1,2,1,2,2.57,0.85,2.0,1.26,1.45,1.25
1,1,2,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,193,94,120,85,119,30,0,260,100,2,2,1,2,1.93,0.85,2.6,0.94,1.19,1.0
1,1,3,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,257,94,120,85,119,20,0,160,100,3,2,1,2,2.57,0.85,1.6,0.94,1.19,1.0
1,1,4,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,214,94,60,85,119,10,0,260,162,4,2,1,2,2.14,0.85,2.6,0.94,1.19,1.62
1,1,5,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,214,105,120,85,132,30,0,160,162,5,2,1,2,2.14,0.85,1.6,1.05,1.32,1.62
1,1,6,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,193,105,60,85,132,20,0,260,125,6,2,1,2,1.93,0.85,2.6,1.05,1.32,1.25
1,1,7,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,193,126,60,85,145,10,0,200,100,7,2,1,2,1.93,0.85,2.0,1.26,1.45,1.0
1,1,8,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,193,105,120,85,132,20,0,200,162,8,2,1,2,1.93,0.85,2.0,1.05,1.32,1.62
1,1,9,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,214,126,30,85,172,20,0,200,162,9,2,1,2,2.14,0.85,2.0,1.26,1.72,1.62
1,2,1,1,3,3,1,3,2,1,4,1,3,0,1,22,1,1,1,164,62,120,56,70,20,0,221,95,10,2,1,2,1.64,0.56,2.21,0.62,0.7,0.95
