run_label,run_id,synthetic_respondent_id,persona_id,source_profile_id,source_baseline_id,survey_stratum,survey_text,group_code,purpose_code,purpose_text,first_class,first_class_text,ticket_code,ticket_text,who_code,who_text,luggage_code,luggage_text,age_code,age_text,male,sex_text,income_code,income_text,ga,ga_text,origin_code,origin_text,dest_code,dest_text,car_av,car_av_text,template_id,generated_at_utc,anchor_train_time,anchor_train_cost,anchor_sm_time,anchor_sm_cost,anchor_car_time,anchor_car_cost
ai_run_01,1,1,SMAI01_0001,732,782,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,0,no luggage,4,age code 4,1,male,3,income code 3,0,does not have a GA travelcard,2,origin zone code 2,1,destination zone code 1,1,car is available for this trip,S1_TPL020,2026-03-28T19:05:27.856567+00:00,214,105,85,132,200,125
ai_run_01,1,2,SMAI01_0002,915,582,1,survey stratum 1,3,3,purpose code 3,1,first class,3,ticket category code 3,2,payer code 2,1,luggage code 1,4,age code 4,1,male,3,income code 3,0,does not have a GA travelcard,1,origin zone code 1,22,destination zone code 22,1,car is available for this trip,S1_TPL004,2026-03-28T19:05:27.857567+00:00,164,52,56,64,170,95
ai_run_01,1,3,SMAI01_0003,600,729,1,survey stratum 1,3,3,purpose code 3,0,second class,3,ticket category code 3,1,payer code 1,0,no luggage,2,age code 2,1,male,2,income code 2,0,does not have a GA travelcard,1,origin zone code 1,2,destination zone code 2,1,car is available for this trip,S1_TPL012,2026-03-28T19:05:27.858567+00:00,200,105,71,122,210,165
ai_run_01,1,4,SMAI01_0004,348,293,0,survey stratum 0,2,3,purpose code 3,1,first class,1,ticket category code 1,1,payer code 1,1,luggage code 1,3,age code 3,1,male,2,income code 2,0,does not have a GA travelcard,1,origin zone code 1,10,destination zone code 10,1,car is available for this trip,S0_TPL153,2026-03-28T19:05:27.861071+00:00,198,50,90,65,170,115
ai_run_01,1,5,SMAI01_0005,48,280,0,survey stratum 0,2,1,purpose code 1,0,second class,6,ticket category code 6,3,payer code 3,1,luggage code 1,3,age code 3,1,male,2,income code 2,1,has a GA travelcard,25,origin zone code 25,22,destination zone code 22,1,car is available for this trip,S0_TPL139,2026-03-28T19:05:27.864250+00:00,59,0,35,0,70,35
ai_run_01,1,6,SMAI01_0006,500,654,1,survey stratum 1,3,1,purpose code 1,1,first class,3,ticket category code 3,2,payer code 2,0,no luggage,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,22,origin zone code 22,1,destination zone code 1,1,car is available for this trip,S1_TPL015,2026-03-28T19:05:27.864767+00:00,168,83,115,91,130,65
ai_run_01,1,7,SMAI01_0007,223,12,0,survey stratum 0,2,3,purpose code 3,0,second class,1,ticket category code 1,1,payer code 1,0,no luggage,3,age code 3,0,female,1,income code 1,0,does not have a GA travelcard,1,origin zone code 1,22,destination zone code 22,0,car is not available for this trip,S0_TPL187,2026-03-28T19:05:27.868624+00:00,117,36,62,46,0,0
ai_run_01,1,8,SMAI01_0008,498,551,1,survey stratum 1,3,1,purpose code 1,1,first class,3,ticket category code 3,1,payer code 1,1,luggage code 1,3,age code 3,0,female,3,income code 3,0,does not have a GA travelcard,25,origin zone code 25,3,destination zone code 3,1,car is available for this trip,S1_TPL006,2026-03-28T19:05:27.869658+00:00,181,42,128,45,120,60
ai_run_01,1,9,SMAI01_0009,911,655,1,survey stratum 1,3,3,purpose code 3,1,first class,3,ticket category code 3,2,payer code 2,1,luggage code 1,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,17,origin zone code 17,1,destination zone code 1,1,car is available for this trip,S1_TPL020,2026-03-28T19:05:27.870698+00:00,177,12,69,15,170,105
ai_run_01,1,10,SMAI01_0010,781,585,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,1,luggage code 1,4,age code 4,1,male,2,income code 2,0,does not have a GA travelcard,2,origin zone code 2,22,destination zone code 22,1,car is available for this trip,S1_TPL056,2026-03-28T19:05:27.872264+00:00,128,42,76,50,110,60
