run_label,run_id,synthetic_respondent_id,persona_id,task_position,task_id,template_id,survey_stratum,GROUP,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,SM_AV,CAR_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,custom_id
ai_run_01,1,1,SMAI01_0001,1,SMAI01_0001_T01,S1_TPL020,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,257,126,120,85,145,30,0,200,125,1
ai_run_01,1,1,SMAI01_0001,2,SMAI01_0001_T02,S1_TPL020,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,193,94,120,85,119,30,0,260,100,2
ai_run_01,1,1,SMAI01_0001,3,SMAI01_0001_T03,S1_TPL020,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,257,94,120,85,119,20,0,160,100,3
ai_run_01,1,1,SMAI01_0001,4,SMAI01_0001_T04,S1_TPL020,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,214,94,60,85,119,10,0,260,162,4
ai_run_01,1,1,SMAI01_0001,5,SMAI01_0001_T05,S1_TPL020,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,214,105,120,85,132,30,0,160,162,5
ai_run_01,1,1,SMAI01_0001,6,SMAI01_0001_T06,S1_TPL020,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,193,105,60,85,132,20,0,260,125,6
ai_run_01,1,1,SMAI01_0001,7,SMAI01_0001_T07,S1_TPL020,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,193,126,60,85,145,10,0,200,100,7
ai_run_01,1,1,SMAI01_0001,8,SMAI01_0001_T08,S1_TPL020,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,193,105,120,85,132,20,0,200,162,8
ai_run_01,1,1,SMAI01_0001,9,SMAI01_0001_T09,S1_TPL020,1,3,3,1,1,2,0,4,1,3,0,2,1,1,1,1,214,126,30,85,172,20,0,200,162,9
ai_run_01,1,2,SMAI01_0002,1,SMAI01_0002_T01,S1_TPL004,1,3,3,1,3,2,1,4,1,3,0,1,22,1,1,1,164,62,120,56,70,20,0,221,95,10
ai_run_01,1,2,SMAI01_0002,2,SMAI01_0002_T02,S1_TPL004,1,3,3,1,3,2,1,4,1,3,0,1,22,1,1,1,148,62,30,50,64,10,0,221,124,11
ai_run_01,1,2,SMAI01_0002,3,SMAI01_0002_T03,S1_TPL004,1,3,3,1,3,2,1,4,1,3,0,1,22,1,1,1,197,62,60,62,77,30,0,221,76,12
ai_run_01,1,2,SMAI01_0002,4,SMAI01_0002_T04,S1_TPL004,1,3,3,1,3,2,1,4,1,3,0,1,22,1,1,1,148,52,30,56,70,20,0,136,76,13
ai_run_01,1,2,SMAI01_0002,5,SMAI01_0002_T05,S1_TPL004,1,3,3,1,3,2,1,4,1,3,0,1,22,1,1,1,197,47,60,56,51,20,0,170,124,14
ai_run_01,1,2,SMAI01_0002,6,SMAI01_0002_T06,S1_TPL004,1,3,3,1,3,2,1,4,1,3,0,1,22,1,1,1,164,47,120,50,64,10,0,170,76,15
ai_run_01,1,2,SMAI01_0002,7,SMAI01_0002_T07,S1_TPL004,1,3,3,1,3,2,1,4,1,3,0,1,22,1,1,1,148,62,120,62,77,10,0,136,95,16
ai_run_01,1,2,SMAI01_0002,8,SMAI01_0002_T08,S1_TPL004,1,3,3,1,3,2,1,4,1,3,0,1,22,1,1,1,148,47,30,62,58,30,0,170,95,17
