parameter_name,estimate,paper_estimate,block
ASCPMM,-0.599,-0.599,utility
ASCSM,-0.772,-0.772,utility
beta_cost,-0.0559,-0.0559,utility
beta_time_pmm,-0.0294,-0.0294,utility
beta_time_pt,-0.0119,-0.0119,utility
beta_distance,-0.224,-0.224,utility
beta_ncars,0.97,0.97,utility
beta_nchildren,0.215,0.215,utility
beta_language,1.06,1.06,utility
beta_work,-0.583,-0.583,utility
beta_urban,0.283,0.283,utility
beta_student,3.26,3.26,utility
beta_nbikes,0.385,0.385,utility
beta_Acar,-0.574,-0.574,utility
beta_Aenv,0.393,0.393,utility
