parameter_name,estimate,std_error,z_value,p_value,significant_5pct
ASC_ES_REL_CAR,-123.69023979978064,0.0,,,0
ASC_BS_REL_CAR,103.83341655403098,0.0,,,0
ASC_WALK_REL_CAR,-5.851862697998942,0.0,,,0
AGE_ES_REL_CAR,-4.511891079564103,0.0,,,0
AGE_BS_REL_CAR,-1.3727301188804024,0.0,,,0
AGE_WALK_REL_CAR,-602.8251026796371,0.0,,,0
BIKEACC_ES_REL_CAR,3.6867357902460545,2.388950754423629,1.5432447836856045,0.12277139516300029,0
BIKEACC_BS_REL_CAR,-0.8456367078960622,2.2485740058247767,-0.3760768850415856,0.7068597381236217,0
BIKEACC_WALK_REL_CAR,-20.248237389269253,0.0,,,0
CARACC_ES_REL_CAR,-49.40053924587792,0.0,,,0
CARACC_BS_REL_CAR,-56.55637994795051,0.0,,,0
CARACC_WALK_REL_CAR,-14.989421771598455,0.0,,,0
PTPASS_ES_REL_CAR,77.63010930496169,0.0,,,0
PTPASS_BS_REL_CAR,-15.763413456397295,2.2083326674537456,-7.138151642058913,9.459100169806334e-13,1
PTPASS_WALK_REL_CAR,-6.069715664020985,0.0,,,0
MAAS_ES_REL_CAR,8.346309387371296,0.0,,,0
MAAS_BS_REL_CAR,0.7213421034909933,0.0,,,0
MAAS_WALK_REL_CAR,-2.2434834619547503,0.0,,,0
SIGMA_ES,303.8667207992195,0.0,,,0
SIGMA_BS,69.16321322132788,0.0,,,0
SIGMA_WALK,-7.418458237177419,0.0,,,0
B_TIME_ES,-31.61138496498709,0.0,,,0
B_TIME_BS,-8.48155595891447,2.140338780562781,-3.9627165736278105,7.410173392252695e-05,1
B_TIME_WALK,-208.9366439197436,0.0,,,0
B_TIME_CAR,87.26094857309245,0.0,,,0
B_ACCESS_SHARED,-19.4383177106124,2.8434211069376985,-6.836243025412101,8.129719120120171e-12,1
B_ACCESS_CAR,-40.6473234418921,5.7573270089659045,-7.06010330463979,1.6637802247032596e-12,1
B_EGRESS_SHARED,-247.81395433994035,13.058824662435653,-18.976742604775858,0.0,1
B_EGRESS_CAR,-162.5415927685879,0.0,,,0
B_PARKING,160.22802126574348,0.0,,,0
B_COST_LOGMEAN,5.437099062357263,0.0,,,0
SIGMA_COST,-2.0712336043885955,0.028913331718118225,-71.63593682601025,0.0,1
B_AVAILABILITY,0.6160833700185325,0.0,,,0
B_SCHEME_SD,-239.35639549562396,0.0,,,0
B_RANGE,132.07867695849208,0.0,,,0
B_PEDELEC,-92.44580336847046,0.0,,,0
