source_paper,table_name,mode_scope,attribute,unit,alternative,levels,note
Krauss_Krail_Axhausen_2022,Table_2,SD,trip_length,km,all,"0.5|1|2|4","Short-distance trip-length set reported in the paper."
Krauss_Krail_Axhausen_2022,Table_2,SD,travel_time,min,e_scooter,"2|5|9|13|16|18","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,travel_time,min,bikesharing,"3|5|11|15|18|21","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,travel_time,min,walking,"7|14|27|35|44|55","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,travel_time,min,private_car,"1|2|4|5.5|7|8","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,access_time,min,e_scooter,"2|5","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,access_time,min,bikesharing,"2|5","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,access_time,min,walking,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,access_time,min,private_car,"2|5","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,egress_time,min,e_scooter,"1|3","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,egress_time,min,bikesharing,"1|3","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,egress_time,min,walking,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,egress_time,min,private_car,"1|5|10","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,parking_search_time,min,e_scooter,"0|1","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,parking_search_time,min,bikesharing,"0|1","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,parking_search_time,min,walking,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,parking_search_time,min,private_car,"1|4|8","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,availability,percent,e_scooter,"10|50|100","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,availability,percent,bikesharing,"10|50|100","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,availability,percent,walking,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,availability,percent,private_car,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,cost,eur,e_scooter,"1.3|1.8|2.4|3|3.7|4.5","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,cost,eur,bikesharing,"1|1.5|2|2.5|4|5","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,cost,eur,walking,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,cost,eur,private_car,"0.2|0.5|0.9|1.4|1.8|2.5","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,scheme,category,e_scooter,"station-based|free-floating","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,scheme,category,bikesharing,"station-based|free-floating","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,scheme,category,walking,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,scheme,category,private_car,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,engine,category,e_scooter,"","Not applicable for SD e-scooter in Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,engine,category,bikesharing,"bike|pedelec","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,engine,category,walking,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,engine,category,private_car,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,range,km,e_scooter,"1|4|10","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,range,km,bikesharing,"1|4|10","Attribute levels transcribed from Table 2."
Krauss_Krail_Axhausen_2022,Table_2,SD,range,km,walking,"","Not applicable."
Krauss_Krail_Axhausen_2022,Table_2,SD,range,km,private_car,"","Not applicable."
