model,block,parameter_name,human_estimate,ai_estimate,gap_ai_minus_human
salcm,salcm,ASC_PT_C1,,0.022707807876643223,
salcm,salcm,ASC_CAR_C1,,0.7796031696721214,
salcm,salcm,B_COST_C1,,-0.3898364280880092,
salcm,salcm,B_TIME_PT_C1,,-0.5569990303795389,
salcm,salcm,B_TIME_CAR_C1,,0.5899303036052256,
salcm,salcm,B_WAIT_C1,,-0.215166047119609,
salcm,salcm,B_DIST_C1,,-1.6198282601743146,
salcm,salcm,ASC_PT_C2,,4.165230146540551,
salcm,salcm,ASC_CAR_C2,,4.4183612409677515,
salcm,salcm,B_COST_C2,,-0.0846765953498948,
salcm,salcm,B_TIME_PT_C2,,-0.025438553596190606,
salcm,salcm,B_TIME_CAR_C2,,-0.022382496472047327,
salcm,salcm,B_WAIT_C2,,-0.03859744644969771,
salcm,salcm,B_DIST_C2,,-0.01922281788191037,
salcm,salcm,ASC_PT_C3,,0.19082821505088005,
salcm,salcm,ASC_CAR_C3,,0.7119887291490651,
salcm,salcm,B_COST_C3,,-0.13574426398444445,
salcm,salcm,B_TIME_PT_C3,,-0.025632322788771016,
salcm,salcm,B_TIME_CAR_C3,,-0.045317512900118664,
salcm,salcm,B_WAIT_C3,,-0.07113215105634817,
salcm,salcm,B_DIST_C3,,-2.610044017065608,
salcm,salcm,LOG_SCALE_CLASS_2,,1.3245228552265924,
salcm,salcm,CLASS_INTERCEPT_C2,,0.31175817973566927,
salcm,salcm,CLASS_model_is_deepseek_C2,,0.0,
salcm,salcm,CLASS_semantic_arm_C2,,0.2899432618196896,
salcm,salcm,CLASS_prompt_family_naturalistic_C2,,0.08420115044100814,
salcm,salcm,CLASS_age_30_less_C2,,0.6144029866991166,
salcm,salcm,CLASS_high_education_C2,,0.5179791629124806,
salcm,salcm,CLASS_ScaledIncome_C2,,0.2556973394594056,
salcm,salcm,CLASS_CAR_AVAILABLE_C2,,-0.06987412632954576,
salcm,salcm,CLASS_block_complexity_mean_C2,,0.1594744059348717,
salcm,salcm,CLASS_INTERCEPT_C3,,-0.12040924089989896,
salcm,salcm,CLASS_model_is_deepseek_C3,,0.0,
salcm,salcm,CLASS_semantic_arm_C3,,-1.3722809540590044,
salcm,salcm,CLASS_prompt_family_naturalistic_C3,,-0.08365197709424163,
salcm,salcm,CLASS_age_30_less_C3,,-0.05399223551284797,
salcm,salcm,CLASS_high_education_C3,,-0.31871109792089014,
salcm,salcm,CLASS_ScaledIncome_C3,,0.31836205593514444,
salcm,salcm,CLASS_CAR_AVAILABLE_C3,,0.6457913258634727,
salcm,salcm,CLASS_block_complexity_mean_C3,,0.5909956056474124,
salcm,salcm,SCALE_INTERCEPT_S2,,-0.36836283295983946,
salcm,salcm,SCALE_model_is_deepseek_S2,,0.0,
salcm,salcm,SCALE_semantic_arm_S2,,2.448880505084927,
salcm,salcm,SCALE_prompt_family_naturalistic_S2,,0.48773043926682,
salcm,salcm,SCALE_age_30_less_S2,,-0.22976247522101056,
salcm,salcm,SCALE_high_education_S2,,-0.3468496906246945,
salcm,salcm,SCALE_ScaledIncome_S2,,-0.16024659503398947,
salcm,salcm,SCALE_CAR_AVAILABLE_S2,,0.8578761987869213,
salcm,salcm,SCALE_block_complexity_mean_S2,,-0.20996084637572804,
