respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count
DS0001_R1,54441132,2.256576028779217,31,male,31 years old,3250,around CHF 3250 per month,0,1,1,0,0,0,3.25,1,0,0,1,1,1,0,1,0,a work trip,not high education,1,car is available for this trip,1,6,2,1,1,2,deepseek_chat,DST0001,1,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2
DS0001_R2,54441132,2.256576028779217,31,male,31 years old,3250,around CHF 3250 per month,0,1,1,0,0,0,3.25,1,0,0,1,1,1,0,1,0,a work trip,not high education,1,car is available for this trip,1,6,2,1,1,2,deepseek_chat,DST0001,2,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2
DS0001_R3,54441132,2.256576028779217,31,male,31 years old,3250,around CHF 3250 per month,0,1,1,0,0,0,3.25,1,0,0,1,1,1,0,1,0,a work trip,not high education,1,car is available for this trip,1,6,2,1,1,2,deepseek_chat,DST0001,3,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2
DS0001_R4,54441132,2.256576028779217,31,male,31 years old,3250,around CHF 3250 per month,0,1,1,0,0,0,3.25,1,0,0,1,1,1,0,1,0,a work trip,not high education,1,car is available for this trip,1,6,2,1,1,2,deepseek_chat,DST0001,4,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2
DS0002_R1,42271067,0.8584724543995766,42,female,42 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,1,0,1,2,2,1,1,0,a work trip,not high education,1,car is available for this trip,1,1,1,3,3,2,deepseek_chat,DST0002,1,semantic_arm,1,naturalistic,1,0.5642050108118849,0.23339669979327946,16,6,2,2,2,2,2
DS0002_R2,42271067,0.8584724543995766,42,female,42 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,1,0,1,2,2,1,1,0,a work trip,not high education,1,car is available for this trip,1,1,1,3,3,2,deepseek_chat,DST0002,2,semantic_arm,1,naturalistic,1,0.5642050108118849,0.23339669979327946,16,6,2,2,2,2,2
DS0002_R3,42271067,0.8584724543995766,42,female,42 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,1,0,1,2,2,1,1,0,a work trip,not high education,1,car is available for this trip,1,1,1,3,3,2,deepseek_chat,DST0002,3,semantic_arm,1,naturalistic,1,0.5642050108118849,0.23339669979327946,16,6,2,2,2,2,2
DS0002_R4,42271067,0.8584724543995766,42,female,42 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,1,0,1,2,2,1,1,0,a work trip,not high education,1,car is available for this trip,1,1,1,3,3,2,deepseek_chat,DST0002,4,semantic_arm,1,naturalistic,1,0.5642050108118849,0.23339669979327946,16,6,2,2,2,2,2
DS0003_R1,54440188,0.2290902236010023,46,female,46 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,4,2,2,0,1,0,a work trip,high education,1,car is available for this trip,1,6,2,1,3,4,deepseek_chat,DST0003,1,semantic_arm,1,naturalistic,1,0.5024150214857873,0.21319732722450835,16,6,2,2,2,2,2
DS0003_R2,54440188,0.2290902236010023,46,female,46 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,4,2,2,0,1,0,a work trip,high education,1,car is available for this trip,1,6,2,1,3,4,deepseek_chat,DST0003,2,semantic_arm,1,naturalistic,1,0.5024150214857873,0.21319732722450835,16,6,2,2,2,2,2
DS0003_R3,54440188,0.2290902236010023,46,female,46 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,4,2,2,0,1,0,a work trip,high education,1,car is available for this trip,1,6,2,1,3,4,deepseek_chat,DST0003,3,semantic_arm,1,naturalistic,1,0.5024150214857873,0.21319732722450835,16,6,2,2,2,2,2
DS0003_R4,54440188,0.2290902236010023,46,female,46 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,4,2,2,0,1,0,a work trip,high education,1,car is available for this trip,1,6,2,1,3,4,deepseek_chat,DST0003,4,semantic_arm,1,naturalistic,1,0.5024150214857873,0.21319732722450835,16,6,2,2,2,2,2
DS0004_R1,28420388,0.2545934244605354,45,male,45 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,0,0,1,1,5,5,3,1,0,a work trip,high education,1,car is available for this trip,2,2,2,2,2,2,deepseek_chat,DST0004,1,neutral_arm,0,concise,0,0.427841794957956,0.11920533368786738,16,6,2,2,2,2,2
DS0004_R2,28420388,0.2545934244605354,45,male,45 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,0,0,1,1,5,5,3,1,0,a work trip,high education,1,car is available for this trip,2,2,2,2,2,2,deepseek_chat,DST0004,2,neutral_arm,0,concise,0,0.427841794957956,0.11920533368786738,16,6,2,2,2,2,2
DS0004_R3,28420388,0.2545934244605354,45,male,45 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,0,0,1,1,5,5,3,1,0,a work trip,high education,1,car is available for this trip,2,2,2,2,2,2,deepseek_chat,DST0004,3,neutral_arm,0,concise,0,0.427841794957956,0.11920533368786738,16,6,2,2,2,2,2
DS0004_R4,28420388,0.2545934244605354,45,male,45 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,0,0,1,1,5,5,3,1,0,a work trip,high education,1,car is available for this trip,2,2,2,2,2,2,deepseek_chat,DST0004,4,neutral_arm,0,concise,0,0.427841794957956,0.11920533368786738,16,6,2,2,2,2,2
DS0005_R1,50760456,0.8584724543995766,51,female,51 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,0,0,1,4,5,3,0,0,1,a non-work trip,not high education,1,car is available for this trip,3,3,2,3,1,4,deepseek_chat,DST0005,1,neutral_arm,0,naturalistic,1,0.5500708507039647,0.21585375612954533,16,6,2,2,2,2,2
