model,parameter_name,human_estimate,ai_estimate,gap_ai_minus_human
atasoy_2011_replication,ASCPMM,-0.4133853731200848,0.5975250359907549,1.0109104091108396
atasoy_2011_replication,ASCSM,-0.4700378136527429,-3.1767311532010707,-2.7066933395483277
atasoy_2011_replication,beta_cost,-0.0591605785422949,-0.11127846020011282,-0.05211788165781792
atasoy_2011_replication,beta_distance,-0.2273282258835992,-0.03272393468842902,0.19460429119517017
atasoy_2011_replication,beta_language,1.0925423349056869,-0.11306368890655849,-1.2056060238122455
atasoy_2011_replication,beta_nbikes,0.3468642747377027,0.21074117238269371,-0.136123102355009
atasoy_2011_replication,beta_ncars,1.001004001885042,0.2964490805863351,-0.7045549212987068
atasoy_2011_replication,beta_nchildren,0.1535265388349499,0.3096591583913215,0.15613261955637162
atasoy_2011_replication,beta_student,3.207337653082729,-0.0040465477175735485,-3.211384200800303
atasoy_2011_replication,beta_time_pmm,-0.0299292037360967,-0.008650565615866714,0.021278638120229985
atasoy_2011_replication,beta_time_pt,-0.0120682471005967,-0.021738239083984662,-0.009669991983387962
atasoy_2011_replication,beta_urban,0.286154553463541,-0.20284742285970941,-0.48900197632325043
atasoy_2011_replication,beta_work,-0.5824111893155309,0.21582228958525626,0.7982334789007872
