parameter_name,estimate,block,std_error,z_value
alpha_Mobil11,0.0971252529717702,measurement,1.5083394785392035,0.06439217056483469
alpha_Mobil16,0.07722001047272418,measurement,1.6209990324631736,0.047637295844270344
alpha_Envir01,-0.10554982801592223,measurement,3.1872650748060223,-0.03311611225882931
alpha_Envir02,-0.024866533476919243,measurement,1.0150237304451102,-0.02449847499231838
alpha_Envir06,0.0754833849368972,measurement,2.105780432709568,0.035845800333404454
loading_Mobil11,1.261789552695065,measurement,2.0225909159790065,0.6238481260479278
loading_Mobil16,1.1655646600758631,measurement,1.2229762816945606,0.9530558176163909
loading_Envir01,0.7515274225923844,measurement,1.2704476224314345,0.5915453807958494
loading_Envir02,0.9242523839902613,measurement,1.8460961210263493,0.5006523622813406
loading_Envir06,1.17145835179268,measurement,1.2908382248133916,0.9075175566342021
sigma_Mobil10,1.2109249233759627,measurement,2.1244477520130247,0.5699951539069616
sigma_Mobil11,1.0947615521063785,measurement,1.1978970718725972,0.9139028534354847
sigma_Mobil16,1.1148427181874883,measurement,1.327820481731968,0.8396034957476494
sigma_Envir01,1.303642864125214,measurement,1.70661404280566,0.7638767942996856
sigma_Envir02,1.1274891192780234,measurement,1.3133741958496779,0.8584675432492432
sigma_Envir05,1.0373820610014246,measurement,1.0581622563108155,0.9803619953504682
sigma_Envir06,0.7891121979097505,measurement,2.7637278351794374,0.28552456861531617
