respondent_id,task_index,Choice,WaitingTimePT,TimePT,MarginalCostPT,CostPT,TimeCar,CostCar,CostCarCHF,distance_km,CarAvail,CAR_AVAILABLE,InVehicleTime,source_observation_id_panel,human_id_panel,human_id,source_observation_id,Weight,CalculatedIncome,Education,LangCode,UrbRur,OccupStat,TripPurpose,Region,age,NbHousehold,NbChild,NbCar,NbBicy,French,Urban,Student,WorkTrip,EducHigh,AgeTerm,Valais,Bern,BaselZurich,East,Graubunden,NbCar_0,NbChild_0,NbBicy_0,Mobil10,Mobil11,Mobil16,Envir01,Envir02,Envir05,Envir06,ID
DS0001_R1,1,1,12.0,227.0,19.8,19.8,69.0,6.91,6.91,33.0,1,1,215.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R1,2,1,18.0,161.0,22.8,22.8,56.0,8.05,8.05,54.5,1,1,143.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R1,3,2,0.0,21.0,0.0,0.0,0.0,0.16,0.16,0.7,1,1,21.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R1,4,1,20.0,141.0,12.7,12.7,60.0,6.09,6.09,40.0,1,1,121.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R1,5,2,0.0,15.0,2.2,2.2,3.0,0.32,0.32,1.2,1,1,15.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R1,6,2,0.0,24.0,0.0,0.0,2.0,0.49,0.49,2.0,1,1,24.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R2,1,1,12.0,227.0,19.8,19.8,69.0,6.91,6.91,33.0,1,1,215.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R2,2,1,18.0,161.0,22.8,22.8,56.0,8.05,8.05,54.5,1,1,143.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R2,3,2,0.0,21.0,0.0,0.0,0.0,0.16,0.16,0.7,1,1,21.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R2,4,1,20.0,141.0,12.7,12.7,60.0,6.09,6.09,40.0,1,1,121.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
DS0001_R2,5,2,0.0,15.0,2.2,2.2,3.0,0.32,0.32,1.2,1,1,15.0,261,11460060,11460060,261,0.000160139,15000,7,1,1,1,-1,1,47,6,4,2,6,1,0,0,0,1,2,0,0,0,0,0,2,4,6,2,4,3,5,4,5,6,11460060
