respondent_id,choice_label,choice_code,chosen_alternative_name,is_valid_choice,duration_sec
AI0001,B,1,CAR,1,8.1320692
AI0002,B,1,CAR,1,8.1649475
AI0003,B,1,CAR,1,8.4041092
AI0004,B,1,CAR,1,8.1342958
AI0005,B,1,CAR,1,10.47315
AI0006,B,1,CAR,1,8.2581581
AI0007,B,1,CAR,1,8.4361076
AI0008,B,1,CAR,1,8.1136362
AI0009,B,1,CAR,1,8.3466659
AI0010,B,1,CAR,1,8.358352
AI0011,B,1,CAR,1,8.5248943
AI0012,B,1,CAR,1,8.6609212
AI0013,B,1,CAR,1,8.0318763
AI0014,B,1,CAR,1,0.5025215
AI0015,B,1,CAR,1,0.5205953
AI0016,B,1,CAR,1,0.4513911
AI0017,B,1,CAR,1,0.4470243
AI0018,B,1,CAR,1,0.4391627
AI0019,B,1,CAR,1,0.4445901
AI0020,B,1,CAR,1,0.5086745
AI0021,B,1,CAR,1,0.5111164
AI0022,B,1,CAR,1,0.5204714
AI0023,B,1,CAR,1,0.525005
AI0024,A,0,PT,1,0.5052465
AI0025,B,1,CAR,1,0.5130607
AI0026,B,1,CAR,1,0.3890937
AI0027,B,1,CAR,1,0.5090768
AI0028,B,1,CAR,1,0.4435555
AI0029,B,1,CAR,1,0.5132425
AI0030,B,1,CAR,1,0.5139389
AI0031,B,1,CAR,1,0.4431237
AI0032,B,1,CAR,1,0.4419818
AI0033,B,1,CAR,1,0.4909533
AI0034,B,1,CAR,1,0.4095364
AI0035,B,1,CAR,1,0.4348324
AI0036,B,1,CAR,1,0.4326566
AI0037,B,1,CAR,1,0.4379863
AI0038,B,1,CAR,1,0.4345419
AI0039,B,1,CAR,1,0.4223159
AI0040,B,1,CAR,1,0.5106644
AI0041,B,1,CAR,1,0.4478981
AI0042,B,1,CAR,1,0.4328388
AI0043,B,1,CAR,1,0.4418954
AI0044,B,1,CAR,1,0.5141824
AI0045,B,1,CAR,1,0.5135614
AI0046,B,1,CAR,1,0.5108801
AI0047,A,0,PT,1,0.5042362
AI0048,B,1,CAR,1,0.4443365
AI0049,B,1,CAR,1,0.4317655
AI0050,B,1,CAR,1,0.5023485
AI0051,B,1,CAR,1,0.5034767
AI0052,B,1,CAR,1,0.4310787
AI0053,B,1,CAR,1,0.438972
AI0054,B,1,CAR,1,0.5067265
AI0055,B,1,CAR,1,0.4362436
AI0056,B,1,CAR,1,0.5022948
AI0057,B,1,CAR,1,0.450863
AI0058,B,1,CAR,1,0.435475
AI0059,B,1,CAR,1,0.5131486
AI0060,B,1,CAR,1,0.5016278
AI0061,B,1,CAR,1,0.4308915
AI0062,B,1,CAR,1,0.5176236
AI0063,B,1,CAR,1,0.5047194
AI0064,B,1,CAR,1,0.4427722
AI0065,B,1,CAR,1,0.4350098
AI0066,B,1,CAR,1,0.5086757
AI0067,B,1,CAR,1,0.4332894
AI0068,B,1,CAR,1,0.5036115
AI0069,B,1,CAR,1,0.4385581
AI0070,A,0,PT,1,0.5093466
AI0071,B,1,CAR,1,0.5083204
AI0072,B,1,CAR,1,0.5061942
AI0073,B,1,CAR,1,0.5154313
AI0074,B,1,CAR,1,0.5036594
AI0075,B,1,CAR,1,0.5159143
AI0076,B,1,CAR,1,0.4335436
AI0077,B,1,CAR,1,0.4418948
AI0078,B,1,CAR,1,0.4344476
AI0079,B,1,CAR,1,0.4310452
AI0080,B,1,CAR,1,0.4423296
AI0081,B,1,CAR,1,0.5168117
AI0082,B,1,CAR,1,0.43234
AI0083,B,1,CAR,1,0.5149665
AI0084,B,1,CAR,1,0.4573179
AI0085,B,1,CAR,1,0.425588
AI0086,B,1,CAR,1,0.443128
AI0087,B,1,CAR,1,0.4969937
AI0088,B,1,CAR,1,0.5055934
AI0089,B,1,CAR,1,0.5085113
AI0090,B,1,CAR,1,0.5105243
AI0091,B,1,CAR,1,0.5081339
AI0092,B,1,CAR,1,0.4280858
AI0093,B,1,CAR,1,0.4327543
AI0094,B,1,CAR,1,0.4988675
AI0095,B,1,CAR,1,0.4331936
AI0096,B,1,CAR,1,0.4323277
AI0097,B,1,CAR,1,0.505638
AI0098,B,1,CAR,1,0.5174739
AI0099,B,1,CAR,1,0.4244118
AI0100,B,1,CAR,1,0.5018549
AI0101,B,1,CAR,1,0.4285865
AI0102,B,1,CAR,1,0.4283177
AI0103,B,1,CAR,1,0.4357783
AI0104,B,1,CAR,1,0.50848
AI0105,B,1,CAR,1,0.4391454
AI0106,B,1,CAR,1,0.5125025
AI0107,B,1,CAR,1,0.4697776
AI0108,B,1,CAR,1,0.4468745
AI0109,B,1,CAR,1,0.5148471
AI0110,B,1,CAR,1,0.5085498
AI0111,B,1,CAR,1,0.4533159
AI0112,B,1,CAR,1,0.5050191
AI0113,B,1,CAR,1,0.4323671
AI0114,B,1,CAR,1,0.4335118
AI0115,B,1,CAR,1,0.4382947
AI0116,B,1,CAR,1,0.5102263
AI0117,B,1,CAR,1,0.5134927
AI0118,B,1,CAR,1,0.4365368
AI0119,B,1,CAR,1,0.4277159
AI0120,B,1,CAR,1,0.4329147
AI0121,B,1,CAR,1,0.4302995
AI0122,B,1,CAR,1,0.5114652
AI0123,B,1,CAR,1,0.4319976
AI0124,B,1,CAR,1,0.431601
AI0125,B,1,CAR,1,0.429159
AI0126,B,1,CAR,1,0.5017072
AI0127,B,1,CAR,1,0.4303484
AI0128,B,1,CAR,1,0.514913
AI0129,B,1,CAR,1,0.5078962
AI0130,B,1,CAR,1,0.494821
AI0131,A,0,PT,1,0.4390963
AI0132,A,0,PT,1,0.5168402
AI0133,B,1,CAR,1,0.4337195
AI0134,B,1,CAR,1,0.4332025
AI0135,B,1,CAR,1,0.518057
AI0136,B,1,CAR,1,0.4864536
AI0137,B,1,CAR,1,0.5070242
AI0138,B,1,CAR,1,0.5101064
AI0139,B,1,CAR,1,0.5039383
AI0140,B,1,CAR,1,0.5071922
AI0141,B,1,CAR,1,0.4284973
AI0142,B,1,CAR,1,0.4256486
AI0143,B,1,CAR,1,0.5111589
AI0144,B,1,CAR,1,0.5019177
AI0145,B,1,CAR,1,0.515541
AI0146,B,1,CAR,1,0.5064561
AI0147,B,1,CAR,1,0.4298997
AI0148,A,0,PT,1,0.5090551
AI0149,B,1,CAR,1,0.504336
AI0150,B,1,CAR,1,0.4376035
AI0151,B,1,CAR,1,0.5187167
AI0152,B,1,CAR,1,0.4380727
AI0153,B,1,CAR,1,0.437284
AI0154,B,1,CAR,1,0.4249317
AI0155,B,1,CAR,1,0.5065162
AI0156,B,1,CAR,1,0.510187
AI0157,B,1,CAR,1,0.5069375
AI0158,B,1,CAR,1,0.4989137
AI0159,B,1,CAR,1,0.5051943
AI0160,B,1,CAR,1,0.4929894
AI0161,B,1,CAR,1,0.5078563
AI0162,B,1,CAR,1,0.4956098
AI0163,B,1,CAR,1,0.4483924
AI0164,B,1,CAR,1,0.5122508
AI0165,B,1,CAR,1,0.4265904
AI0166,B,1,CAR,1,0.5063292
AI0167,A,0,PT,1,0.4296941
AI0168,A,0,PT,1,0.5050422
AI0169,B,1,CAR,1,0.4440843
