parameter_name,human_estimate,std_error_human,z_value_human,p_value_human,robust_std_error_human,robust_z_value_human,robust_p_value_human,ai_estimate,std_error_ai,z_value_ai,p_value_ai,robust_std_error_ai,robust_z_value_ai,robust_p_value_ai,run_label,difference_ai_minus_human,sign_match
ASC_CAR,-0.1546326719892632,,,,0.0581634159301985,-2.6585899317680504,0.0078468405310971,-0.447852056987927,,,,0.036123303913986,-12.397870860714086,0.0,ai_run_01,-0.29321938499866385,1
ASC_TRAIN,-0.7011872849436409,,,,0.0825620075912611,-8.492856525667367,0.0,-1.1196980083987138,,,,0.04624095096121,-24.21442433867743,0.0,ai_run_01,-0.4185107234550729,1
B_COST,-1.0837900371207712,,,,0.06822502323905,-15.885520966747592,0.0,-0.0338559251964441,,,,0.0044243645373185,-7.6521554476076865,1.9761969838327783e-14,ai_run_01,1.049934111924327,1
B_TIME,-1.277858956519671,,,,0.1042544189496028,-12.257120315805462,0.0,-0.4379397211429081,,,,0.0374146073520032,-11.705046561699666,0.0,ai_run_01,0.8399192353767628,1
ASC_CAR,-0.1546326719892632,,,,0.0581634159301985,-2.6585899317680504,0.0078468405310971,-0.6406882613384434,,,,0.0360700798217442,-17.76231892207277,0.0,ai_run_02,-0.48605558934918014,1
ASC_TRAIN,-0.7011872849436409,,,,0.0825620075912611,-8.492856525667367,0.0,-1.220768304669359,,,,0.0455883789243344,-26.77805909035581,0.0,ai_run_02,-0.519581019725718,1
B_COST,-1.0837900371207712,,,,0.06822502323905,-15.885520966747592,0.0,-0.0371210146186507,,,,0.004495942860833,-8.25655836110261,2.220446049250313e-16,ai_run_02,1.0466690225021205,1
B_TIME,-1.277858956519671,,,,0.1042544189496028,-12.257120315805462,0.0,-0.3866132347639601,,,,0.0371301274110378,-10.412386429060016,0.0,ai_run_02,0.8912457217557108,1
ASC_CAR,-0.1546326719892632,,,,0.0581634159301985,-2.6585899317680504,0.0078468405310971,-0.5518201046452106,,,,0.0360493355573197,-15.307358543898712,0.0,ai_run_03,-0.39718743265594736,1
ASC_TRAIN,-0.7011872849436409,,,,0.0825620075912611,-8.492856525667367,0.0,-1.189577737144672,,,,0.046488794533295,-25.588483183677813,0.0,ai_run_03,-0.48839045220103117,1
B_COST,-1.0837900371207712,,,,0.06822502323905,-15.885520966747592,0.0,-0.0332222567935821,,,,0.0039611326002263,-8.387060001900332,0.0,ai_run_03,1.0505677803271891,1
B_TIME,-1.277858956519671,,,,0.1042544189496028,-12.257120315805462,0.0,-0.4045341707041098,,,,0.038081651128661,-10.622810690045132,0.0,ai_run_03,0.8733247858155612,1
