respondent_id,indicator_name,indicator_value,is_valid_indicator,duration_sec
AI0001,Envir01,4,1,8.7217626
AI0001,Mobil05,3,1,8.3470504
AI0001,LifSty07,5,1,7.9472775
AI0001,Envir05,5,1,9.5709864
AI0001,Mobil12,2,1,8.044261
AI0001,LifSty01,3,1,8.1266299
AI0002,Envir01,4,1,10.3885235
AI0002,Mobil05,3,1,7.8592481
AI0002,LifSty07,3,1,8.0158212
AI0002,Envir05,5,1,8.2141982
AI0002,Mobil12,5,1,8.3271615
AI0002,LifSty01,2,1,10.4119205
AI0003,Envir01,4,1,8.6340203
AI0003,Mobil05,3,1,8.5423104
AI0003,LifSty07,3,1,10.275321
AI0003,Envir05,4,1,7.9899588
AI0003,Mobil12,3,1,8.0385233
AI0003,LifSty01,2,1,8.8033024
AI0004,Envir01,4,1,9.3926682
AI0004,Mobil05,3,1,8.4513915
AI0004,LifSty07,3,1,7.9862788
AI0004,Envir05,3,1,8.7409016
AI0004,Mobil12,2,1,10.4777138
AI0004,LifSty01,2,1,8.4570993
AI0005,Envir01,4,1,8.429141
AI0005,Mobil05,3,1,10.4108014
AI0005,LifSty07,5,1,8.0125002
AI0005,Envir05,5,1,8.6171452
AI0005,Mobil12,4,1,8.0641849
AI0005,LifSty01,5,1,8.7394883
AI0006,Envir01,4,1,7.9586778
AI0006,Mobil05,3,1,7.9701522
AI0006,LifSty07,3,1,7.8508537
AI0006,Envir05,4,1,8.4015126
AI0006,Mobil12,5,1,7.988755
AI0006,LifSty01,2,1,9.9108551
AI0007,Envir01,4,1,8.6664076
AI0007,Mobil05,3,1,7.9621515
AI0007,LifSty07,3,1,9.6551764
AI0007,Envir05,4,1,8.5271622
AI0007,Mobil12,4,1,8.1478297
AI0007,LifSty01,2,1,8.4317663
AI0008,Envir01,4,1,8.0128766
AI0008,Mobil05,3,1,9.727251
AI0008,LifSty07,2,1,8.0695457
AI0008,Envir05,3,1,8.5996749
AI0008,Mobil12,5,1,8.3377005
AI0008,LifSty01,2,1,8.9497416
AI0009,Envir01,4,1,7.991045
AI0009,Mobil05,3,1,8.0992366
AI0009,LifSty07,5,1,8.8409961
AI0009,Envir05,5,1,8.434831
AI0009,Mobil12,5,1,10.7280274
