parameter_name,estimate
ASC_PT_C1,-0.11490448349748168
ASC_CAR_C1,0.29383893856895055
B_COST_C1,-0.8061094977069154
B_TIME_PT_C1,-1.1501486668520151
B_TIME_CAR_C1,1.174193675405403
B_WAIT_C1,-0.4112710292959161
B_DIST_C1,-1.0745434612693636
ASC_PT_C2,0.005506025867916266
ASC_CAR_C2,-0.2541430047555491
B_COST_C2,-0.933943542649265
B_TIME_PT_C2,-0.6373933068772143
B_TIME_CAR_C2,0.7219088724292212
B_WAIT_C2,-0.5481763695218533
B_DIST_C2,0.25536355267947924
ASC_PT_C3,0.25013017070417937
ASC_CAR_C3,0.33834509557672426
B_COST_C3,-0.00446022069727378
B_TIME_PT_C3,-0.03434886978654012
B_TIME_CAR_C3,-0.034843977796918175
B_WAIT_C3,-0.008998004152704549
B_DIST_C3,-0.37972897123922994
LOG_SCALE_CLASS_2,2.0
CLASS_INTERCEPT_C2,0.31293520535156594
CLASS_model_is_deepseek_C2,0.0
CLASS_semantic_arm_C2,-0.08252046158344152
CLASS_prompt_family_naturalistic_C2,0.5641180318876892
CLASS_age_30_less_C2,0.8229337494778662
CLASS_high_education_C2,0.8222897763712095
CLASS_ScaledIncome_C2,1.719466863142736
CLASS_CAR_AVAILABLE_C2,-0.7396454112643763
CLASS_block_complexity_mean_C2,0.19425255189400614
CLASS_INTERCEPT_C3,0.25569440430918794
CLASS_model_is_deepseek_C3,0.0
CLASS_semantic_arm_C3,0.509945189846439
CLASS_prompt_family_naturalistic_C3,-1.0652222702140608
CLASS_age_30_less_C3,-0.4800762179873506
CLASS_high_education_C3,-0.7221524716862021
CLASS_ScaledIncome_C3,1.8427334730230163
CLASS_CAR_AVAILABLE_C3,1.9901682038741517
CLASS_block_complexity_mean_C3,0.6810594853798533
SCALE_INTERCEPT_S2,-1.4263929744393569
SCALE_model_is_deepseek_S2,0.0
SCALE_semantic_arm_S2,-1.2888565301923425
SCALE_prompt_family_naturalistic_S2,2.5263720090326416
SCALE_age_30_less_S2,0.04592030271239684
SCALE_high_education_S2,-0.8108666487131325
SCALE_ScaledIncome_S2,0.41198786570965934
SCALE_CAR_AVAILABLE_S2,2.660647929460761
SCALE_block_complexity_mean_S2,-0.4290057779677389
