parameter_name,estimate,human_estimate,difference_ai_minus_human,sign_match
ASC_ES,-8.843326596683962,-1.574,-7.269326596683962,1
ASC_BS,11.594553246975213,-1.199,12.793553246975213,0
ASC_WALK,1.8672344184553304,4.551,-2.6837655815446695,1
ASC_CS,-4.878989974139526,-3.078,-1.8009899741395263,1
ASC_RP,-3.9585593526519025,-2.785,-1.1735593526519024,1
ASC_PT,-2.4635188180655523,-1.205,-1.2585188180655522,1
B_AGE_ES,-8.110115497913732,-0.051,-8.059115497913732,1
B_AGE_BS,-21.331190137216982,-0.041,-21.29019013721698,1
B_AGE_WALK,43.2677780768493,0.02,43.24777807684929,1
B_AGE_CS,-54.78219455863132,-0.027,-54.75519455863132,1
B_AGE_RP,-38.39507539694338,-0.041,-38.35407539694339,1
B_AGE_PT,-62.143697877525916,0.013,-62.156697877525914,0
B_BIKEACC_ES,-1.8403448247296779,1.811,-3.651344824729678,0
B_BIKEACC_BS,-4.174000298463303,2.345,-6.519000298463304,0
B_BIKEACC_WALK,-0.9502803728814252,0.495,-1.4452803728814252,0
B_BIKEACC_CS,-4.952400932909691,1.621,-6.57340093290969,0
B_BIKEACC_RP,-3.0419136756659095,1.13,-4.171913675665909,0
B_BIKEACC_PT,-2.697855110592094,0.9,-3.5978551105920937,0
B_CARACC_ES,-5.5360669364976625,-0.858,-4.678066936497663,1
B_CARACC_BS,62.15241538397751,-1.026,63.178415383977516,0
B_CARACC_WALK,0.9701538770927827,-1.216,2.1861538770927824,0
B_CARACC_CS,-4.450700466454842,-1.164,-3.2867004664548425,1
B_CARACC_RP,-3.1009568378329555,-1.015,-2.0859568378329554,1
B_CARACC_PT,-3.354927555296045,-1.556,-1.798927555296045,1
B_PTPASS_ES,-4.780401434549511,1.621,-6.401401434549511,0
B_PTPASS_BS,9.064152625475133,1.799,7.2651526254751335,1
B_PTPASS_WALK,-0.8858126729909543,1.64,-2.5258126729909542,0
B_PTPASS_CS,0.7540100258604745,2.555,-1.8009899741395257,1
B_PTPASS_RP,1.3024406473480987,2.476,-1.1735593526519013,1
B_PTPASS_PT,2.39248118193445,3.651,-1.25851881806555,1
B_MAAS_ES,14.806044688864723,1.377,13.429044688864723,1
B_MAAS_BS,-15.256537571123879,1.172,-16.42853757112388,0
B_MAAS_WALK,4.05593182503293,-0.228,4.28393182503293,0
B_MAAS_CS,-0.37171049231530395,1.114,-1.4857104923153042,0
B_MAAS_RP,1.3216025148189556,2.234,-0.9123974851810444,1
B_MAAS_PT,0.7005912627695174,1.241,-0.5404087372304827,1
B_TIME_ES,26.035005146536673,-0.116,26.151005146536672,0
B_TIME_BS,-13.60969026819389,-0.09,-13.51969026819389,1
B_TIME_WALK,-126.94740551744012,-0.212,-126.73540551744011,1
B_TIME_CAR,82.53713083045089,-0.057,82.5941308304509,0
B_TIME_CS,-29.962488709148822,-0.03,-29.93248870914882,1
B_TIME_RP,-18.10591101711089,-0.019,-18.086911017110893,1
B_TIME_PT,-26.9370052066206,-0.065,-26.8720052066206,1
B_ACCESS_SHARED,-25.51438850455026,-0.04,-25.474388504550262,1
B_ACCESS_OWNED,-30.219861770342238,-0.034,-30.18586177034224,1
B_EGRESS_SHARED,2.670050525917841,-0.03,2.700050525917841,0
B_EGRESS_OWNED,1.7071656593437734,-0.042,1.7491656593437734,0
B_DETOUR_RP,-6.275870513498877,-0.018,-6.257870513498877,1
B_PARKING,21.4321591993362,-0.04,21.4721591993362,0
B_COST_LOGMEAN,-6.406276284054829,-1.886,-4.5202762840548285,1
SIGMA_COST,-5.995544266302871,-1.414,-4.581544266302871,1
B_AVAILABILITY,24.880303676535302,0.006,24.874303676535302,1
B_SCHEME_SD_FREE_FLOAT,3.920806328430185,0.418,3.502806328430185,1
B_SCHEME_LD_FREE_FLOAT,-0.1432794818242065,0.172,-0.3152794818242065,0
B_SCHEME_LD_HYBRID,-1.5557104923153213,-0.07,-1.4857104923153213,1
B_PEDELEC,12.324059907982424,-0.321,12.645059907982423,0
B_RANGE,-26.863589683346678,0.006,-26.86958968334668,0
B_CROWDING,-35.29498029130489,-0.001,-35.29398029130489,1
B_TRANSFER_PT,-2.096927555296045,-0.298,-1.798927555296045,1
SIGMA_ES,-4.663069948682633,1.315,-5.9780699486826325,0
SIGMA_BS,25.242632335540215,1.587,23.655632335540215,1
SIGMA_WALK,-6.1582788634308985,-2.933,-3.2252788634308986,1
SIGMA_CAR,10.597473661542448,3.498,7.099473661542448,1
SIGMA_CS,-0.10264551888521889,0.315,-0.4176455188852189,0
SIGMA_RP,0.3904535586966491,0.908,-0.5175464413033509,1
SIGMA_PT,1.411166669163881,1.792,-0.38083333083611914,1
PHI_POOL,0.567272452443262,0.776,-0.20872754755673806,1
