parameter_name,estimate,block,std_error,z_value
alpha_Mobil11,0.4187353353936232,measurement,1.0,0.4187353353936232
alpha_Mobil16,-0.2866198026517232,measurement,1.0,-0.2866198026517232
alpha_Envir01,-0.4740417396152269,measurement,1.0,-0.4740417396152269
alpha_Envir02,0.08782654400918434,measurement,22.329153476760847,0.00393326796291629
alpha_Envir06,0.4951486361931038,measurement,1.0,0.4951486361931038
loading_Mobil11,1.0526247779725102,measurement,0.9949136193156589,1.0580062002734945
loading_Mobil16,1.279707887738037,measurement,1.1253911518316704,1.1371227556349657
loading_Envir01,0.8084401237311986,measurement,3.5946244866379637,0.22490252507218883
loading_Envir02,0.836260336692425,measurement,5.607066189880456,0.14914401014236187
loading_Envir06,1.0031826411259752,measurement,1.4858447553143876,0.6751597954886702
sigma_Mobil10,1.1461726005969655,measurement,1.3130247719267794,0.8729253439103293
sigma_Mobil11,1.0851563830335067,measurement,1.1481738373358146,0.9451150581443908
sigma_Mobil16,0.9424008661838117,measurement,1.2553364919981218,0.7507157421065568
sigma_Envir01,1.2436789738501985,measurement,2.1537343807189577,0.577452347412978
sigma_Envir02,1.0270216455590744,measurement,1.4849381831736432,0.6916258583667777
sigma_Envir05,0.8531742356953002,measurement,0.9601484839032647,0.8885857239777277
sigma_Envir06,0.7018295464171947,measurement,0.749686294222861,0.936164302089482
