parameter_name,human_estimate,ai_estimate,gap_ai_minus_human
ASCPMM,-0.4133853731200848,-14.08713620680858,-13.673750833688496
ASCSM,-0.4700378136527429,-12.204517386680646,-11.734479573027903
beta_cost,-0.0591605785422949,-5.097841725627105,-5.03868114708481
beta_distance,-0.2273282258835992,-3.346070296598857,-3.1187420707152578
beta_language,1.0925423349056869,1.3086559223237573,0.2161135874180704
beta_nbikes,0.3468642747377027,0.4996820843321579,0.15281780959445518
beta_ncars,1.001004001885042,-0.4218471413319404,-1.4228511432169824
beta_nchildren,0.1535265388349499,1.1717837705171747,1.018257231682225
beta_student,3.207337653082729,3.21,0.0026623469172708525
beta_time_pmm,-0.0299292037360967,1.1809246396623407,1.2108538433984375
beta_time_pt,-0.0120682471005967,1.6439610743273783,1.6560293214279749
beta_urban,0.286154553463541,26.220092400730593,25.933937847267053
beta_work,-0.5824111893155309,-0.3542705454025582,0.22814064391297273
