parameter_name,estimate,std_error,z_value,p_value,robust_std_error,robust_z_value,robust_p_value,significant_5pct
ASC_ES,-0.38010788619925306,3181.01409549724,-0.0001194926758536845,0.9999046586390341,11.626555091819526,-0.03269307917929172,0.9739193429575359,0
ASC_BS,1.176445110003951,3181.0142259580603,0.00036983333818622845,0.9997049156961177,10.919533316087884,0.10773767302588654,0.9142037846747033,0
ASC_WALK,3.9888584417267947,1.2462051813813149,3.2008039296590605,0.001370447524286389,1.7100911598240478,2.3325414079897415,0.019672227205190795,1
ASC_CS,-3.244241629281845,32492.453221700292,-9.984600445974198e-05,0.9999203344147161,36.58571944501232,-0.0886750808374257,0.9293401371124685,0
ASC_RP,-2.818652056591758,439.8421396443112,-0.006408326539315055,0.9948869301898284,0.27176243624242674,-10.371750031256596,0.0,1
ASC_PT,-9.06792515759557,0.0,,,11.31443093842541,-0.8014477446496766,0.42287248422752954,0
B_AGE_ES,-0.10558766704139559,0.017950593024622426,-5.88212695238332,4.05027478223019e-09,0.026173117138843422,-4.034202975567375,5.478794421787114e-05,1
B_AGE_BS,-0.0889033864728062,0.01435792473062174,-6.19193846887902,5.942875080933163e-10,0.016691696487714076,-5.326204351861031,1.0028630081926337e-07,1
B_AGE_WALK,0.0022405818412860315,0.016952710741776823,0.13216658240764598,0.8948525325801793,0.022455671054387148,0.09977799531616717,0.9205205780505308,0
B_AGE_CS,0.02918171705551362,0.033227481484088474,0.8782404128187616,0.379813264985827,0.01762930275040843,1.6552961548543121,0.09786443853921378,0
B_AGE_RP,-1.6190387056311024,7373.37902737606,-0.00021957893384022393,0.9998248013602191,2.8694964547668,-0.5642239783713827,0.5726017110600818,0
B_AGE_PT,0.07894444380229838,0.03514616092783767,2.2461754489882306,0.02469277214159371,0.026198464399436173,3.0133233230264205,0.002584034529885537,1
B_BIKEACC_ES,0.28995688793514934,0.1872384928942065,1.5485965703589635,0.12147873091252781,0.2263448911094791,1.2810401264807085,0.20017957223995397,0
B_BIKEACC_BS,0.5231314506032241,0.1672350025807794,3.12812175997986,0.0017592728425441795,0.18987593410081027,2.7551224597293063,0.005867017168804667,1
B_BIKEACC_WALK,0.3719132789318432,0.2088974786990847,1.7803626987168266,0.07501662219626781,0.24391149161669526,1.5247878501612446,0.12731202132982555,0
B_BIKEACC_CS,0.679936085222548,0.0,,,0.6396012997275675,1.0630623882599375,0.28775365964781097,0
B_BIKEACC_RP,1.0506133858466686,6882.950306821714,0.00015263997835425347,0.9998782109183828,1.2948688432010358,0.8113666425469432,0.4171551494495871,0
B_BIKEACC_PT,-0.09217271848006839,0.342451214106002,-0.26915576491878734,0.7878098189822476,0.27654344090441213,-0.33330285534390275,0.7389056842444253,0
B_CARACC_ES,-1.1051359192407375,0.30818080512117285,-3.585998546555201,0.00033579082745882616,0.42260982653352974,-2.61502655606863,0.008922051824013177,1
B_CARACC_BS,-1.231834775892961,0.2725491217103901,-4.519679858671147,6.193321310687949e-06,0.35904531094517095,-3.430861616463422,0.0006016674479643047,1
B_CARACC_WALK,-1.0915128393375961,0.3340513256165099,-3.267500397800098,0.001085017139544897,0.49612845287109514,-2.2000609580462718,0.027802570393245407,1
B_CARACC_CS,-0.9317923401472386,0.40338284155787935,-2.3099454021113597,0.020891177024763508,0.6523710589495781,-1.4283164885449906,0.15320078403386983,0
B_CARACC_RP,-1.0397880847897187,5384.254394751286,-0.0001931164481758759,0.9998459153685211,1.698101013418642,-0.612324047022622,0.5403233827147225,0
B_CARACC_PT,-4.032350369576686,1.5233218732066518,-2.6470770495065703,0.00811908518101978,1.0355594189226829,-3.8938860444837013,9.8651006363637e-05,1
B_PTPASS_ES,0.15098093822260664,0.4715727549412386,0.3201646758439638,0.7488434994994542,0.5096098938918745,0.2962676746119861,0.7670256703031133,0
B_PTPASS_BS,-0.07972671536380034,0.4241834003360916,-0.18795340718338055,0.8509131758314186,0.4491840501299966,-0.17749231153850395,0.8591217038612591,0
B_PTPASS_WALK,0.18752158024442167,0.508707910813736,0.36862328314191073,0.7124085384829135,0.5510682458822325,0.3402873993296585,0.7336401054492356,0
B_PTPASS_CS,-1.3326518536407417,0.9812706773667857,-1.3580879204674474,0.1744357877028917,1.429630898642334,-0.9321649769225822,0.35125127225623753,0
B_PTPASS_RP,2.458956264339315,0.0,,,0.0,,,0
B_PTPASS_PT,-1.6679290584587347,1.144902997616703,-1.4568300213474794,0.14516330663853427,0.9385413007550232,-1.7771504110868057,0.07554349584105613,0
B_MAAS_ES,-0.38208969215516836,0.7521659413561755,-0.5079858993166458,0.6114632320198157,0.772296211149542,-0.49474500410462746,0.6207801294815201,0
B_MAAS_BS,-0.5324157805934571,0.6772454871963243,-0.7861488790387716,0.43178027126961416,0.645199568795628,-0.8251954997231312,0.40926060798026187,0
B_MAAS_WALK,-1.297635196419672,0.8465704583165289,-1.5328141723727524,0.12532164767416853,0.8328984705561943,-1.5579752422322677,0.1192391171285454,0
B_MAAS_CS,1.9046579348966832,1.186083790511823,1.6058375893281354,0.1083095991945553,1.7001921561502806,1.1202603941012006,0.26260281436803856,0
B_MAAS_RP,2.227007180560077,9.886991244029499,0.22524619731052253,0.8217877524453692,0.00924114140889744,240.98832406307494,0.0,1
B_MAAS_PT,2.2001929994465907,1.4415926864650594,1.5262237524537539,0.12695415000557442,1.2928826419240207,1.7017731757712702,0.08879789679397132,0
B_TIME_ES,-0.25277196154746384,0.024962699128351935,-10.125986787236982,0.0,0.031174204070481337,-8.108369374113774,4.440892098500626e-16,1
B_TIME_BS,-0.33945965804662925,0.01677933798682045,-20.230813534673555,0.0,0.018947415811146607,-17.91588158670841,0.0,1
B_TIME_WALK,-0.4998987654090604,0.030042959255255214,-16.639464879666157,0.0,0.04887777287116141,-10.227527484256713,0.0,1
B_TIME_CAR,-0.948111219641587,0.07437309500902231,-12.74804039722389,0.0,0.1057178108418025,-8.96832058942606,0.0,1
B_TIME_CS,-2.4497408079473195,3007.6286623262154,-0.000814509064444344,0.999350115864704,0.0,,,0
B_TIME_RP,-0.7260932639361862,8706.326812739835,-8.339834692096615e-05,0.9999334577466725,0.5367672128696547,-1.352715379269088,0.17614657531402056,0
B_TIME_PT,-0.481952415722468,0.04979013548619253,-9.67967672745377,0.0,0.0491179916575884,-9.812136031176868,0.0,1
B_ACCESS_SHARED,-0.5953004968040277,0.0,,,4.149215403265839,-0.1434730277766413,0.8859166115678774,0
B_ACCESS_OWNED,-0.4988712823013343,0.18471258928380235,-2.7007974076679835,0.006917346019211568,0.20791978865407654,-2.3993448893473244,0.01642443671644389,1
B_EGRESS_SHARED,0.09536581829440073,3181.0210090763394,2.9979625416586523e-05,0.999976079719745,3.8228848170425986,0.024946034960105383,0.9800980080572115,0
B_EGRESS_OWNED,-0.04145613727482361,0.0,,,1.3817616245471396,-0.03000237996073346,0.9760651550922459,0
B_DETOUR_RP,-0.2334894171765217,13575.197270243787,-1.7199707122364978e-05,0.9999862766192373,2.079762317910755,-0.11226735630592427,0.9106114240317595,0
B_PARKING,-1.821215473195637,0.0,,,1.8401540300599788,-0.9897081676017498,0.322316781671697,0
B_COST_LOGMEAN,-11.038865168164785,1.3186392519010692,-8.371406472429939,0.0,0.8576660414405577,-12.870819916833394,0.0,1
SIGMA_COST,-7.507712355392691,0.7723847806917506,-9.720171270941869,0.0,0.4523656048526945,-16.59655878973702,0.0,1
B_AVAILABILITY,0.047175671741558414,0.004031453672319838,11.701900995531446,0.0,0.004122193182122801,11.444313659571,0.0,1
B_SCHEME_SD_FREE_FLOAT,4.1999423454432545,6362.037440203819,0.0006601568106000807,0.9994732711113721,16.49381491812302,0.254637412041556,0.7990031607936048,0
