parameter_name,estimate,human_estimate,difference_ai_minus_human,sign_match
ASC_ES,-0.38010788619925306,-1.574,1.193892113800747,1
ASC_BS,1.176445110003951,-1.199,2.375445110003951,0
ASC_WALK,3.9888584417267947,4.551,-0.5621415582732054,1
ASC_CS,-3.244241629281845,-3.078,-0.16624162928184516,1
ASC_RP,-2.818652056591758,-2.785,-0.03365205659175796,1
ASC_PT,-9.06792515759557,-1.205,-7.862925157595569,1
B_AGE_ES,-0.10558766704139559,-0.051,-0.054587667041395595,1
B_AGE_BS,-0.0889033864728062,-0.041,-0.047903386472806196,1
B_AGE_WALK,0.0022405818412860315,0.02,-0.017759418158713968,1
B_AGE_CS,0.02918171705551362,-0.027,0.05618171705551362,0
B_AGE_RP,-1.6190387056311024,-0.041,-1.5780387056311025,1
B_AGE_PT,0.07894444380229838,0.013,0.06594444380229839,1
B_BIKEACC_ES,0.28995688793514934,1.811,-1.5210431120648507,1
B_BIKEACC_BS,0.5231314506032241,2.345,-1.8218685493967761,1
B_BIKEACC_WALK,0.3719132789318432,0.495,-0.12308672106815677,1
B_BIKEACC_CS,0.679936085222548,1.621,-0.941063914777452,1
B_BIKEACC_RP,1.0506133858466686,1.13,-0.07938661415333126,1
B_BIKEACC_PT,-0.09217271848006839,0.9,-0.9921727184800684,0
B_CARACC_ES,-1.1051359192407375,-0.858,-0.24713591924073752,1
B_CARACC_BS,-1.231834775892961,-1.026,-0.20583477589296106,1
B_CARACC_WALK,-1.0915128393375961,-1.216,0.12448716066240384,1
B_CARACC_CS,-0.9317923401472386,-1.164,0.23220765985276137,1
B_CARACC_RP,-1.0397880847897187,-1.015,-0.024788084789718834,1
B_CARACC_PT,-4.032350369576686,-1.556,-2.4763503695766858,1
B_PTPASS_ES,0.15098093822260664,1.621,-1.4700190617773934,1
B_PTPASS_BS,-0.07972671536380034,1.799,-1.8787267153638003,0
B_PTPASS_WALK,0.18752158024442167,1.64,-1.4524784197555782,1
B_PTPASS_CS,-1.3326518536407417,2.555,-3.887651853640742,0
B_PTPASS_RP,2.458956264339315,2.476,-0.017043735660684955,1
B_PTPASS_PT,-1.6679290584587347,3.651,-5.3189290584587345,0
B_MAAS_ES,-0.38208969215516836,1.377,-1.7590896921551684,0
B_MAAS_BS,-0.5324157805934571,1.172,-1.704415780593457,0
B_MAAS_WALK,-1.297635196419672,-0.228,-1.069635196419672,1
B_MAAS_CS,1.9046579348966832,1.114,0.7906579348966831,1
B_MAAS_RP,2.227007180560077,2.234,-0.006992819439922915,1
B_MAAS_PT,2.2001929994465907,1.241,0.9591929994465906,1
B_TIME_ES,-0.25277196154746384,-0.116,-0.13677196154746385,1
B_TIME_BS,-0.33945965804662925,-0.09,-0.24945965804662926,1
B_TIME_WALK,-0.4998987654090604,-0.212,-0.28789876540906045,1
B_TIME_CAR,-0.948111219641587,-0.057,-0.8911112196415869,1
B_TIME_CS,-2.4497408079473195,-0.03,-2.4197408079473197,1
B_TIME_RP,-0.7260932639361862,-0.019,-0.7070932639361862,1
B_TIME_PT,-0.481952415722468,-0.065,-0.416952415722468,1
B_ACCESS_SHARED,-0.5953004968040277,-0.04,-0.5553004968040277,1
B_ACCESS_OWNED,-0.4988712823013343,-0.034,-0.46487128230133434,1
B_EGRESS_SHARED,0.09536581829440073,-0.03,0.12536581829440074,0
B_EGRESS_OWNED,-0.04145613727482361,-0.042,0.0005438627251763903,1
B_DETOUR_RP,-0.2334894171765217,-0.018,-0.2154894171765217,1
B_PARKING,-1.821215473195637,-0.04,-1.781215473195637,1
B_COST_LOGMEAN,-11.038865168164785,-1.886,-9.152865168164785,1
SIGMA_COST,-7.507712355392691,-1.414,-6.093712355392691,1
B_AVAILABILITY,0.047175671741558414,0.006,0.041175671741558416,1
B_SCHEME_SD_FREE_FLOAT,4.1999423454432545,0.418,3.7819423454432544,1
B_SCHEME_LD_FREE_FLOAT,1.1839792578727248,0.172,1.011979257872725,1
B_SCHEME_LD_HYBRID,-0.04221268076101267,-0.07,0.027787319238987335,1
B_PEDELEC,-0.12257555383625492,-0.321,0.1984244461637451,1
B_RANGE,0.13345440214625123,0.006,0.12745440214625123,1
B_CROWDING,-0.014623755477040413,-0.001,-0.013623755477040412,1
B_TRANSFER_PT,-0.6200637438322388,-0.298,-0.32206374383223885,1
SIGMA_ES,2.1389106611969124,1.315,0.8239106611969125,1
SIGMA_BS,1.6833124596484648,1.587,0.0963124596484648,1
SIGMA_WALK,-3.393067802512295,-2.933,-0.4600678025122953,1
SIGMA_CAR,3.6394269843026015,3.498,0.14142698430260126,1
SIGMA_CS,-1.7415977282668258,0.315,-2.056597728266826,0
SIGMA_RP,0.8909259985459886,0.908,-0.01707400145401139,1
SIGMA_PT,1.5400354843108444,1.792,-0.2519645156891557,1
PHI_POOL,0.5833800808016107,0.776,-0.19261991919838928,1
