parameter_name,estimate,std_error,z_value,p_value,robust_std_error,robust_z_value,robust_p_value
ASC_CAR,16.43604148975339,,,,4.51642608514761,3.639169816993963,0.0002735183924189588
ASC_PT,1.27613030775614,,,,4.6461311893226585,0.27466514735718905,0.7835735100095793
B_CAR_NbBicy,2.6333127154057556,,,,0.5328063881457167,4.942344487591942,7.71886702333191e-07
B_CAR_NbCar,0.2033264122960151,,,,1.3423167754306435,0.15147423917933509,0.879601630504248
B_CAR_NbChild,-16.704802149516222,,,,0.944563477706525,-17.685208610941434,0.0
B_CAR_NbHousehold,5.325114546786719,,,,1.226209090501697,4.342745937895451,1.4071282551375575e-05
B_CAR_ScaledIncome,0.9535496132717103,,,,0.16927317063145103,5.633199931888913,1.7689617770599853e-08
B_CAR_age_30_less,-11.250216357843389,,,,2.385808450382111,-4.7154734304179176,2.411493622345162e-06
B_CAR_artisans,-2.894883525908776,,,,2.0421795244925542,-1.417546053708527,0.15632333961870737
B_CAR_car_oriented_parents,11.097251237693815,,,,1.5971764100152137,6.948043539904343,3.703926054754447e-12
B_CAR_childSuburb,-2.110358628255712,,,,1.2126559590193604,-1.7402781164430987,0.08181019471078077
B_CAR_city_center_as_kid,-9.0279612626793,,,,1.6059464890018118,-5.621582863754506,1.892157008853701e-08
B_CAR_employees,17.761287311708895,,,,1.6453134734409718,10.795078019122602,0.0
B_CAR_high_education,-1.0660570517464782,,,,1.5655646476877487,-0.680940932922179,0.4959088661767672
B_CAR_low_education,7.221618617070077,,,,1.6396535496908908,4.4043564071394865,1.0609838935859983e-05
B_CAR_top_manager,-6.748517767053266,,,,1.2539197106422348,-5.381937702850845,7.368826904219361e-08
B_CAR_work_trip,21.205958953966906,,,,2.3716623474536354,8.941390403543299,0.0
B_COST,0.855513831071429,,,,0.31352144740743226,2.728725062179425,0.006357968810689174
B_PT_NbBicy,-2.264385902661399,,,,0.5389492118149076,-4.201482909745977,2.651722685964586e-05
B_PT_NbCar,-3.0610554432056727,,,,1.3392920553727239,-2.28557724278726,0.022279002778958557
B_PT_NbChild,-11.3379503964392,,,,0.9352264051847612,-12.123214585883405,0.0
B_PT_NbHousehold,7.576982524833767,,,,1.351896780632483,5.604704910450993,2.0861006477801425e-08
B_PT_ScaledIncome,0.670803363427684,,,,0.21394430942285012,3.135411104119975,0.0017161343149740826
B_PT_age_30_less,-10.646207037235303,,,,2.3557476949724903,-4.519247566263512,6.205979320439425e-06
B_PT_artisans,-3.9937102044374875,,,,2.3795002754257526,-1.6783819046723631,0.09327256785748483
B_PT_car_oriented_parents,1.1980399958150736,,,,1.2391920363391966,0.9667912322567099,0.3336484083770057
B_PT_childSuburb,-1.703696123161595,,,,1.2365268269290715,-1.377807651284642,0.1682626830876619
B_PT_city_center_as_kid,4.500228913346768,,,,2.0114758784174094,2.237277096699495,0.025268235173105724
B_PT_employees,18.756507492464028,,,,1.684876415516506,11.132274937039902,0.0
B_PT_high_education,-3.0795854723820995,,,,1.7388977065553368,-1.7709986394096713,0.07656092797849334
B_PT_low_education,-1.728158586036812,,,,1.5389153428630433,-1.1229718347090458,0.2614494566354435
B_PT_top_manager,-18.11922018818969,,,,2.189309022371044,-8.276227797465701,2.220446049250313e-16
B_PT_work_trip,31.1500775317171,,,,2.3583512953773917,13.208412840264474,0.0
B_TIME,-10.429594675941445,,,,0.8893471479435363,-11.727248128088233,0.0
