run_id,synthetic_respondent_id,task_position,survey_stratum,GROUP,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,SM_AV,CAR_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,custom_id,choice_code,is_valid_choice,CHOICE,TRAIN_TIME_SCALED,SM_TIME_SCALED,CAR_TIME_SCALED,TRAIN_COST_SCALED,SM_COST_SCALED,CAR_COST_SCALED
2,1,1,1,3,3,1,3,2,1,3,1,3,0,1,25,1,1,1,126,26,30,50,34,10,0,70,36,1,2,1,2,1.26,0.5,0.7,0.26,0.34,0.36
2,1,2,1,3,3,1,3,2,1,3,1,3,0,1,25,1,1,1,126,26,120,50,37,10,0,91,58,2,2,1,2,1.26,0.5,0.91,0.26,0.37,0.58
2,1,3,1,3,3,1,3,2,1,3,1,3,0,1,25,1,1,1,126,23,30,50,34,20,0,91,45,3,2,1,2,1.26,0.5,0.91,0.23,0.34,0.45
2,1,4,1,3,3,1,3,2,1,3,1,3,0,1,25,1,1,1,94,23,60,50,34,30,0,56,58,4,2,1,2,0.94,0.5,0.56,0.23,0.34,0.58
2,1,5,1,3,3,1,3,2,1,3,1,3,0,1,25,1,1,1,105,26,30,50,34,30,0,91,36,5,2,1,2,1.05,0.5,0.91,0.26,0.34,0.36
2,1,6,1,3,3,1,3,2,1,3,1,3,0,1,25,1,1,1,105,23,30,50,31,10,0,56,45,6,2,1,2,1.05,0.5,0.56,0.23,0.31,0.45
2,1,7,1,3,3,1,3,2,1,3,1,3,0,1,25,1,1,1,105,31,60,50,37,20,0,56,36,7,2,1,2,1.05,0.5,0.56,0.31,0.37,0.36
2,1,8,1,3,3,1,3,2,1,3,1,3,0,1,25,1,1,1,126,31,30,50,37,30,0,56,58,8,2,1,2,1.26,0.5,0.56,0.31,0.37,0.58
2,1,9,1,3,3,1,3,2,1,3,1,3,0,1,25,1,1,1,105,26,60,50,37,30,0,70,45,9,2,1,2,1.05,0.5,0.7,0.26,0.37,0.45
2,2,1,0,2,3,1,1,1,1,4,0,2,0,9,22,1,1,0,250,148,120,71,158,30,1,0,0,10,2,1,2,2.5,0.71,0.0,1.48,1.58,0.0
2,2,2,0,2,3,1,1,1,1,4,0,2,0,9,22,1,1,0,187,111,120,79,115,30,0,0,0,11,2,1,2,1.87,0.79,0.0,1.11,1.15,0.0
2,2,3,0,2,3,1,1,1,1,4,0,2,0,9,22,1,1,0,250,111,120,87,130,20,1,0,0,12,2,1,2,2.5,0.87,0.0,1.11,1.3,0.0
2,2,4,0,2,3,1,1,1,1,4,0,2,0,9,22,1,1,0,208,111,60,87,130,10,0,0,0,13,2,1,2,2.08,0.87,0.0,1.11,1.3,0.0
2,2,5,0,2,3,1,1,1,1,4,0,2,0,9,22,1,1,0,208,123,120,87,130,30,0,0,0,14,2,1,2,2.08,0.87,0.0,1.23,1.3,0.0
2,2,6,0,2,3,1,1,1,1,4,0,2,0,9,22,1,1,0,187,123,60,87,130,20,1,0,0,15,2,1,2,1.87,0.87,0.0,1.23,1.3,0.0
2,2,7,0,2,3,1,1,1,1,4,0,2,0,9,22,1,1,0,187,148,60,79,158,10,1,0,0,16,1,1,1,1.87,0.79,0.0,1.48,1.58,0.0
2,2,8,0,2,3,1,1,1,1,4,0,2,0,9,22,1,1,0,187,123,120,71,130,20,0,0,0,17,2,1,2,1.87,0.71,0.0,1.23,1.3,0.0
2,2,9,0,2,3,1,1,1,1,4,0,2,0,9,22,1,1,0,208,148,30,87,202,20,1,0,0,18,1,1,1,2.08,0.87,0.0,1.48,2.02,0.0
2,3,1,0,2,3,0,3,1,1,1,0,1,0,22,2,1,1,1,222,60,120,77,58,30,1,0,0,19,2,1,2,2.22,0.77,0.0,0.6,0.58,0.0
2,3,2,0,2,3,0,3,1,1,1,0,1,0,22,2,1,1,1,166,45,120,77,58,30,0,0,0,20,2,1,2,1.66,0.77,0.0,0.45,0.58,0.0
2,3,3,0,2,3,0,3,1,1,1,0,1,0,22,2,1,1,1,222,45,120,77,65,20,1,0,0,21,2,1,2,2.22,0.77,0.0,0.45,0.65,0.0
2,3,4,0,2,3,0,3,1,1,1,0,1,0,22,2,1,1,1,185,45,60,77,65,10,0,0,0,22,3,1,3,1.85,0.77,0.0,0.45,0.65,0.0
2,3,5,0,2,3,0,3,1,1,1,0,1,0,22,2,1,1,1,185,50,120,77,58,30,0,0,0,23,2,1,2,1.85,0.77,0.0,0.5,0.58,0.0
2,3,6,0,2,3,0,3,1,1,1,0,1,0,22,2,1,1,1,166,50,60,77,58,20,1,0,0,24,2,1,2,1.66,0.77,0.0,0.5,0.58,0.0
