run_label,run_id,synthetic_respondent_id,persona_id,source_profile_id,source_baseline_id,survey_stratum,survey_text,group_code,purpose_code,purpose_text,first_class,first_class_text,ticket_code,ticket_text,who_code,who_text,luggage_code,luggage_text,age_code,age_text,male,sex_text,income_code,income_text,ga,ga_text,origin_code,origin_text,dest_code,dest_text,car_av,car_av_text,template_id,generated_at_utc,anchor_train_time,anchor_train_cost,anchor_sm_time,anchor_sm_cost,anchor_car_time,anchor_car_cost
ai_run_02,2,1,SMAI02_0001,907,444,1,survey stratum 1,3,3,purpose code 3,1,first class,3,ticket category code 3,2,payer code 2,1,luggage code 1,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,1,origin zone code 1,25,destination zone code 25,1,car is available for this trip,S1_TPL017,2026-03-28T19:55:25.789794+00:00,105,26,50,34,70,45
ai_run_02,2,2,SMAI02_0002,349,279,0,survey stratum 0,2,3,purpose code 3,1,first class,1,ticket category code 1,1,payer code 1,1,luggage code 1,4,age code 4,0,female,2,income code 2,0,does not have a GA travelcard,9,origin zone code 9,22,destination zone code 22,0,car is not available for this trip,S0_TPL123,2026-03-28T19:55:25.792797+00:00,208,123,79,144,0,0
ai_run_02,2,3,SMAI02_0003,269,292,0,survey stratum 0,2,3,purpose code 3,0,second class,3,ticket category code 3,1,payer code 1,1,luggage code 1,1,age code 1,0,female,1,income code 1,0,does not have a GA travelcard,22,origin zone code 22,2,destination zone code 2,1,car is available for this trip,S0_TPL021,2026-03-28T19:55:25.793797+00:00,185,50,77,65,160,95
ai_run_02,2,4,SMAI02_0004,616,708,1,survey stratum 1,3,3,purpose code 3,0,second class,3,ticket category code 3,2,payer code 2,0,no luggage,2,age code 2,1,male,2,income code 2,0,does not have a GA travelcard,22,origin zone code 22,17,destination zone code 17,1,car is available for this trip,S1_TPL001,2026-03-28T19:55:25.794797+00:00,104,58,54,81,80,45
ai_run_02,2,5,SMAI02_0005,869,755,1,survey stratum 1,3,3,purpose code 3,1,first class,3,ticket category code 3,2,payer code 2,0,no luggage,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,22,origin zone code 22,1,destination zone code 1,1,car is available for this trip,S1_TPL028,2026-03-28T19:55:25.795796+00:00,201,92,97,109,160,95
ai_run_02,2,6,SMAI02_0006,88,363,0,survey stratum 0,2,1,purpose code 1,1,first class,6,ticket category code 6,1,payer code 1,1,luggage code 1,3,age code 3,1,male,3,income code 3,1,has a GA travelcard,1,origin zone code 1,25,destination zone code 25,1,car is available for this trip,S0_TPL005,2026-03-28T19:55:25.796796+00:00,94,0,39,0,70,45
ai_run_02,2,7,SMAI02_0007,92,286,0,survey stratum 0,2,1,purpose code 1,1,first class,6,ticket category code 6,2,payer code 2,1,luggage code 1,2,age code 2,1,male,2,income code 2,1,has a GA travelcard,1,origin zone code 1,17,destination zone code 17,1,car is available for this trip,S0_TPL011,2026-03-28T19:55:25.797788+00:00,226,0,97,0,210,65
ai_run_02,2,8,SMAI02_0008,289,313,0,survey stratum 0,2,3,purpose code 3,0,second class,4,ticket category code 4,1,payer code 1,3,luggage code 3,3,age code 3,0,female,2,income code 2,0,does not have a GA travelcard,17,origin zone code 17,1,destination zone code 1,0,car is not available for this trip,S0_TPL094,2026-03-28T19:55:25.798290+00:00,120,2600,65,3380,0,0
ai_run_02,2,9,SMAI02_0009,677,670,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,1,payer code 1,0,no luggage,4,age code 4,1,male,3,income code 3,0,does not have a GA travelcard,25,origin zone code 25,2,destination zone code 2,1,car is available for this trip,S1_TPL020,2026-03-28T19:55:25.799796+00:00,92,60,37,76,90,65
ai_run_02,2,10,SMAI02_0010,704,469,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,0,no luggage,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,1,origin zone code 1,2,destination zone code 2,1,car is available for this trip,S1_TPL075,2026-03-28T19:55:25.801800+00:00,54,33,30,45,50,30
ai_run_02,2,11,SMAI02_0011,45,85,0,survey stratum 0,2,1,purpose code 1,0,second class,6,ticket category code 6,2,payer code 2,1,luggage code 1,3,age code 3,1,male,3,income code 3,1,has a GA travelcard,19,origin zone code 19,2,destination zone code 2,1,car is available for this trip,S0_TPL146,2026-03-28T19:55:25.804804+00:00,97,0,44,0,60,35
ai_run_02,2,12,SMAI02_0012,687,552,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,1,payer code 1,1,luggage code 1,2,age code 2,1,male,2,income code 2,0,does not have a GA travelcard,1,origin zone code 1,25,destination zone code 25,1,car is available for this trip,S1_TPL020,2026-03-28T19:55:25.805803+00:00,193,45,138,53,110,60
ai_run_02,2,13,SMAI02_0013,57,98,0,survey stratum 0,2,1,purpose code 1,0,second class,8,ticket category code 8,2,payer code 2,0,no luggage,3,age code 3,0,female,3,income code 3,0,does not have a GA travelcard,1,origin zone code 1,22,destination zone code 22,1,car is available for this trip,S0_TPL005,2026-03-28T19:55:25.806805+00:00,140,4200,99,5460,80,150
ai_run_02,2,14,SMAI02_0014,54,36,0,survey stratum 0,2,1,purpose code 1,0,second class,7,ticket category code 7,1,payer code 1,1,luggage code 1,2,age code 2,0,female,2,income code 2,1,has a GA travelcard,17,origin zone code 17,1,destination zone code 1,0,car is not available for this trip,S0_TPL004,2026-03-28T19:55:25.807805+00:00,87,0,34,0,0,0
ai_run_02,2,15,SMAI02_0015,380,381,0,survey stratum 0,2,3,purpose code 3,1,first class,6,ticket category code 6,2,payer code 2,0,no luggage,2,age code 2,0,female,1,income code 1,1,has a GA travelcard,17,origin zone code 17,2,destination zone code 2,0,car is not available for this trip,S0_TPL030,2026-03-28T19:55:25.808804+00:00,177,0,127,0,0,0
ai_run_02,2,16,SMAI02_0016,37,282,0,survey stratum 0,2,1,purpose code 1,0,second class,6,ticket category code 6,1,payer code 1,1,luggage code 1,2,age code 2,0,female,4,income code 4,1,has a GA travelcard,22,origin zone code 22,25,destination zone code 25,1,car is available for this trip,S0_TPL019,2026-03-28T19:55:25.810308+00:00,96,0,72,0,70,50
ai_run_02,2,17,SMAI02_0017,761,849,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,1,luggage code 1,3,age code 3,1,male,2,income code 2,0,does not have a GA travelcard,14,origin zone code 14,22,destination zone code 22,1,car is available for this trip,S1_TPL004,2026-03-28T19:55:25.810308+00:00,117,142,62,169,90,55
ai_run_02,2,18,SMAI02_0018,635,579,1,survey stratum 1,3,3,purpose code 3,0,second class,3,ticket category code 3,2,payer code 2,1,luggage code 1,2,age code 2,1,male,3,income code 3,0,does not have a GA travelcard,15,origin zone code 15,1,destination zone code 1,1,car is available for this trip,S1_TPL016,2026-03-28T19:55:25.812322+00:00,196,48,120,54,150,90
ai_run_02,2,19,SMAI02_0019,762,488,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,2,payer code 2,1,luggage code 1,3,age code 3,1,male,2,income code 2,0,does not have a GA travelcard,22,origin zone code 22,2,destination zone code 2,1,car is available for this trip,S1_TPL004,2026-03-28T19:55:25.812322+00:00,89,42,34,54,70,45
ai_run_02,2,20,SMAI02_0020,869,795,1,survey stratum 1,3,3,purpose code 3,1,first class,3,ticket category code 3,2,payer code 2,0,no luggage,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,22,origin zone code 22,1,destination zone code 1,1,car is available for this trip,S1_TPL008,2026-03-28T19:55:25.813323+00:00,92,60,37,74,90,60
ai_run_02,2,21,SMAI02_0021,12,35,0,survey stratum 0,2,1,purpose code 1,0,second class,1,ticket category code 1,2,payer code 2,1,luggage code 1,3,age code 3,0,female,2,income code 2,0,does not have a GA travelcard,1,origin zone code 1,2,destination zone code 2,0,car is not available for this trip,S0_TPL001,2026-03-28T19:55:25.814319+00:00,124,2600,71,3380,0,0
ai_run_02,2,22,SMAI02_0022,590,788,1,survey stratum 1,3,3,purpose code 3,0,second class,1,ticket category code 1,3,payer code 3,1,luggage code 1,3,age code 3,1,male,3,income code 3,0,does not have a GA travelcard,2,origin zone code 2,20,destination zone code 20,1,car is available for this trip,S1_TPL027,2026-03-28T19:55:25.815318+00:00,181,84,68,107,150,90
ai_run_02,2,23,SMAI02_0023,684,463,1,survey stratum 1,3,3,purpose code 3,1,first class,1,ticket category code 1,1,payer code 1,1,luggage code 1,4,age code 4,1,male,2,income code 2,0,does not have a GA travelcard,18,origin zone code 18,2,destination zone code 2,1,car is available for this trip,S1_TPL004,2026-03-28T19:55:25.816317+00:00,145,53,90,71,70,40
