run_label,run_id,synthetic_respondent_id,persona_id,task_position,task_id,template_id,survey_stratum,alternative_id,alternative_name,display_label,is_available,travel_time,travel_cost,headway,seat_configuration
ai_run_02,2,1,SMAI02_0001,1,SMAI02_0001_T01,S1_TPL017,1,1,TRAIN,A,1,126,26,30,0
ai_run_02,2,1,SMAI02_0001,1,SMAI02_0001_T01,S1_TPL017,1,2,SWISSMETRO,B,1,50,34,10,0
ai_run_02,2,1,SMAI02_0001,1,SMAI02_0001_T01,S1_TPL017,1,3,CAR,C,1,70,36,0,0
ai_run_02,2,1,SMAI02_0001,2,SMAI02_0001_T02,S1_TPL017,1,1,TRAIN,A,1,126,26,120,0
ai_run_02,2,1,SMAI02_0001,2,SMAI02_0001_T02,S1_TPL017,1,2,SWISSMETRO,B,1,50,37,10,0
ai_run_02,2,1,SMAI02_0001,2,SMAI02_0001_T02,S1_TPL017,1,3,CAR,C,1,91,58,0,0
ai_run_02,2,1,SMAI02_0001,3,SMAI02_0001_T03,S1_TPL017,1,1,TRAIN,A,1,126,23,30,0
ai_run_02,2,1,SMAI02_0001,3,SMAI02_0001_T03,S1_TPL017,1,2,SWISSMETRO,B,1,50,34,20,0
ai_run_02,2,1,SMAI02_0001,3,SMAI02_0001_T03,S1_TPL017,1,3,CAR,C,1,91,45,0,0
ai_run_02,2,1,SMAI02_0001,4,SMAI02_0001_T04,S1_TPL017,1,1,TRAIN,A,1,94,23,60,0
ai_run_02,2,1,SMAI02_0001,4,SMAI02_0001_T04,S1_TPL017,1,2,SWISSMETRO,B,1,50,34,30,0
ai_run_02,2,1,SMAI02_0001,4,SMAI02_0001_T04,S1_TPL017,1,3,CAR,C,1,56,58,0,0
ai_run_02,2,1,SMAI02_0001,5,SMAI02_0001_T05,S1_TPL017,1,1,TRAIN,A,1,105,26,30,0
ai_run_02,2,1,SMAI02_0001,5,SMAI02_0001_T05,S1_TPL017,1,2,SWISSMETRO,B,1,50,34,30,0
ai_run_02,2,1,SMAI02_0001,5,SMAI02_0001_T05,S1_TPL017,1,3,CAR,C,1,91,36,0,0
ai_run_02,2,1,SMAI02_0001,6,SMAI02_0001_T06,S1_TPL017,1,1,TRAIN,A,1,105,23,30,0
ai_run_02,2,1,SMAI02_0001,6,SMAI02_0001_T06,S1_TPL017,1,2,SWISSMETRO,B,1,50,31,10,0
ai_run_02,2,1,SMAI02_0001,6,SMAI02_0001_T06,S1_TPL017,1,3,CAR,C,1,56,45,0,0
ai_run_02,2,1,SMAI02_0001,7,SMAI02_0001_T07,S1_TPL017,1,1,TRAIN,A,1,105,31,60,0
ai_run_02,2,1,SMAI02_0001,7,SMAI02_0001_T07,S1_TPL017,1,2,SWISSMETRO,B,1,50,37,20,0
ai_run_02,2,1,SMAI02_0001,7,SMAI02_0001_T07,S1_TPL017,1,3,CAR,C,1,56,36,0,0
ai_run_02,2,1,SMAI02_0001,8,SMAI02_0001_T08,S1_TPL017,1,1,TRAIN,A,1,126,31,30,0
ai_run_02,2,1,SMAI02_0001,8,SMAI02_0001_T08,S1_TPL017,1,2,SWISSMETRO,B,1,50,37,30,0
ai_run_02,2,1,SMAI02_0001,8,SMAI02_0001_T08,S1_TPL017,1,3,CAR,C,1,56,58,0,0
ai_run_02,2,1,SMAI02_0001,9,SMAI02_0001_T09,S1_TPL017,1,1,TRAIN,A,1,105,26,60,0
ai_run_02,2,1,SMAI02_0001,9,SMAI02_0001_T09,S1_TPL017,1,2,SWISSMETRO,B,1,50,37,30,0
ai_run_02,2,1,SMAI02_0001,9,SMAI02_0001_T09,S1_TPL017,1,3,CAR,C,1,70,45,0,0
ai_run_02,2,2,SMAI02_0002,1,SMAI02_0002_T01,S0_TPL123,0,1,TRAIN,A,1,250,148,120,0
ai_run_02,2,2,SMAI02_0002,1,SMAI02_0002_T01,S0_TPL123,0,2,SWISSMETRO,B,1,71,158,30,1
ai_run_02,2,2,SMAI02_0002,1,SMAI02_0002_T01,S0_TPL123,0,3,CAR,C,0,0,0,0,0
ai_run_02,2,2,SMAI02_0002,2,SMAI02_0002_T02,S0_TPL123,0,1,TRAIN,A,1,187,111,120,0
ai_run_02,2,2,SMAI02_0002,2,SMAI02_0002_T02,S0_TPL123,0,2,SWISSMETRO,B,1,79,115,30,0
ai_run_02,2,2,SMAI02_0002,2,SMAI02_0002_T02,S0_TPL123,0,3,CAR,C,0,0,0,0,0
ai_run_02,2,2,SMAI02_0002,3,SMAI02_0002_T03,S0_TPL123,0,1,TRAIN,A,1,250,111,120,0
ai_run_02,2,2,SMAI02_0002,3,SMAI02_0002_T03,S0_TPL123,0,2,SWISSMETRO,B,1,87,130,20,1
ai_run_02,2,2,SMAI02_0002,3,SMAI02_0002_T03,S0_TPL123,0,3,CAR,C,0,0,0,0,0
ai_run_02,2,2,SMAI02_0002,4,SMAI02_0002_T04,S0_TPL123,0,1,TRAIN,A,1,208,111,60,0
