run_label,run_id,synthetic_respondent_id,persona_id,task_position,task_id,survey_stratum,ga,car_av,choice_label,choice_code,choice_name,is_valid_choice
ai_run_02,2,1,SMAI02_0001,1,SMAI02_0001_T01,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,1,SMAI02_0001,2,SMAI02_0001_T02,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,1,SMAI02_0001,3,SMAI02_0001_T03,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,1,SMAI02_0001,4,SMAI02_0001_T04,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,1,SMAI02_0001,5,SMAI02_0001_T05,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,1,SMAI02_0001,6,SMAI02_0001_T06,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,1,SMAI02_0001,7,SMAI02_0001_T07,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,1,SMAI02_0001,8,SMAI02_0001_T08,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,1,SMAI02_0001,9,SMAI02_0001_T09,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,2,SMAI02_0002,1,SMAI02_0002_T01,0,0,0,B,2,SWISSMETRO,1
ai_run_02,2,2,SMAI02_0002,2,SMAI02_0002_T02,0,0,0,B,2,SWISSMETRO,1
ai_run_02,2,2,SMAI02_0002,3,SMAI02_0002_T03,0,0,0,B,2,SWISSMETRO,1
ai_run_02,2,2,SMAI02_0002,4,SMAI02_0002_T04,0,0,0,B,2,SWISSMETRO,1
ai_run_02,2,2,SMAI02_0002,5,SMAI02_0002_T05,0,0,0,B,2,SWISSMETRO,1
ai_run_02,2,2,SMAI02_0002,6,SMAI02_0002_T06,0,0,0,B,2,SWISSMETRO,1
ai_run_02,2,2,SMAI02_0002,7,SMAI02_0002_T07,0,0,0,A,1,TRAIN,1
ai_run_02,2,2,SMAI02_0002,8,SMAI02_0002_T08,0,0,0,B,2,SWISSMETRO,1
ai_run_02,2,2,SMAI02_0002,9,SMAI02_0002_T09,0,0,0,A,1,TRAIN,1
ai_run_02,2,3,SMAI02_0003,1,SMAI02_0003_T01,0,0,1,B,2,SWISSMETRO,1
ai_run_02,2,3,SMAI02_0003,2,SMAI02_0003_T02,0,0,1,B,2,SWISSMETRO,1
ai_run_02,2,3,SMAI02_0003,3,SMAI02_0003_T03,0,0,1,B,2,SWISSMETRO,1
ai_run_02,2,3,SMAI02_0003,4,SMAI02_0003_T04,0,0,1,C,3,CAR,1
ai_run_02,2,3,SMAI02_0003,5,SMAI02_0003_T05,0,0,1,B,2,SWISSMETRO,1
ai_run_02,2,3,SMAI02_0003,6,SMAI02_0003_T06,0,0,1,B,2,SWISSMETRO,1
ai_run_02,2,3,SMAI02_0003,7,SMAI02_0003_T07,0,0,1,B,2,SWISSMETRO,1
ai_run_02,2,3,SMAI02_0003,8,SMAI02_0003_T08,0,0,1,B,2,SWISSMETRO,1
ai_run_02,2,3,SMAI02_0003,9,SMAI02_0003_T09,0,0,1,B,2,SWISSMETRO,1
ai_run_02,2,4,SMAI02_0004,1,SMAI02_0004_T01,1,0,1,C,3,CAR,1
ai_run_02,2,4,SMAI02_0004,2,SMAI02_0004_T02,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,4,SMAI02_0004,3,SMAI02_0004_T03,1,0,1,C,3,CAR,1
ai_run_02,2,4,SMAI02_0004,4,SMAI02_0004_T04,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,4,SMAI02_0004,5,SMAI02_0004_T05,1,0,1,C,3,CAR,1
ai_run_02,2,4,SMAI02_0004,6,SMAI02_0004_T06,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,4,SMAI02_0004,7,SMAI02_0004_T07,1,0,1,C,3,CAR,1
ai_run_02,2,4,SMAI02_0004,8,SMAI02_0004_T08,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,4,SMAI02_0004,9,SMAI02_0004_T09,1,0,1,C,3,CAR,1
ai_run_02,2,5,SMAI02_0005,1,SMAI02_0005_T01,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,5,SMAI02_0005,2,SMAI02_0005_T02,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,5,SMAI02_0005,3,SMAI02_0005_T03,1,0,1,C,3,CAR,1
ai_run_02,2,5,SMAI02_0005,4,SMAI02_0005_T04,1,0,1,A,1,TRAIN,1
ai_run_02,2,5,SMAI02_0005,5,SMAI02_0005_T05,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,5,SMAI02_0005,6,SMAI02_0005_T06,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,5,SMAI02_0005,7,SMAI02_0005_T07,1,0,1,C,3,CAR,1
ai_run_02,2,5,SMAI02_0005,8,SMAI02_0005_T08,1,0,1,B,2,SWISSMETRO,1
ai_run_02,2,5,SMAI02_0005,9,SMAI02_0005_T09,1,0,1,A,1,TRAIN,1
ai_run_02,2,6,SMAI02_0006,1,SMAI02_0006_T01,0,1,1,B,2,SWISSMETRO,1
ai_run_02,2,6,SMAI02_0006,2,SMAI02_0006_T02,0,1,1,B,2,SWISSMETRO,1
ai_run_02,2,6,SMAI02_0006,3,SMAI02_0006_T03,0,1,1,B,2,SWISSMETRO,1
ai_run_02,2,6,SMAI02_0006,4,SMAI02_0006_T04,0,1,1,B,2,SWISSMETRO,1
