parameter_name,human_estimate,block,ai_estimate,gap_ai_minus_human
Acar,2.963783669533361,attitude,1.5247435633642772,-1.4390401061690838
Aenv,3.2947320359620416,attitude,3.4100832332903352,0.11535119732829369
theta_age,0.0038049335508599,attitude,-0.014382728866295099,-0.018187662417155
theta_basel_zurich,-0.2312131970943553,attitude,1.7682298894691482,1.9994430865635036
theta_bern,-0.3850711670225684,attitude,2.726383111183529,3.1114542782060974
theta_east,-0.2252239992768013,attitude,-0.228,-0.002776000723198696
theta_educ,0.2284854869902484,attitude,0.7116002887090352,0.48311480171878685
theta_graubunden,-0.2865876466073151,attitude,-0.303,-0.016412353392684875
theta_nbikes,0.07124145376696,attitude,0.03622315925973132,-0.03501829450722869
theta_ncars,0.109145394405631,attitude,-0.5127489955383423,-0.6218943899439733
theta_valais,-0.2126758526984146,attitude,-0.223,-0.010324147301585401
alpha_Envir01,-0.0991248013532694,measurement,-6.402030866246149,-6.30290606489288
alpha_Envir02,-0.0234030493330912,measurement,-10.562306328152962,-10.538903278819872
alpha_Envir06,0.07165899504503,measurement,-0.5082854332322975,-0.5799444282773275
alpha_Mobil11,0.0937170371768891,measurement,1.7612575215808777,1.6675404844039885
alpha_Mobil16,0.0733648936419174,measurement,1.590755640126876,1.5173907464849588
loading_Envir01,0.7525840956301145,measurement,2.6598028836331298,1.9072187880030151
loading_Envir02,0.9261761865981524,measurement,3.708866306617743,2.782690120019591
loading_Envir06,1.1735386258221996,measurement,1.3546867537996754,0.18114812797747581
loading_Mobil11,1.2554761903006084,measurement,0.8510691882331923,-0.4044070020674161
loading_Mobil16,1.1640654710069684,measurement,0.7137173188555938,-0.4503481521513747
sigma_Envir01,1.3103695064182042,measurement,0.9115025904815719,-0.39886691593663226
sigma_Envir02,1.1295769691871862,measurement,0.87884287322973,-0.2507340959574562
sigma_Envir05,1.0381216618419231,measurement,0.9459521479059718,-0.0921695139359513
sigma_Envir06,0.7896787223723098,measurement,0.5985333367134447,-0.19114538565886519
sigma_Mobil10,1.2123729165924255,measurement,1.0834101261960527,-0.12896279039637282
sigma_Mobil11,1.0967761148820525,measurement,0.9639192720884769,-0.13285684279357557
sigma_Mobil16,1.1174295492094302,measurement,0.8272810437483306,-0.2901485054610996
ASCPMM,-0.5975274322340143,utility,-0.6668267397986649,-0.06929930756465064
ASCSM,-0.7712440779972985,utility,-0.8182215902956137,-0.04697751229831515
beta_Acar,-0.5651394767481334,utility,-0.1939741203091932,0.37116535643894016
beta_Aenv,0.3919369060209956,utility,0.7512886299482101,0.3593517239272145
beta_cost,-0.0576719675967117,utility,0.011509571513911479,0.06918153911062318
beta_distance,-0.2246105600188462,utility,-0.24259431119227107,-0.017983751173424878
beta_language,1.0540368778648306,utility,1.0574480990778967,0.00341122121306614
beta_nbikes,0.3758336657178581,utility,0.3831368090734963,0.0073031433556381975
beta_ncars,0.9746722367211582,utility,0.9548061396226378,-0.019866097098520386
beta_nchildren,0.2039638452858802,utility,0.20302031326756917,-0.000943532018311044
beta_student,3.2607737069697356,utility,3.26,-0.0007737069697357768
beta_time_pmm,-0.0298267425540264,utility,-0.4943340697684507,-0.4645073272144243
beta_time_pt,-0.0121636258512356,utility,1.4803658025141528,1.4925294283653885
beta_urban,0.2827453835535762,utility,0.38787687245607955,0.10513148890250334
beta_work,-0.5818708015502139,utility,-0.5856857196515185,-0.003814918101304632
