parameter_name,estimate,paper_estimate,block,std_error,z_value
ASCPMM,-0.6668267397986649,-0.599,utility,1.010778029244171,-0.6597162982433419
ASCSM,-0.8182215902956137,-0.772,utility,1.0068207668596767,-0.812678499717171
beta_cost,0.011509571513911479,-0.0559,utility,1.0000178366347903,0.011509366225549447
beta_time_pmm,-0.4943340697684507,-0.0294,utility,1.0000000001072071,-0.4943340697154545
beta_time_pt,1.4803658025141528,-0.0119,utility,1.2755140968401244,1.1606032470997496
beta_distance,-0.24259431119227107,-0.224,utility,1.0006148924661518,-0.24244523344477148
beta_ncars,0.9548061396226378,0.97,utility,1.000000000107207,0.954806139520276
beta_nchildren,0.20302031326756917,0.215,utility,1.0,0.20302031326756917
beta_language,1.0574480990778967,1.06,utility,1.0,1.0574480990778967
beta_work,-0.5856857196515185,-0.583,utility,1.0,-0.5856857196515185
beta_urban,0.38787687245607955,0.283,utility,1.0342347829353358,0.3750375435597113
beta_student,3.26,3.26,utility,1.0,3.26
beta_nbikes,0.3831368090734963,0.385,utility,1.000000000107207,0.38313680903242137
beta_Acar,-0.1939741203091932,-0.574,utility,1.3392770014091797,-0.14483495207122554
beta_Aenv,0.7512886299482101,0.393,utility,1.2981593215707097,0.5787337636178488
Acar,1.5247435633642772,3.02,attitude,3.136562745276189,0.4861192608566855
Aenv,3.4100832332903352,3.23,attitude,1.6295970027659261,2.0925929708402617
theta_ncars,-0.5127489955383423,0.104,attitude,1.3532490361954832,-0.37890216938922194
theta_educ,0.7116002887090352,0.235,attitude,1.9445578869675284,0.36594451287780977
theta_nbikes,0.03622315925973132,0.0845,attitude,0.3711321570021248,0.09760178032625702
theta_age,-0.014382728866295099,0.00445,attitude,0.2909950402403641,-0.049426027517221104
theta_valais,-0.223,-0.223,attitude,1.0,-0.223
theta_bern,2.726383111183529,-0.361,attitude,5.508102625070287,0.49497681811052646
theta_basel_zurich,1.7682298894691482,-0.256,attitude,6.911008049317702,0.25585701490301677
theta_east,-0.228,-0.228,attitude,1.0,-0.228
theta_graubunden,-0.303,-0.303,attitude,1.0,-0.303
alpha_Mobil11,1.7612575215808777,,measurement,8.286191530919696,0.21255332018440481
alpha_Mobil16,1.590755640126876,,measurement,1.0922258832684084,1.4564346665789065
alpha_Envir01,-6.402030866246149,,measurement,21.249224109827587,-0.3012830413551554
alpha_Envir02,-10.562306328152962,,measurement,23.215151432808515,-0.4549746900735663
alpha_Envir06,-0.5082854332322975,,measurement,10.082554882046747,-0.050412364641561576
loading_Mobil11,0.8510691882331923,,measurement,2.5537339145104014,0.3332646300373695
loading_Mobil16,0.7137173188555938,,measurement,1.2463166861775934,0.5726612880748135
loading_Envir01,2.6598028836331298,,measurement,6.517855068694057,0.4080794763922326
loading_Envir02,3.708866306617743,,measurement,6.737050923397495,0.5505177782962878
loading_Envir06,1.3546867537996754,,measurement,4.287320697293394,0.3159751391247442
sigma_Mobil10,1.0834101261960527,,measurement,1.6960948081328215,0.6387674326936627
sigma_Mobil11,0.9639192720884769,,measurement,2.6648067680110765,0.3617220143912777
sigma_Mobil16,0.8272810437483306,,measurement,2.169423376767206,0.3813368347588814
sigma_Envir01,0.9115025904815719,,measurement,0.9529392320615963,0.956517015790839
sigma_Envir02,0.87884287322973,,measurement,2.373872666978267,0.3702148331099917
sigma_Envir05,0.9459521479059718,,measurement,0.9497859210913698,0.9959635396774541
sigma_Envir06,0.5985333367134447,,measurement,0.7863030746685647,0.7611992830699955
