model_key,block_template_id,pair_id,manipulation_type,anchor_task_index,intervention_gap_tv,randomness_envelope,excess_intervention_gap,anchor_modal_choice,twin_modal_choice
gpt_oss_120b,GOT0001,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0001,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0001,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0001,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0001,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0001,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0002,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0002,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0002,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0002,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0002,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0002,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0003,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0003,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0003,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0003,ORDER_2,order_randomization,6,0.75,0.0,0.75,0,2
gpt_oss_120b,GOT0003,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0003,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0004,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gpt_oss_120b,GOT0004,LABEL_2,label_mask,4,0.75,0.0,0.75,0,1
