ID,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,CoderegionCAR,age,Weight,NbCar_0,NbChild_0,NbBicy_0,French,Urban,Student,WorkTrip,EducHigh,AgeTerm,Valais,Bern,BaselZurich,East,Graubunden
11460060,,,44.0,,0.0,2.2,0.07,0.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,2.2,0.07,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,0.2,1,44.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,83.0,,3.0,3.8,4.5,37.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,3.8,4.5,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,28.0,1,80.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,182.0,,28.0,47.6,2.74,19.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,47.6,2.74,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,18.0,1,154.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,15.0,,0.0,2.2,0.85,8.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,2.2,0.85,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,5.5,1,15.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,170.0,,6.0,11.0,4.49,30.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,11.0,4.49,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,29.0,1,164.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,52.0,,3.0,5.5,3.77,38.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,5.5,3.77,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,25.0,1,49.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,44.0,,0.0,2.2,0.07,0.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,2.2,0.07,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,0.2,1,44.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,83.0,,3.0,3.8,4.5,37.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,3.8,4.5,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,28.0,1,80.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,182.0,,28.0,47.6,2.74,19.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,47.6,2.74,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,18.0,1,154.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,15.0,,0.0,2.2,0.85,8.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,2.2,0.85,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,5.5,1,15.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,170.0,,6.0,11.0,4.49,30.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,11.0,4.49,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,29.0,1,164.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,52.0,,3.0,5.5,3.77,38.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,5.5,3.77,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,25.0,1,49.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,44.0,,0.0,2.2,0.07,0.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,2.2,0.07,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,0.2,1,44.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,83.0,,3.0,3.8,4.5,37.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,3.8,4.5,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,28.0,1,80.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
11460060,,,182.0,,28.0,47.6,2.74,19.0,6,4,2,,6,,,,,,,,,,,,,,,,,1,,15000,7,,,,,,1,47.6,2.74,5,4,,,5,6,,,,,,,,,,2,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,1,,,,,,,,,1,18.0,1,154.0,,,,47,0.000160139,2,4,6,1,0,0,0,1,2,0,0,0,0,0
